nuts_id,nuts_name,nuts_level,country,dwelling_share_basis,heat_MWh,heat_TWh
FR1,Ile-de-France,1,FR,37702089.0,104650000.0,104.65
FR2,FR2,1,FR,0.0,86387000.0,86.387
FR3,FR3,1,FR,0.0,31028000.0,31.028
FR4,FR4,1,FR,0.0,42803000.0,42.803
FR5,FR5,1,FR,0.0,65307000.0,65.307
FR6,FR6,1,FR,0.0,53570000.0,53.57
FR7,FR7,1,FR,0.0,63214000.0,63.214
FR8,FR8,1,FR,0.0,61955000.0,61.955
FRA,FRA,1,FR,0.0,6213000.0,6.213
FR10,Ile-de-France,2,FR,37702089.0,104650000.0,104.65
FR21,FR21,2,FR,0.0,10987000.0,10.987
FR22,FR22,2,FR,0.0,14818000.0,14.818
FR23,FR23,2,FR,0.0,14103000.0,14.103
FR24,FR24,2,FR,0.0,20466000.0,20.466
FR25,FR25,2,FR,0.0,11939000.0,11.939
FR26,FR26,2,FR,0.0,14074000.0,14.074
FR30,FR30,2,FR,0.0,31028000.0,31.028
FR41,FR41,2,FR,0.0,19047000.0,19.047
FR42,FR42,2,FR,0.0,14152000.0,14.152
FR43,FR43,2,FR,0.0,9604000.0,9.604
FR51,FR51,2,FR,0.0,26832000.0,26.832
FR52,FR52,2,FR,0.0,24535000.0,24.535
FR53,FR53,2,FR,0.0,13940000.0,13.94
FR61,FR61,2,FR,0.0,24159000.0,24.159
FR62,FR62,2,FR,0.0,22834000.0,22.834
FR63,FR63,2,FR,0.0,6577000.0,6.577
FR71,Rhône-Alpes,2,FR,0.0,50625000.0,50.625
FR72,FR72,2,FR,0.0,12589000.0,12.589
FR81,FR81,2,FR,0.0,20556000.0,20.556
FR82,Provence-Alpes-Côte d'Azur,2,FR,0.0,39439000.0,39.439
FR83,FR83,2,FR,0.0,1960000.0,1.96
FRA1,FRA1,2,FR,0.0,1786000.0,1.786
FRA2,FRA2,2,FR,0.0,1443000.0,1.443
FRA3,FRA3,2,FR,0.0,493000.0,0.493
FRA4,FRA4,2,FR,0.0,1864000.0,1.864
FRA5,FRA5,2,FR,0.0,627000.0,0.627
FR101,Paris,3,FR,7500102.0,27822999.999999996,27.822999999999997
FR102,Seine-et-Marne,3,FR,4182312.0,9624000.0,9.624
FR103,Yvelines,3,FR,4303119.0,10680000.0,10.68
FR104,Essonne,3,FR,3848277.0,9285000.0,9.285
FR105,Hauts-de-Seine,3,FR,5160594.0,17314000.0,17.314
FR106,Seine-Saint-Denis,3,FR,4796820.0,10875000.0,10.875
FR107,Val-de-Marne,3,FR,4325325.0,10562000.0,10.562
FR108,Val-d’Oise,3,FR,3585540.0,8487000.0,8.487
FR211,FR211,3,FR,0.0,2349000.0,2.349
FR212,FR212,3,FR,0.0,2427000.0,2.427
FR213,FR213,3,FR,0.0,4587000.0,4.587
FR214,FR214,3,FR,0.0,1624000.0,1.624
FR221,FR221,3,FR,0.0,4281000.0,4.281
FR222,FR222,3,FR,0.0,5933000.0,5.933
FR223,FR223,3,FR,0.0,4604000.0,4.604
FR231,FR231,3,FR,0.0,4282000.0,4.282
FR232,FR232,3,FR,0.0,9821000.0,9.821
FR241,FR241,3,FR,0.0,2638000.0,2.638
FR242,FR242,3,FR,0.0,3344000.0,3.344
FR243,FR243,3,FR,0.0,1976000.0,1.976
FR244,FR244,3,FR,0.0,4571000.0,4.571
FR245,FR245,3,FR,0.0,2668000.0,2.668
FR246,FR246,3,FR,0.0,5269000.0,5.269
FR251,FR251,3,FR,0.0,5591000.0,5.591
FR252,FR252,3,FR,0.0,3863000.0,3.863
FR253,FR253,3,FR,0.0,2485000.0,2.485
FR261,FR261,3,FR,0.0,4586000.0,4.586
FR262,FR262,3,FR,0.0,2042000.0,2.042
FR263,FR263,3,FR,0.0,4616000.0,4.616
FR264,FR264,3,FR,0.0,2830000.0,2.83
FR301,FR301,3,FR,0.0,19988000.0,19.988
FR302,FR302,3,FR,0.0,11040000.0,11.04
FR411,FR411,3,FR,0.0,6059000.0,6.059
FR412,FR412,3,FR,0.0,1595000.0,1.595
FR413,FR413,3,FR,0.0,8128000.0,8.128
FR414,FR414,3,FR,0.0,3265000.0,3.265
FR421,FR421,3,FR,0.0,8313000.0,8.313
FR422,FR422,3,FR,0.0,5839000.0,5.839
FR431,FR431,3,FR,0.0,4448000.0,4.448
FR432,FR432,3,FR,0.0,2088000.0,2.088
FR433,FR433,3,FR,0.0,1908000.0,1.908
FR434,FR434,3,FR,0.0,1160000.0,1.16
FR511,FR511,3,FR,0.0,9684000.0,9.684
FR512,FR512,3,FR,0.0,5624000.0,5.624
FR513,FR513,3,FR,0.0,2335000.0,2.335
FR514,FR514,3,FR,0.0,4471000.0,4.471
FR515,FR515,3,FR,0.0,4718000.0,4.718
FR521,FR521,3,FR,0.0,4814000.0,4.814
FR522,FR522,3,FR,0.0,7013000.0,7.013
FR523,FR523,3,FR,0.0,7321000.0,7.321
FR524,FR524,3,FR,0.0,5387000.0,5.387
FR531,FR531,3,FR,0.0,2734000.0,2.734
FR532,FR532,3,FR,0.0,4872000.0,4.872
FR533,FR533,3,FR,0.0,2926000.0,2.926
FR534,FR534,3,FR,0.0,3408000.0,3.408
FR611,FR611,3,FR,0.0,3315000.0,3.315
FR612,FR612,3,FR,0.0,10896000.0,10.896
FR613,FR613,3,FR,0.0,2745000.0,2.745
FR614,FR614,3,FR,0.0,2472000.0,2.472
