nuts_id,building_class,n_buildings,heat_demand_MWh
DE111,MFH_HIGH,1371,458500.0196059694
DE111,MFH_LOW,34513,2570506.5135892024
DE111,NON_RESIDENTIAL,80645,0.0
DE111,SFH,62142,1488223.2581512297
DE112,MFH_HIGH,436,275457.11086710513
DE112,MFH_LOW,12610,1105322.4830268628
DE112,NON_RESIDENTIAL,103404,0.0
DE112,SFH,88427,2220077.4498941517
DE113,MFH_HIGH,260,105513.9006632695
DE113,MFH_LOW,18190,1572686.4501166597
DE113,NON_RESIDENTIAL,124955,0.0
DE113,SFH,118470,3057607.35410007
DE114,MFH_HIGH,40,30112.754567159547
DE114,MFH_LOW,8292,660771.2510249792
DE114,NON_RESIDENTIAL,80089,0.0
DE114,SFH,65837,1760117.2175520821
DE115,MFH_HIGH,222,117892.99695151395
DE115,MFH_LOW,18043,1634843.0962569956
DE115,NON_RESIDENTIAL,128837,0.0
DE115,SFH,119533,3005720.717777171
DE116,MFH_HIGH,145,68496.98940804329
DE116,MFH_LOW,13074,1133547.1167580443
DE116,NON_RESIDENTIAL,118609,0.0
DE116,SFH,111903,2724151.658472627
DE117,MFH_HIGH,123,77182.8593929814
DE117,MFH_LOW,4940,447791.1350810652
DE117,NON_RESIDENTIAL,28241,0.0
DE117,SFH,20019,487275.8495458514
DE118,MFH_HIGH,18,8143.327300022209
DE118,MFH_LOW,7053,562870.2600041868
DE118,NON_RESIDENTIAL,138479,0.0
DE118,SFH,104906,2644996.002009444
DE119,MFH_HIGH,4,802.4200457761472
DE119,MFH_LOW,3562,275838.05187653354
DE119,NON_RESIDENTIAL,49911,0.0
DE119,SFH,40847,1039444.3008982949
DE11A,MFH_HIGH,17,5477.288867449352
DE11A,MFH_LOW,6758,540870.5375647766
DE11A,NON_RESIDENTIAL,99887,0.0
DE11A,SFH,68968,1813397.0083873568
DE11B,MFH_HIGH,24,8679.812996542605
DE11B,MFH_LOW,3944,278451.98143228376
DE11B,NON_RESIDENTIAL,63953,0.0
DE11B,SFH,60481,1467883.687830521
DE11C,MFH_HIGH,14,11784.385166836411
DE11C,MFH_LOW,3251,283140.55482798244
DE11C,NON_RESIDENTIAL,54374,0.0
DE11C,SFH,40052,1033204.125227901
DE11D,MFH_HIGH,56,13459.159484906271
DE11D,MFH_LOW,8399,653396.8059225081
DE11D,NON_RESIDENTIAL,130244,0.0
DE11D,SFH,93919,2542204.739507416
DE121,MFH_HIGH,15,5784.444903752852
DE121,MFH_LOW,3363,286860.46233331505
DE121,NON_RESIDENTIAL,14214,0.0
DE121,SFH,10410,304684.17238729226
DE122,MFH_HIGH,827,287218.77795359434
DE122,MFH_LOW,14294,1295487.2832210877
DE122,NON_RESIDENTIAL,60715,0.0
DE122,SFH,33074,867125.2705768546
DE123,MFH_HIGH,100,39602.10540868739
DE123,MFH_LOW,8703,651425.5732940836
DE123,NON_RESIDENTIAL,178320,0.0
DE123,SFH,133307,3434247.679918571
DE124,MFH_HIGH,52,23720.595259808513
DE124,MFH_LOW,4940,474798.34385575046
DE124,NON_RESIDENTIAL,89927,0.0
DE124,SFH,64481,1689032.7290776747
DE125,MFH_HIGH,454,160244.33330082957
DE125,MFH_LOW,8789,716403.1504475896
DE125,NON_RESIDENTIAL,20263,0.0
DE125,SFH,19975,464065.7109624933
DE126,MFH_HIGH,909,368595.5570765826
DE126,MFH_LOW,15967,1346666.860385385
DE126,NON_RESIDENTIAL,48049,0.0
DE126,SFH,35802,825187.3414476756
DE127,MFH_HIGH,1,319.1127803125084
DE127,MFH_LOW,3109,219963.16764354007
DE127,NON_RESIDENTIAL,67011,0.0
