nuts3,building_class,building_count,total_footprint_m2,total_heated_area_m2,mean_floors,median_height_m,source
HU110,MFH_HIGH,4033,2668957.345375658,19299113.984347496,8.423431688569302,22.9,EUBUCCO
HU110,MFH_LOW,44328,17060857.202754647,43066124.42498983,2.738156469951272,9.8,EUBUCCO
HU110,NON_RESIDENTIAL,104873,26611406.882185467,0.0,1.5146577288720644,4.0,EUBUCCO
HU110,SFH,156015,19344952.470279805,24990368.85548372,1.4563965003365063,6.2,EUBUCCO
HU120,MFH_HIGH,184,101923.38054621847,667862.7501896876,7.586956521739131,17.1,EUBUCCO
HU120,MFH_LOW,50866,17084170.348507155,24805531.71978693,1.6563008689497896,7.5,EUBUCCO
HU120,NON_RESIDENTIAL,269290,35806757.5125635,0.0,1.1578131382524417,3.8,EUBUCCO
HU120,SFH,524510,60226123.02476418,68432677.6813906,1.280112104630989,5.7,EUBUCCO
HU211,MFH_HIGH,109,84974.17072637515,717951.6270622917,10.045871559633028,26.9,EUBUCCO
HU211,MFH_LOW,13902,5170499.672366343,7884004.575535207,1.6156524241116386,8.1,EUBUCCO
HU211,NON_RESIDENTIAL,87555,13658358.66324436,0.0,1.1493575466849408,4.4,EUBUCCO
HU211,SFH,144959,16429341.766446682,17619244.475808315,1.2225001552163024,6.3,EUBUCCO
HU212,MFH_HIGH,43,29504.585918425913,245685.5882847071,9.837209302325581,25.5,EUBUCCO
HU212,MFH_LOW,8717,3244163.5967841977,5223335.178443568,1.7748537340828265,7.8,EUBUCCO
HU212,NON_RESIDENTIAL,71975,11526011.903833084,0.0,1.15057728377909,4.2,EUBUCCO
HU212,SFH,107763,11361256.68472326,12273121.46886673,1.2257203307257591,6.1,EUBUCCO
HU213,MFH_HIGH,43,39428.35965096638,294567.47618286894,8.55813953488372,21.4,EUBUCCO
HU213,MFH_LOW,16108,5919655.726195032,8564114.205849443,1.5810094363049418,6.7,EUBUCCO
HU213,NON_RESIDENTIAL,85434,11600425.168975724,0.0,1.1211110330781655,4.1,EUBUCCO
HU213,SFH,145468,16591180.284814246,17296557.609066322,1.1900466081887426,5.4,EUBUCCO
HU221,MFH_HIGH,194,74418.12904675816,559795.5943289374,9.170103092783505,21.8,EUBUCCO
HU221,MFH_LOW,18596,6207714.009716093,10119337.32624038,1.8675198967519897,6.9,EUBUCCO
HU221,NON_RESIDENTIAL,134271,18187697.645506255,0.0,1.110089297018716,3.7,EUBUCCO
HU221,SFH,141050,18081033.17066463,19409634.00854642,1.236494859978731,5.6,EUBUCCO
HU222,MFH_HIGH,97,30588.771297073807,245337.20427901833,9.34020618556701,22.2,EUBUCCO
HU222,MFH_LOW,15100,5267162.572431728,7468864.727044822,1.6045629139072848,8.7,EUBUCCO
HU222,NON_RESIDENTIAL,72246,9326088.82607433,0.0,1.0810120975555741,4.2,EUBUCCO
HU222,SFH,92115,11454822.175657315,11824217.010095911,1.1808728220159583,7.1,EUBUCCO
HU223,MFH_HIGH,53,40807.939612049755,324272.415467142,10.226415094339623,33.0,EUBUCCO
HU223,MFH_LOW,15353,5485475.216848044,8056126.088338963,1.6268025793004623,6.6,EUBUCCO
HU223,NON_RESIDENTIAL,82799,9949013.988331921,0.0,1.0832244350777185,4.0,EUBUCCO
HU223,SFH,127382,14239116.804722268,14542494.234994285,1.1554364038875193,5.4,EUBUCCO
HU231,MFH_HIGH,181,98405.95858521826,770428.3301351283,9.740331491712707,26.7,EUBUCCO
HU231,MFH_LOW,15284,5520690.958279676,9222263.800717589,1.8725857105469772,7.0,EUBUCCO
HU231,NON_RESIDENTIAL,110649,13918926.572686505,0.0,1.146220932859764,4.6,EUBUCCO
