building_class,cohort,n_buildings,total_heated_area_m2,mean_intensity_kwh_m2,total_demand_kwh_yr,total_demand_twh_yr
MFH_HIGH,1946-1970,99,502077.160070201,120.1308,60314930.9009613,0.0603149309009613
MFH_HIGH,1971-1990,106,326267.96770823473,101.81509999999999,33219005.759010695,0.0332190057590107
MFH_HIGH,1991-2010,10,59590.243086254275,102.5743,6112427.471402371,0.006112427471402371
MFH_HIGH,2011-2020,21,146011.88074345826,64.8786,9473046.406002533,0.009473046406002533
MFH_HIGH,post-2020,16,61779.68829015479,64.8786,4008179.684701637,0.004008179684701637
MFH_HIGH,pre-1945,123,302002.34640476515,209.9062,63392164.92490792,0.06339216492490793
MFH_HIGH,unknown,5848,15149892.858240506,114.52735400000002,1735077142.4377818,1.7350771424377818
MFH_LOW,1946-1970,78,96166.6681397217,144.04360000000003,13852193.078850817,0.013852193078850817
MFH_LOW,1971-1990,65,49035.589322234104,170.99520000000004,8384850.4032732835,0.008384850403273284
MFH_LOW,1991-2010,76,104822.37870670478,100.67429999999999,10552919.600632409,0.01055291960063241
MFH_LOW,2011-2020,49,25491.744849423907,69.51650000000001,1772096.880824977,0.001772096880824977
MFH_LOW,post-2020,13,24378.380285617848,69.51650000000001,1694699.6731251532,0.001694699673125153
MFH_LOW,pre-1945,539,561020.6778895023,208.0062,116695779.32921939,0.11669577932921939
MFH_LOW,unknown,377175,125514469.05573285,143.968753,18070161593.410946,18.070161593410948
NON_RESIDENTIAL,1946-1970,132,0.0,110.0,0.0,0.0
NON_RESIDENTIAL,1971-1990,165,0.0,110.0,0.0,0.0
NON_RESIDENTIAL,1991-2010,236,0.0,110.0,0.0,0.0
NON_RESIDENTIAL,2011-2020,148,0.0,110.0,0.0,0.0
NON_RESIDENTIAL,post-2020,85,0.0,110.0,0.0,0.0
NON_RESIDENTIAL,pre-1945,753,0.0,110.0,0.0,0.0
NON_RESIDENTIAL,unknown,2457218,0.0,110.0,0.0,0.0
SFH,1946-1970,5,299.4131550679235,281.5599,84302.73799960906,8.430273799960906e-05
SFH,1971-1990,12,995.0146654868686,212.56759999999997,211507.87940734648,0.00021150787940734647
SFH,1991-2010,35,3980.88998365327,110.7399,440843.3587007646,0.0004408433587007646
SFH,2011-2020,37,3945.180576181764,81.16169999999997,320197.5623698914,0.00032019756236989136
SFH,post-2020,13,772.6882180577196,81.16169999999998,62712.689347535204,6.271268934753521e-05
SFH,pre-1945,425,34313.37531085226,301.0144,10328820.081171008,0.010328820081171008
SFH,unknown,3090297,235707460.13625115,203.24355100000002,47906021195.282646,47.90602119528265
