nuts_id,building_class,n_buildings,heat_demand_MWh
IE041,MFH_LOW,8652,406161.55643961334
IE041,NON_RESIDENTIAL,300545,0.0
IE041,SFH,189235,3265162.7966270586
IE042,MFH_HIGH,11,6482.18090349393
IE042,MFH_LOW,12721,635620.4118387388
IE042,NON_RESIDENTIAL,286737,0.0
IE042,SFH,211956,3883276.240871463
IE051,MFH_HIGH,10,6669.419982094032
IE051,MFH_LOW,11714,574673.550703603
IE051,NON_RESIDENTIAL,198719,0.0
IE051,SFH,154693,2488978.1195839485
IE052,MFH_LOW,12850,548648.3290159081
IE052,NON_RESIDENTIAL,196346,0.0
IE052,SFH,187100,2858026.0619496587
IE053,MFH_HIGH,21,12496.251101312086
IE053,MFH_LOW,26060,1309754.642711221
IE053,NON_RESIDENTIAL,313673,0.0
IE053,SFH,217118,4134599.479792999
IE061,MFH_HIGH,458,313629.5235813141
IE061,MFH_LOW,72235,2123610.419084516
IE061,NON_RESIDENTIAL,112012,0.0
IE061,SFH,352169,4850872.2763175
IE062,MFH_HIGH,3,923.9532989322123
IE062,MFH_LOW,19661,875728.0732093502
IE062,NON_RESIDENTIAL,185712,0.0
IE062,SFH,241902,4297422.0238076
IE063,MFH_HIGH,1,325.56625252888233
IE063,MFH_LOW,10151,488613.5063682343
IE063,NON_RESIDENTIAL,155814,0.0
IE063,SFH,102696,1973635.559017812
