nuts3,building_class,building_count,total_footprint_m2,total_heated_area_m2,mean_floors,median_height_m,source
LT011,MFH_HIGH,1381,1569889.7162372505,10507531.924367115,8.452498189717595,20.6,EUBUCCO
LT011,MFH_LOW,20012,8600786.157429015,18791732.18698512,2.0914251449130523,8.6,EUBUCCO
LT011,NON_RESIDENTIAL,330461,35659072.15012744,0.0,1.0852515122813282,4.6,EUBUCCO
LT011,SFH,168235,20356405.85201561,24483896.401870355,1.3646619312271524,7.1,EUBUCCO
LT021,MFH_HIGH,54,42757.449427012805,276341.0553171027,8.90925925925926,11.05,EUBUCCO
LT021,MFH_LOW,3753,1639243.6450063523,3070597.1008574036,1.8711963762323476,8.2,EUBUCCO
LT021,NON_RESIDENTIAL,122868,11734010.858409503,0.0,1.0584733209623336,4.4,EUBUCCO
LT021,SFH,62985,6898957.224325174,8072450.111884574,1.3179518933079304,6.7,EUBUCCO
LT022,MFH_HIGH,627,495894.30240581476,3469725.634942949,8.874800637958533,21.1,EUBUCCO
LT022,MFH_LOW,15342,6520876.519592442,14175081.924611466,2.144264111589102,8.3,EUBUCCO
LT022,NON_RESIDENTIAL,258575,33592686.8254675,0.0,1.0915146475877406,4.2,EUBUCCO
LT022,SFH,144964,16817348.53894456,20442393.963256013,1.374987583124086,6.9,EUBUCCO
LT023,MFH_HIGH,166,256012.20610022396,1959608.4881267608,6.8831325301204815,14.2,EUBUCCO
LT023,MFH_LOW,10654,4611788.419310886,9259128.301621558,1.992228271071898,7.7,EUBUCCO
LT023,NON_RESIDENTIAL,118873,15929569.80544233,0.0,1.1081280021535589,4.0,EUBUCCO
LT023,SFH,96638,10766460.15089773,13199784.429296184,1.3594766034065275,6.2,EUBUCCO
LT024,MFH_HIGH,14,7345.727745493097,60935.56905533791,9.928571428571429,10.2,EUBUCCO
LT024,MFH_LOW,3751,1568761.717592669,2806147.570916165,1.8649160223940282,7.9,EUBUCCO
LT024,NON_RESIDENTIAL,112635,12691439.17980165,0.0,1.0833950370666312,4.2,EUBUCCO
LT024,SFH,51020,5740120.74602576,6926806.208460977,1.3766189729517837,6.7,EUBUCCO
LT025,MFH_HIGH,41,55611.15141907349,294158.9395314479,7.095121951219512,14.5,EUBUCCO
LT025,MFH_LOW,5390,2300819.5480718864,4357654.2876940025,1.914155844155844,8.1,EUBUCCO
LT025,NON_RESIDENTIAL,170941,20724692.00289684,0.0,1.0794426147033187,4.3,EUBUCCO
LT025,SFH,83281,8955747.7421406,10646246.601663068,1.3353934270722012,6.6,EUBUCCO
LT026,MFH_HIGH,149,165838.0381690324,962684.3723957173,6.895302013422819,15.8,EUBUCCO
LT026,MFH_LOW,7228,2928853.0252627926,5632862.686308652,1.9629773104593249,8.1,EUBUCCO
LT026,NON_RESIDENTIAL,165676,21233309.899238933,0.0,1.0857951664694947,4.4,EUBUCCO
LT026,SFH,92756,10294910.75666092,12389243.87480836,1.3565537539350554,6.6,EUBUCCO
LT027,MFH_HIGH,1,1779.3261950653273,8923.320868252616,5.9,12.0,EUBUCCO
LT027,MFH_LOW,3298,1280720.6405100815,1991555.9234885904,1.6729533050333534,8.0,EUBUCCO
LT027,NON_RESIDENTIAL,88074,9322311.89117877,0.0,1.0714297068374323,4.4,EUBUCCO
LT027,SFH,38325,4457633.5102099925,5336953.881004821,1.360675799086758,6.7,EUBUCCO
LT028,MFH_HIGH,8,3266.7250694184972,26006.121813633465,9.375,8.9,EUBUCCO
LT028,MFH_LOW,4067,1677736.9032874366,2997446.377643692,1.8427342021145807,7.8,EUBUCCO
LT028,NON_RESIDENTIAL,67689,10055624.402015755,0.0,1.1150290298275938,4.8,EUBUCCO
LT028,SFH,43616,5354513.587353214,6527195.735801686,1.3949147101980923,6.6,EUBUCCO
LT029,MFH_HIGH,32,33855.36221279362,185090.98124635543,6.96875,14.649999999999999,EUBUCCO
LT029,MFH_LOW,3176,1355301.5129016836,2646325.192672017,1.955887909319899,8.5,EUBUCCO
LT029,NON_RESIDENTIAL,166879,15384404.438798456,0.0,1.0684753623883174,4.6,EUBUCCO
LT029,SFH,61680,6798981.379107759,8068429.207307549,1.3490061608300907,6.9,EUBUCCO
