building_class,cohort,n_buildings,total_heated_area_m2,mean_intensity_kwh_m2,total_demand_kwh_yr,total_demand_twh_yr
MFH_HIGH,2011-2020,2,4166.515540734473,120.55457919999999,502292.52774350473,0.0005022925277435047
MFH_HIGH,pre-1945,1,4387.166136459193,243.01017599999997,1066126.0149621884,0.0010661260149621885
MFH_HIGH,unknown,2470,9221969.650308436,192.48110332800002,1775054893.1486983,1.7750548931486982
MFH_LOW,1946-1970,4,6432.48202423171,200.20814079999997,1287835.2668008509,0.001287835266800851
MFH_LOW,1971-1990,6,5355.239565689142,182.7823776,978843.4204342528,0.0009788434204342528
MFH_LOW,1991-2010,1,297.80512526257604,136.98034239999998,40793.44802694255,4.0793448026942545e-05
MFH_LOW,2011-2020,1,382.1368133103569,126.02983359999999,48160.63899393854,4.816063899393854e-05
MFH_LOW,pre-1945,10,3827.4151222455585,252.48543039999998,966366.5544596385,0.0009663665544596385
MFH_LOW,unknown,76649,34162541.32880457,182.45485216000003,6233121427.556928,6.233121427556927
NON_RESIDENTIAL,1946-1970,12,0.0,150.0,0.0,0.0
NON_RESIDENTIAL,1971-1990,10,0.0,150.0,0.0,0.0
NON_RESIDENTIAL,1991-2010,65,0.0,150.0,0.0,0.0
NON_RESIDENTIAL,2011-2020,21,0.0,150.0,0.0,0.0
NON_RESIDENTIAL,post-2020,18,0.0,150.0,0.0,0.0
NON_RESIDENTIAL,pre-1945,298,0.0,150.0,0.0,0.0
NON_RESIDENTIAL,unknown,1602247,0.0,150.0,0.0,0.0
SFH,1946-1970,7,636.828580713381,210.5202688,134065.3239913035,0.0001340653239913035
SFH,1971-1990,2,266.0691109530903,144.988288,38576.904886770615,3.8576904886770615e-05
SFH,1991-2010,22,1302.202726572211,131.94119679999997,171814.1862201607,0.0001718141862201607
SFH,2011-2020,2,40.22825987333283,108.71342080000001,4373.351743661387,4.373351743661387e-06
SFH,post-2020,2,232.55933087628452,91.31729920000001,21236.689999381473,2.123668999938147e-05
SFH,pre-1945,9,831.5122095581041,222.578944,185077.10952654952,0.00018507710952654952
SFH,unknown,843456,60365258.815765314,167.325501184,10100647185.449808,10.100647185449809
