nuts3,building_class,building_count,total_footprint_m2,total_heated_area_m2,mean_floors,median_height_m,source
NL111,MFH_HIGH,7,5585.141555447368,25634.866948212562,5.485714285714286,19.8,EUBUCCO
NL111,MFH_LOW,3840,1818728.5408624716,2811487.5795308095,1.6624479166666668,6.8,EUBUCCO
NL111,NON_RESIDENTIAL,45934,6697462.738959133,0.0,1.0987852135672922,3.0,EUBUCCO
NL111,SFH,61883,5612423.720248616,6739231.964609207,1.417369875410048,6.1,EUBUCCO
NL112,MFH_LOW,1353,778918.4485705309,1306984.5227346078,1.8529933481152994,7.1,EUBUCCO
NL112,NON_RESIDENTIAL,19547,2474335.5102576786,0.0,1.1331099401442677,2.9,EUBUCCO
NL112,SFH,21119,1793624.7825073192,2191550.312658196,1.4338415644680145,6.2,EUBUCCO
NL113,MFH_HIGH,91,98918.51003368056,833217.9312587681,10.373626373626374,26.6,EUBUCCO
NL113,MFH_LOW,19052,5493573.310639482,10174149.091348704,2.292641192525719,9.3,EUBUCCO
NL113,NON_RESIDENTIAL,110862,14381515.773929687,0.0,1.1742923634789197,3.0,EUBUCCO
NL113,SFH,130469,11127402.937499655,13921491.92521475,1.4867378457717926,6.4,EUBUCCO
NL124,MFH_HIGH,10,15949.000838605923,105921.13631310163,10.9,37.1,EUBUCCO
NL124,MFH_LOW,9286,4391034.031034509,7085143.4029425895,1.9236808098212361,7.5,EUBUCCO
NL124,NON_RESIDENTIAL,106638,13645740.618715722,0.0,1.1411766912357697,3.1,EUBUCCO
NL124,SFH,145614,11970872.058565214,14603598.47623567,1.431937176370404,6.2,EUBUCCO
NL125,MFH_HIGH,1,4983.677546463127,29652.881401455605,7.0,18.5,EUBUCCO
NL125,MFH_LOW,4779,2898605.1958536454,4217896.625565161,1.6761874869219502,7.2,EUBUCCO
NL125,NON_RESIDENTIAL,44704,6740584.548760128,0.0,1.1384730672870438,3.3,EUBUCCO
NL125,SFH,68411,5792809.563784974,7123352.838668598,1.4380523600005848,6.2,EUBUCCO
NL126,MFH_HIGH,14,16676.57000293864,146049.11219208586,10.785714285714286,33.6,EUBUCCO
NL126,MFH_LOW,5045,2821877.152957594,4154107.3943495112,1.6138156590683845,6.4,EUBUCCO
NL126,NON_RESIDENTIAL,70892,9051814.29582737,0.0,1.1156082491677481,3.2,EUBUCCO
NL126,SFH,87042,7497387.517422908,9025047.82364861,1.4127398267503044,6.2,EUBUCCO
NL131,MFH_HIGH,10,12386.107683982429,97253.9682065978,9.2,25.5,EUBUCCO
NL131,MFH_LOW,5368,2543830.6967788297,3887653.72678701,1.6594634873323397,6.6,EUBUCCO
