nuts_id,building_class,n_buildings,heat_demand_MWh
PL213,MFH_HIGH,1832,1481702.9628804405
PL213,MFH_LOW,16047,2637946.3295283495
PL213,NON_RESIDENTIAL,69700,0.0
PL213,SFH,47200,1160376.6039370082
PL214,MFH_HIGH,12,8152.776872345622
PL214,MFH_LOW,10887,706472.3617112681
PL214,NON_RESIDENTIAL,329437,0.0
PL214,SFH,241173,5902814.1261597555
PL217,MFH_HIGH,57,79584.82165832711
PL217,MFH_LOW,5702,511617.8071543107
PL217,NON_RESIDENTIAL,189212,0.0
PL217,SFH,128515,2831153.2017696737
PL218,MFH_HIGH,18,8879.00144147394
PL218,MFH_LOW,7323,565699.3158165512
PL218,NON_RESIDENTIAL,205429,0.0
PL218,SFH,142039,3347722.7208398697
PL219,MFH_HIGH,8,5499.096143133541
PL219,MFH_LOW,14746,790634.8491753208
PL219,NON_RESIDENTIAL,138782,0.0
PL219,SFH,100269,2461196.244590233
PL21A,MFH_HIGH,30,12255.973611725125
PL21A,MFH_LOW,7904,791130.6903083292
PL21A,NON_RESIDENTIAL,171012,0.0
PL21A,SFH,130345,3301754.462756639
PL224,MFH_HIGH,63,62977.2270907984
PL224,MFH_LOW,7135,903260.9883673007
PL224,NON_RESIDENTIAL,187919,0.0
PL224,SFH,152406,3238475.098516535
PL225,MFH_HIGH,192,117875.56692493534
PL225,MFH_LOW,12584,1091243.8454161813
PL225,NON_RESIDENTIAL,173182,0.0
PL225,SFH,167356,4046787.619523315
PL227,MFH_HIGH,180,143946.33084006008
PL227,MFH_LOW,8767,969558.7408632386
PL227,NON_RESIDENTIAL,157312,0.0
PL227,SFH,117540,2956142.31781519
PL228,MFH_HIGH,68,34418.12392723005
PL228,MFH_LOW,9936,1082981.8494803747
PL228,NON_RESIDENTIAL,106729,0.0
PL228,SFH,75816,1670892.7156230472
PL229,MFH_HIGH,458,177702.33822184705
PL229,MFH_LOW,13882,1333965.1713403668
PL229,NON_RESIDENTIAL,86206,0.0
PL229,SFH,56925,1212790.4254614068
PL22A,MFH_HIGH,986,603779.3854882421
PL22A,MFH_LOW,18314,2355197.4537435663
PL22A,NON_RESIDENTIAL,89924,0.0
PL22A,SFH,45713,1078485.1433602949
PL22B,MFH_HIGH,610,463262.97285804385
PL22B,MFH_LOW,10750,1387239.0227847993
PL22B,NON_RESIDENTIAL,166003,0.0
PL22B,SFH,114589,2527482.5150999012
PL22C,MFH_HIGH,86,81907.50290077356
PL22C,MFH_LOW,5731,734360.1990727078
PL22C,NON_RESIDENTIAL,100467,0.0
PL22C,SFH,72127,1952897.900802703
PL411,MFH_HIGH,86,49117.99556002628
PL411,MFH_LOW,5890,650203.4102555823
PL411,NON_RESIDENTIAL,163011,0.0
PL411,SFH,89545,1943508.2050613312
PL414,MFH_HIGH,92,55925.32299430816
PL414,MFH_LOW,8279,926795.4193121662
PL414,NON_RESIDENTIAL,274631,0.0
PL414,SFH,190464,3708562.931615265
PL415,MFH_HIGH,1087,1016805.7069411847
PL415,MFH_LOW,12720,1871173.505050529
PL415,NON_RESIDENTIAL,46507,0.0
PL415,SFH,47666,1104000.4623021872
PL416,MFH_HIGH,87,70446.1644370508
PL416,MFH_LOW,9742,971178.7808745018
PL416,NON_RESIDENTIAL,276123,0.0
PL416,SFH,166499,3655698.897657892
PL417,MFH_HIGH,76,28453.533013268363
PL417,MFH_LOW,9086,823313.6904380821
PL417,NON_RESIDENTIAL,247605,0.0
PL417,SFH,139429,3085695.602778681
PL418,MFH_HIGH,48,22322.73800961862
PL418,MFH_LOW,9741,986973.2631120522
PL418,NON_RESIDENTIAL,219293,0.0
PL418,SFH,187963,4096343.2112183697
PL424,MFH_HIGH,625,489291.3866745567
PL424,MFH_LOW,7111,1289774.331588036
PL424,NON_RESIDENTIAL,43864,0.0
PL424,SFH,35634,638481.8464131497
PL426,MFH_HIGH,175,112326.06461878003
PL426,MFH_LOW,8280,969746.9814178463
PL426,NON_RESIDENTIAL,107270,0.0
PL426,SFH,78088,1474763.6440826734
PL427,MFH_HIGH,13,4428.327420246251
