building_class,cohort,n_buildings,total_heated_area_m2,mean_intensity_kwh_m2,total_demand_kwh_yr,total_demand_twh_yr
MFH_HIGH,1946-1970,42,183799.05520949347,183.6175,33748723.01992917,0.03374872301992917
MFH_HIGH,1971-1990,51,451753.83793205617,174.4965,78829463.58071104,0.07882946358071104
MFH_HIGH,1991-2010,32,233025.36449522557,117.7705,27443513.68928496,0.02744351368928496
MFH_HIGH,2011-2020,59,861676.0152848437,104.089,89690994.7549841,0.0896909947549841
MFH_HIGH,post-2020,63,393879.65722411906,67.605,26628234.226636574,0.026628234226636575
MFH_HIGH,pre-1945,67,199989.41655357194,206.42,41281815.36498832,0.04128181536498832
MFH_HIGH,unknown,23937,119858857.63221659,160.33742,19217859996.89692,19.21785999689692
MFH_LOW,1946-1970,439,562595.2190490136,170.93600000000006,96167776.3633622,0.0961677763633622
MFH_LOW,1971-1990,503,800234.2648721898,156.25449999999998,125040204.9404716,0.1250402049404716
MFH_LOW,1991-2010,387,475116.7009736273,117.7705,55954731.43201457,0.05595473143201457
MFH_LOW,2011-2020,229,371479.4426854975,108.64950000000002,40361055.70805795,0.040361055708057945
MFH_LOW,post-2020,182,276610.3107873482,72.16550000000001,19961721.383124378,0.019961721383124378
MFH_LOW,pre-1945,1525,1353330.36341091,214.98050000000003,290939638.1912591,0.29093963819125906
MFH_LOW,unknown,709498,504724257.91624326,153.86062,77657187252.03308,77.65718725203308
NON_RESIDENTIAL,1946-1970,1495,0.0,145.0,0.0,0.0
NON_RESIDENTIAL,1971-1990,1981,0.0,145.0,0.0,0.0
NON_RESIDENTIAL,1991-2010,1733,0.0,145.0,0.0,0.0
NON_RESIDENTIAL,2011-2020,676,0.0,145.0,0.0,0.0
NON_RESIDENTIAL,post-2020,463,0.0,145.0,0.0,0.0
NON_RESIDENTIAL,pre-1945,5192,0.0,145.0,0.0,0.0
NON_RESIDENTIAL,unknown,12806325,0.0,145.0,0.0,0.0
SFH,1946-1970,3486,464017.2439900897,207.85949999999994,96450392.32715802,0.09645039232715802
SFH,1971-1990,2237,319153.9792620915,164.81500000000003,52601363.09208161,0.052601363092081604
SFH,1991-2010,2083,340771.5073609167,126.331,43050005.29641196,0.04305000529641196
SFH,2011-2020,500,90313.96851623397,111.64950000000002,10083509.427853258,0.010083509427853259
SFH,post-2020,230,41461.91284010651,75.16549999999995,3116505.409583026,0.0031165054095830262
SFH,pre-1945,2989,382476.8662449629,221.541,84734307.42477532,0.08473430742477532
SFH,unknown,8426984,1083857323.8501155,167.749325,181816334472.16324,181.81633447216325
