building_class,cohort,n_buildings,total_heated_area_m2,mean_intensity_kwh_m2,total_demand_kwh_yr,total_demand_twh_yr
MFH_HIGH,1946-1970,1,3719.3007281752843,19.8905,73978.7511337705,7.397875113377049e-05
MFH_HIGH,1971-1990,1,3670.1177066590926,18.7685,68882.60417743117,6.888260417743117e-05
MFH_HIGH,1991-2010,2,15885.976576488554,17.4782,277658.27579918224,0.00027765827579918223
MFH_HIGH,post-2020,2,5757.666972484452,15.122,87067.4399579099,8.706743995790989e-05
MFH_HIGH,pre-1945,2,4852.572351365193,20.4515,99242.38344394525,9.924238344394525e-05
MFH_HIGH,unknown,8667,33956137.68417146,18.495292999999997,628028715.6170926,0.6280287156170926
MFH_LOW,1946-1970,4,6522.915586969037,20.732,135233.08594904206,0.00013523308594904206
MFH_LOW,1971-1990,8,13811.477992922404,19.3295,266968.9638641936,0.0002669689638641936
MFH_LOW,1991-2010,75,53555.48290252036,18.0392,966098.0671751453,0.0009660980671751453
MFH_LOW,2011-2020,11,9777.190762851447,16.3562,159917.6875553509,0.00015991768755535088
MFH_LOW,post-2020,2,3698.9320479053526,15.4025,56972.80086786219,5.697280086786219e-05
MFH_LOW,pre-1945,77,127633.41179243063,21.5735,2753499.4093040028,0.002753499409304003
MFH_LOW,unknown,798229,571868056.6827047,19.140443,10945807942.456081,10.945807942456081
NON_RESIDENTIAL,1946-1970,68,0.0,65.0,0.0,0.0
NON_RESIDENTIAL,1971-1990,40,0.0,65.0,0.0,0.0
NON_RESIDENTIAL,1991-2010,100,0.0,65.0,0.0,0.0
NON_RESIDENTIAL,2011-2020,44,0.0,65.0,0.0,0.0
NON_RESIDENTIAL,post-2020,17,0.0,65.0,0.0,0.0
NON_RESIDENTIAL,pre-1945,293,0.0,65.0,0.0,0.0
NON_RESIDENTIAL,unknown,2434047,0.0,65.0,0.0,0.0
SFH,1946-1970,19,1190.1810559294734,24.695500000000003,29392.11626670631,2.939211626670631e-05
SFH,1971-1990,19,1266.3050938879292,23.0125,29140.845973095966,2.9140845973095967e-05
SFH,1991-2010,13,1508.4531302717164,21.049,31751.429939089358,3.175142993908936e-05
SFH,2011-2020,7,753.5335399757516,18.9172,14254.74468242929,1.425474468242929e-05
SFH,post-2020,2,380.32117380440684,17.683,6725.219316383326,6.725219316383326e-06
SFH,pre-1945,40,6659.7926074128,26.098000000000003,173807.2674682593,0.0001738072674682593
SFH,unknown,3132129,448154996.6499368,22.646728,10149244310.97203,10.14924431097203
