nuts_id,nuts_name,nuts_level,country,dwelling_share_basis,heat_MWh,heat_TWh
PT1,Continente,1,PT,28906007.0,20238000.0,20.238
PT2,Região Autónoma dos Açores,1,PT,648747.0,360000.0,0.36
PT3,Região Autónoma da Madeira,1,PT,711281.0,374000.00000000006,0.37400000000000005
PT11,Norte,2,PT,10271292.0,6803000.0,6.803
PT15,Algarve,2,PT,1392132.0,971000.0,0.971
PT16,Centro (PT),2,PT,6559727.0,4583000.0,4.583
PT17,Área Metropolitana de Lisboa,2,PT,8598688.0,6432000.0,6.432
PT18,Alentejo,2,PT,2084168.0,1449000.0,1.449
PT20,Região Autónoma dos Açores,2,PT,648747.0,360000.0,0.36
PT30,Região Autónoma da Madeira,2,PT,711281.0,374000.00000000006,0.37400000000000005
PT111,Alto Minho,3,PT,667213.0,449000.0,0.449
PT112,Cávado,3,PT,1145632.0,714000.0,0.714
PT119,Ave,3,PT,1166882.0,764000.0,0.764
PT11A,Área Metropolitana do Porto,3,PT,5041932.0,3185000.0000000005,3.1850000000000005
PT11B,Alto Tâmega,3,PT,252988.0,321000.0,0.321
PT11C,Tâmega e Sousa,3,PT,1133479.0,667000.0,0.667
PT11D,Douro,3,PT,541873.0,403000.0,0.403
PT11E,Terras de Trás-os-Montes,3,PT,321293.0,300000.0,0.3
PT150,Algarve,3,PT,1392132.0,971000.0,0.971
PT16B,Oeste,3,PT,1064683.0,665000.0,0.665
PT16D,Região de Aveiro,3,PT,1057485.0,726000.0,0.726
PT16E,Região de Coimbra,3,PT,1297751.0,942999.9999999999,0.9429999999999998
PT16F,Região de Leiria,3,PT,844020.0,575000.0,0.575
PT16G,Viseu Dão Lafões,3,PT,733628.0,536000.0,0.536
PT16H,Beira Baixa,3,PT,248248.0,191000.0,0.191
PT16I,Médio Tejo,3,PT,678776.0,474000.0,0.474
PT16J,Beiras e Serra da Estrela,3,PT,635136.0,473000.0,0.473
PT170,Área Metropolitana de Lisboa,3,PT,8598688.0,6432000.0,6.432
PT181,Alentejo Litoral,3,PT,283815.0,199000.0,0.199
PT184,Baixo Alentejo,3,PT,338218.0,234000.00000000003,0.23400000000000004
PT185,Lezíria do Tejo,3,PT,694381.0,462000.0,0.462
PT186,Alto Alentejo,3,PT,311633.0,226999.99999999997,0.22699999999999998
PT187,Alentejo Central,3,PT,456121.0,327000.0,0.327
PT200,Região Autónoma dos Açores,3,PT,648747.0,360000.0,0.36
PT300,Região Autónoma da Madeira,3,PT,711281.0,374000.00000000006,0.37400000000000005
