building_class,cohort,n_buildings,total_heated_area_m2,mean_intensity_kwh_m2,total_demand_kwh_yr,total_demand_twh_yr
MFH_HIGH,1946-1970,3,5475.065285571248,140.39043,768646.7697194204,0.0007686467697194204
MFH_HIGH,pre-1945,33,67806.66674750463,147.98985000000002,10034698.4409632,0.0100346984409632
MFH_HIGH,unknown,8386,34926657.10560319,121.28548812000001,4236096655.4529486,4.236096655452949
MFH_LOW,1946-1970,1,408.2418760495931,146.98985000000002,60007.41212424829,6.0007412124248285e-05
MFH_LOW,1971-1990,3,1735.4846851344842,124.19159000000002,215532.60246750095,0.00021553260246750096
MFH_LOW,1991-2010,1,995.4047529268072,80.874896,80503.25587086123,8.050325587086124e-05
MFH_LOW,2011-2020,5,1149.0764375157617,67.19594000000001,77213.27135072288,7.721327135072288e-05
MFH_LOW,post-2020,26,17792.97165754981,55.79681000000001,992791.0589116917,0.0009927910589116917
MFH_LOW,pre-1945,73,69830.81023317788,162.18868999999998,11325767.633357717,0.011325767633357717
MFH_LOW,unknown,109962,63429276.148326494,120.04230668000002,7614196619.88782,7.61419661988782
NON_RESIDENTIAL,1946-1970,48,0.0,135.0,0.0,0.0
NON_RESIDENTIAL,1971-1990,67,0.0,135.0,0.0,0.0
NON_RESIDENTIAL,1991-2010,96,0.0,135.0,0.0,0.0
NON_RESIDENTIAL,2011-2020,58,0.0,135.0,0.0,0.0
NON_RESIDENTIAL,post-2020,100,0.0,135.0,0.0,0.0
NON_RESIDENTIAL,pre-1945,851,0.0,135.0,0.0,0.0
NON_RESIDENTIAL,unknown,2516382,0.0,135.0,0.0,0.0
SFH,1946-1970,2,323.51394084938454,186.78666,60428.08847469411,6.042808847469411e-05
SFH,1971-1990,1,122.41434091676683,144.98985000000002,17748.83692737089,1.774883692737089e-05
SFH,1991-2010,12,1506.0387928570353,99.39333,149690.21073124098,0.00014969021073124098
SFH,2011-2020,7,566.2084281633416,78.874896,44659.63088570705,4.4659630885707046e-05
SFH,post-2020,129,25265.584729223396,61.39623,1551211.6511198878,0.0015512116511198879
SFH,pre-1945,33,5817.352754363967,198.18579000000003,1152916.6513322988,0.0011529166513322988
SFH,unknown,1356786,198136254.86637944,145.40021867999997,28809054786.007786,28.809054786007785
