nuts_id,nuts_name,nuts_level,country,dwelling_share_basis,heat_MWh,heat_TWh
SK0,Slovensko,1,SK,13451395.0,39796000.0,39.796
SK01,Bratislavský kraj,2,SK,1961900.0,7978000.0,7.978
SK02,Západné Slovensko,2,SK,4720049.0,12611000.0,12.611
SK03,Stredné Slovensko,2,SK,3256892.0,9467000.0,9.467
SK04,Východné Slovensko,2,SK,3512554.0,9740000.0,9.74
SK010,Bratislavský kraj,3,SK,1961900.0,7978000.0,7.978
SK021,Trnavský kraj,3,SK,1460346.0,3862999.9999999995,3.8629999999999995
SK022,Trenčiansky kraj,3,SK,1500139.0,4187000.0,4.187
SK023,Nitriansky kraj,3,SK,1759564.0,4561000.000000001,4.561000000000001
SK031,Žilinský kraj,3,SK,1680496.0,5002000.0,5.002
SK032,Banskobystrický kraj,3,SK,1576396.0,4465000.0,4.465
SK041,Prešovský kraj,3,SK,1737257.0,4690000.0,4.69
SK042,Košický kraj,3,SK,1775297.0,5050000.0,5.05
