building_class,cohort,n_buildings,total_heated_area_m2,mean_intensity_kwh_m2,total_demand_kwh_yr,total_demand_twh_yr
MFH_HIGH,1946-1970,1,7153.540254810472,117.63000000000001,841470.9401733559,0.0008414709401733558
MFH_HIGH,1971-1990,4,26246.19558414646,94.95,2492076.2707147063,0.0024920762707147065
MFH_HIGH,1991-2010,2,73137.71757766008,81.18,5937319.912954445,0.005937319912954445
MFH_HIGH,2011-2020,2,111658.85107872283,47.160000000000004,5265831.41687257,0.005265831416872571
MFH_HIGH,post-2020,5,72410.02526990545,43.11,3121596.1893856246,0.0031215961893856247
MFH_HIGH,pre-1945,2,26326.525574484065,129.78,3416656.489056542,0.003416656489056542
MFH_HIGH,unknown,5485,20850522.20592046,102.63690000000001,2140032962.596838,2.140032962596838
MFH_LOW,1946-1970,22,20097.41199639162,117.63000000000001,2364058.5731355464,0.0023640585731355464
MFH_LOW,1971-1990,12,9424.864430450867,94.95,894890.8776713097,0.0008948908776713097
MFH_LOW,1991-2010,9,6993.343131228771,81.18,567719.5953931517,0.0005677195953931517
MFH_LOW,2011-2020,14,66003.55005587658,47.160000000000004,3112727.4206351396,0.0031127274206351396
MFH_LOW,post-2020,30,69236.22982413234,43.11,2984773.8677183455,0.0029847738677183456
MFH_LOW,pre-1945,33,29726.898062628876,129.78,3857956.8305679755,0.0038579568305679756
MFH_LOW,unknown,81547,47011393.750918806,102.63690000000001,4825103719.273679,4.825103719273679
NON_RESIDENTIAL,1946-1970,44,0.0,110.0,0.0,0.0
NON_RESIDENTIAL,1971-1990,44,0.0,110.0,0.0,0.0
NON_RESIDENTIAL,1991-2010,44,0.0,110.0,0.0,0.0
NON_RESIDENTIAL,2011-2020,18,0.0,110.0,0.0,0.0
NON_RESIDENTIAL,post-2020,32,0.0,110.0,0.0,0.0
NON_RESIDENTIAL,pre-1945,103,0.0,110.0,0.0,0.0
NON_RESIDENTIAL,unknown,674142,0.0,110.0,0.0,0.0
SFH,1946-1970,22,3535.2850546732075,107.48,379972.4376762763,0.0003799724376762763
SFH,1971-1990,16,2857.3396945403783,101.0,288591.3091485782,0.0002885913091485782
SFH,1991-2010,14,2043.5328905750246,76.70000000000002,156738.9727071044,0.00015673897270710441
SFH,2011-2020,12,1655.8108796571184,47.54,78717.24921889942,7.871724921889942e-05
SFH,post-2020,20,3072.891580808281,43.49,133640.05484935216,0.00013364005484935217
SFH,pre-1945,74,13193.69914855963,120.44000000000001,1589049.125452522,0.001589049125452522
SFH,unknown,668638,105449511.07684198,98.74010000000001,10412095268.678486,10.412095268678486
