nuts3,building_class,building_count,total_footprint_m2,total_heated_area_m2,mean_floors,median_height_m,source
ES111,MFH_HIGH,13143,4764509.836656928,31011448.715290766,7.258289583808871,16.3,EUBUCCO
ES111,MFH_LOW,110756,22036092.88747669,56321350.55123805,3.132117447361768,7.7,EUBUCCO
ES111,NON_RESIDENTIAL,165907,41858256.27814125,0.0,1.2818747852712664,5.3,EUBUCCO
ES111,SFH,304716,26995482.384958975,37025226.543586075,1.464963441368356,5.5,EUBUCCO
ES112,MFH_HIGH,4027,1957921.3356643901,12344295.509282326,7.037943878817979,15.8,EUBUCCO
ES112,MFH_LOW,39849,8992831.92159739,20277294.865396757,2.8908579889081283,7.8,EUBUCCO
ES112,NON_RESIDENTIAL,130113,27378395.342637114,0.0,1.1294167377587174,5.6,EUBUCCO
ES112,SFH,163766,15430282.901962634,22089399.33796042,1.5457738480514882,6.2,EUBUCCO
ES113,MFH_HIGH,3579,1406758.9077225293,8816294.587788451,7.286951662475552,16.7,EUBUCCO
ES113,MFH_LOW,35713,6933619.365174966,17168923.851855263,3.0511578416823006,7.8,EUBUCCO
ES113,NON_RESIDENTIAL,72524,13622168.099638991,0.0,1.218034030114169,5.9,EUBUCCO
ES113,SFH,231455,18339353.092535526,26277146.415740456,1.5567285217428872,6.3,EUBUCCO
ES114,MFH_HIGH,7374,3488460.825654304,23619074.920014754,7.649552481692433,17.8,EUBUCCO
ES114,MFH_LOW,97528,17404319.5437449,44403398.46644773,3.069957345582807,7.5,EUBUCCO
ES114,NON_RESIDENTIAL,147707,28298918.407537475,0.0,1.2142031183356239,5.8,EUBUCCO
ES114,SFH,304135,24270994.789360333,32742382.475233167,1.4174853272395482,5.8,EUBUCCO
ES120,MFH_HIGH,12447,5904712.907189125,38247988.994351424,7.227098899333172,17.7,EUBUCCO
ES120,MFH_LOW,57819,10921510.146881973,29113228.96296121,3.1670298690741796,7.4,EUBUCCO
ES120,NON_RESIDENTIAL,206312,31048182.12663483,0.0,1.2293623250222965,4.5,EUBUCCO
ES120,SFH,259469,18390984.015259776,25234580.961523816,1.4941260805722456,5.3,EUBUCCO
ES130,MFH_HIGH,5288,2527422.620376657,16783704.079301067,7.450151285930409,17.9,EUBUCCO
ES130,MFH_LOW,41757,9874846.969492648,26281218.875612937,3.102703738295376,7.6,EUBUCCO
ES130,NON_RESIDENTIAL,85856,19370516.995564137,0.0,1.4660140234811778,5.4,EUBUCCO
ES130,SFH,94895,9206608.635419732,13849243.010906752,1.6099710206017177,5.7,EUBUCCO
ES211,MFH_HIGH,1331,1503730.5941087806,8073238.242148323,6.253268219383922,19.2,EUBUCCO
ES211,MFH_LOW,9981,4427482.0429824395,9635775.746701704,2.4146177737701633,7.5,EUBUCCO
ES211,NON_RESIDENTIAL,28391,14399292.191609234,0.0,1.342805818745377,4.6,EUBUCCO
ES211,SFH,13343,1908789.4691206098,2477917.938147577,1.4827550026230985,5.8,EUBUCCO
ES212,MFH_HIGH,1898,1305920.9443921917,7949138.630893325,7.412328767123288,18.0,EUBUCCO
ES212,MFH_LOW,22431,8926063.96548548,22544391.82906909,2.763082341402523,9.7,EUBUCCO
ES212,NON_RESIDENTIAL,29960,17221855.892722625,0.0,1.416562082777036,5.4,EUBUCCO
ES212,SFH,14526,2153495.17622203,2870661.4801144633,1.5482307586396804,6.4,EUBUCCO
ES213,MFH_HIGH,3845,4710710.864007782,26244918.315608278,6.454694408322497,18.4,EUBUCCO
ES213,MFH_LOW,29242,12262275.61488862,28999208.400103454,2.527576773134532,8.1,EUBUCCO
ES213,NON_RESIDENTIAL,34094,19082997.134172443,0.0,1.445673725582214,5.0,EUBUCCO
ES213,SFH,29191,3970038.71283127,5156165.516101026,1.467935322530917,5.9,EUBUCCO
ES220,MFH_HIGH,863,1358532.8411680013,8052691.693678614,7.408227114716107,21.5,EUBUCCO
ES220,MFH_LOW,24668,13033078.018062308,28626762.507807538,2.222437976325604,7.6,EUBUCCO
ES220,NON_RESIDENTIAL,69370,33177576.244257424,0.0,1.2768992359809717,4.1,EUBUCCO
ES220,SFH,39107,5530883.459621988,6997680.197425117,1.4575855984862045,5.9,EUBUCCO
ES230,MFH_HIGH,3249,1916081.5068005165,12316542.868826533,7.392859341335796,19.7,EUBUCCO
ES230,MFH_LOW,39230,6271592.346168821,17779936.406604484,3.3273387713484577,9.2,EUBUCCO
ES230,NON_RESIDENTIAL,62397,18709723.340899408,0.0,1.3397743481257112,5.8,EUBUCCO
ES230,SFH,34082,2649298.8578384398,3685561.6975716855,1.5083416466169826,6.4,EUBUCCO
ES241,MFH_HIGH,1767,1094024.9275270298,7035025.268175055,7.1997736276174304,17.7,EUBUCCO
ES241,MFH_LOW,38527,7014342.5047910195,17942994.257458176,3.1438549588600204,9.3,EUBUCCO
ES241,NON_RESIDENTIAL,95356,31746301.101760946,0.0,1.2454958261672051,5.6,EUBUCCO
