nuts_id,building_class,n_buildings,heat_demand_MWh
ES111,MFH_HIGH,13143,1062167.2628792191
ES111,MFH_LOW,110756,2107674.6821502033
ES111,NON_RESIDENTIAL,165907,0.0
ES111,SFH,304716,1871228.8212453155
ES112,MFH_HIGH,4027,389519.17698127136
ES112,MFH_LOW,39849,823068.2586237653
ES112,NON_RESIDENTIAL,130113,0.0
ES112,SFH,163766,1252128.5556429392
ES113,MFH_HIGH,3579,296317.9165471626
ES113,MFH_LOW,35713,655799.1424078539
ES113,NON_RESIDENTIAL,72524,0.0
ES113,SFH,231455,1476352.245532038
ES114,MFH_HIGH,7374,801748.6378922509
ES114,MFH_LOW,97528,1611606.5508292106
ES114,NON_RESIDENTIAL,147707,0.0
ES114,SFH,304135,1592503.383934658
ES120,MFH_HIGH,12447,1343238.3316028237
ES120,MFH_LOW,57819,1205997.449666027
ES120,NON_RESIDENTIAL,206312,0.0
ES120,SFH,259469,1413303.7029641669
ES130,MFH_HIGH,5288,601758.1290983761
ES130,MFH_LOW,41757,1038216.7073856783
ES130,NON_RESIDENTIAL,85856,0.0
ES130,SFH,94895,719002.8532419123
ES211,MFH_HIGH,1331,293111.6894632977
ES211,MFH_LOW,9981,388861.36013846385
ES211,NON_RESIDENTIAL,28391,0.0
ES211,SFH,13343,126296.10720344719
ES212,MFH_HIGH,1898,288318.3573316011
ES212,MFH_LOW,22431,909797.7148548855
ES212,NON_RESIDENTIAL,29960,0.0
ES212,SFH,14526,146319.5996478264
ES213,MFH_HIGH,3845,952878.9600540394
ES213,MFH_LOW,29242,1170238.9172402117
ES213,NON_RESIDENTIAL,34094,0.0
ES213,SFH,29191,262812.3543003279
ES220,MFH_HIGH,863,292365.71450827236
ES220,MFH_LOW,24668,1155233.3062706953
ES220,NON_RESIDENTIAL,69370,0.0
ES220,SFH,39107,356666.2553767801
ES230,MFH_HIGH,3249,422866.97099820495
ES230,MFH_LOW,39230,752412.7185745335
ES230,NON_RESIDENTIAL,62397,0.0
ES230,SFH,34082,192664.18916271802
ES241,MFH_HIGH,1767,239921.1647487916
ES241,MFH_LOW,38527,797734.7394905306
ES241,NON_RESIDENTIAL,95356,0.0
ES241,SFH,46596,326834.9064388835
ES242,MFH_HIGH,670,59456.389505285704
ES242,MFH_LOW,52935,796242.0578112868
ES242,NON_RESIDENTIAL,82298,0.0
ES242,SFH,48392,293882.538689595
ES243,MFH_HIGH,7223,1281756.232954471
ES243,MFH_LOW,72360,1465458.637958337
ES243,NON_RESIDENTIAL,125982,0.0
ES243,SFH,125941,726409.6300574208
ES300,MFH_HIGH,44414,8046089.011777353
ES300,MFH_LOW,237447,5674108.10916353
ES300,NON_RESIDENTIAL,173543,0.0
ES300,SFH,351338,1962176.7610945252
ES411,MFH_HIGH,457,65086.008059037464
ES411,MFH_LOW,28063,453695.58787088614
ES411,NON_RESIDENTIAL,86200,0.0
ES411,SFH,113895,641048.6849660282
ES412,MFH_HIGH,3516,471975.5873094617
ES412,MFH_LOW,41986,789864.8804818479
ES412,NON_RESIDENTIAL,105335,0.0
ES412,SFH,110708,728195.6216915421
ES413,MFH_HIGH,3133,389364.887714308
ES413,MFH_LOW,48558,1113634.4407569694
ES413,NON_RESIDENTIAL,168057,0.0
ES413,SFH,207242,1437050.936759815
ES414,MFH_HIGH,1255,152964.5471650628
ES414,MFH_LOW,13066,331584.7492717121
ES414,NON_RESIDENTIAL,51535,0.0
ES414,SFH,63483,432697.1857231266
ES415,MFH_HIGH,2552,304610.8122756972
ES415,MFH_LOW,27095,725876.6597454563
ES415,NON_RESIDENTIAL,117927,0.0
ES415,SFH,115083,737121.146731808
ES416,MFH_HIGH,336,45250.55084892276
ES416,MFH_LOW,17875,394288.4014290874
ES416,NON_RESIDENTIAL,55698,0.0
ES416,SFH,87307,559001.1595774823
ES417,MFH_HIGH,651,78851.67122297875
ES417,MFH_LOW,17421,313036.32955359935
ES417,NON_RESIDENTIAL,51879,0.0
ES417,SFH,38958,269921.7270849952
ES418,MFH_HIGH,3463,598591.8846783171
ES418,MFH_LOW,21646,643634.6483886322
ES418,NON_RESIDENTIAL,70646,0.0
ES418,SFH,114606,649519.8889264896
ES419,MFH_HIGH,1016,143531.2953284946
ES419,MFH_LOW,20141,446542.0570151773
ES419,NON_RESIDENTIAL,88201,0.0
ES419,SFH,125367,778575.293980483
ES421,MFH_HIGH,2854,326277.99103906605
ES421,MFH_LOW,30298,728074.9338641816
ES421,NON_RESIDENTIAL,80610,0.0
ES421,SFH,129748,912047.1642357813
ES422,MFH_HIGH,1123,124348.0093134003
ES422,MFH_LOW,37205,911676.9525767358
ES422,NON_RESIDENTIAL,134516,0.0
ES422,SFH,214026,1439071.5057999464
ES423,MFH_HIGH,757,95086.43601844764
ES423,MFH_LOW,28351,495536.34916194866
ES423,NON_RESIDENTIAL,92662,0.0
ES423,SFH,119972,843449.5343492806
ES424,MFH_HIGH,610,111766.37279056979
ES424,MFH_LOW,37302,537148.508133583
ES424,NON_RESIDENTIAL,70502,0.0
ES424,SFH,111744,631960.8990531157
ES425,MFH_HIGH,1419,229278.9679391065
ES425,MFH_LOW,56809,1113064.979597388
ES425,NON_RESIDENTIAL,135927,0.0
ES425,SFH,335419,1996718.6525208564
ES431,MFH_HIGH,1812,249443.5021539318
ES431,MFH_LOW,41977,970097.7289901634
