building_class,cohort,n_buildings,total_heated_area_m2,mean_intensity_kwh_m2,total_demand_kwh_yr,total_demand_twh_yr
MFH_HIGH,1946-1970,93450,132332677.66301356,70.839125,9374331094.554926,9.374331094554925
MFH_HIGH,1971-1990,121074,268996948.08930427,60.012625000000014,16143212971.827883,16.143212971827882
MFH_HIGH,1991-2010,83289,233713449.31555954,47.562149999999995,11115914133.364042,11.115914133364042
MFH_HIGH,2011-2020,7965,27340974.644902326,34.02902500000001,930386709.7157472,0.9303867097157472
MFH_HIGH,post-2020,9,28772.68932381767,24.826500000000006,714325.1714977594,0.0007143251714977594
MFH_HIGH,pre-1945,25460,24189109.22425215,76.25237499999999,1844477027.4836335,1.8444770274836335
MFH_HIGH,unknown,11221,74424188.82175918,59.22770375000001,4407973807.369215,4.407973807369215
MFH_LOW,1946-1970,499192,144313821.32592982,78.959,11394875018.074095,11.394875018074094
MFH_LOW,1971-1990,653404,230237822.86841744,65.425875,15063511019.261217,15.063511019261217
MFH_LOW,1991-2010,1134542,444405931.52104294,52.9754,23542581984.69986,23.542581984699858
MFH_LOW,2011-2020,156670,56023792.402624875,36.73565,2058070429.3754869,2.058070429375487
MFH_LOW,post-2020,70,20751.260686775844,27.533124999999995,571347.0543965852,0.0005713470543965853
MFH_LOW,pre-1945,632425,136324485.66645882,87.078875,11870982846.788858,11.87098284678886
MFH_LOW,unknown,115667,76064535.13185407,65.83186875000001,5007470493.329981,5.007470493329981
NON_RESIDENTIAL,1946-1970,571633,0.0,90.0,0.0,0.0
NON_RESIDENTIAL,1971-1990,1100791,0.0,90.0,0.0,0.0
NON_RESIDENTIAL,1991-2010,1455676,0.0,90.0,0.0,0.0
NON_RESIDENTIAL,2011-2020,363666,0.0,90.0,0.0,0.0
NON_RESIDENTIAL,post-2020,121,0.0,90.0,0.0,0.0
NON_RESIDENTIAL,pre-1945,728029,0.0,90.0,0.0,0.0
NON_RESIDENTIAL,unknown,1160624,0.0,90.0,0.0,0.0
SFH,1946-1970,1598701,109906611.2660566,99.90537499999999,10980261213.514612,10.980261213514613
SFH,1971-1990,1863334,136475596.48630348,83.66562500000002,11418316077.274382,11.418316077274381
SFH,1991-2010,2801869,217362933.37602922,64.71925,14067566025.896582,14.067566025896582
SFH,2011-2020,522211,38931363.539931074,44.148900000000005,1718776875.7880635,1.7187768757880635
SFH,post-2020,192,17113.627206439276,32.23975,551739.0627288006,0.0005517390627288005
SFH,pre-1945,1767832,124872801.94113205,113.43850000000003,14165383342.99911,14.165383342999109
SFH,unknown,468595,26448393.272778142,83.145953,2199076863.983928,2.199076863983928
