nuts_id,building_class,n_buildings,heat_demand_MWh
SE110,MFH_HIGH,4042,3067937.73462588
SE110,MFH_LOW,51441,6580009.076381541
SE110,NON_RESIDENTIAL,220274,0.0
SE110,SFH,376089,7608070.085931695
SE121,MFH_HIGH,322,177849.7049832142
SE121,MFH_LOW,15793,1643545.3263844538
SE121,NON_RESIDENTIAL,108149,0.0
SE121,SFH,90149,2227322.726914584
SE122,MFH_HIGH,65,37217.58827317516
SE122,MFH_LOW,9702,1000886.0479069104
SE122,NON_RESIDENTIAL,125612,0.0
SE122,SFH,74489,1779211.541969114
SE123,MFH_HIGH,289,148225.63319051726
SE123,MFH_LOW,11768,1298830.0641826119
SE123,NON_RESIDENTIAL,256235,0.0
SE123,SFH,94403,2163799.0473566456
SE124,MFH_HIGH,122,47457.87279312342
SE124,MFH_LOW,7896,765951.2310164483
SE124,NON_RESIDENTIAL,184535,0.0
SE124,SFH,72153,1635143.5196238586
SE125,MFH_HIGH,134,82580.46465021104
SE125,MFH_LOW,9276,1039111.3992633462
SE125,NON_RESIDENTIAL,109497,0.0
SE125,SFH,59875,1522269.3889427313
SE211,MFH_HIGH,115,72916.72409878834
SE211,MFH_LOW,9761,723964.3623602836
SE211,NON_RESIDENTIAL,209690,0.0
SE211,SFH,78577,1992358.3739598696
SE212,MFH_HIGH,12,12569.514471147932
SE212,MFH_LOW,6221,452716.05600487307
SE212,NON_RESIDENTIAL,130815,0.0
SE212,SFH,43620,1170521.1219803188
SE213,MFH_HIGH,18,6084.902885884643
SE213,MFH_LOW,6886,518862.89524742606
SE213,NON_RESIDENTIAL,206463,0.0
SE213,SFH,75592,1840673.6475866523
SE214,MFH_LOW,2336,167855.26531159712
SE214,NON_RESIDENTIAL,75029,0.0
SE214,SFH,25412,517026.0075794786
SE221,MFH_HIGH,19,7492.74158156511
SE221,MFH_LOW,4225,311096.7601442651
SE221,NON_RESIDENTIAL,105674,0.0
SE221,SFH,48499,1079834.7104624652
SE224,MFH_HIGH,815,407999.42355203186
SE224,MFH_LOW,26571,2479902.6655770433
SE224,NON_RESIDENTIAL,419288,0.0
SE224,SFH,260389,6178740.120767655
SE231,MFH_HIGH,47,24183.48268257518
SE231,MFH_LOW,9862,652812.3194905138
SE231,NON_RESIDENTIAL,148218,0.0
SE231,SFH,78099,1895101.815794911
SE232,MFH_HIGH,948,489084.9622112862
SE232,MFH_LOW,38044,3644675.214748269
SE232,NON_RESIDENTIAL,691555,0.0
SE232,SFH,396162,8178829.784263228
SE311,MFH_HIGH,98,31208.01566594828
SE311,MFH_LOW,6291,509573.89524303476
SE311,NON_RESIDENTIAL,261370,0.0
SE311,SFH,59233,1420408.4478081372
SE312,MFH_HIGH,80,35110.808369164486
SE312,MFH_LOW,8508,658366.9676056887
SE312,NON_RESIDENTIAL,305780,0.0
SE312,SFH,94007,2332629.1662320797
SE313,MFH_HIGH,81,43936.5206918654
SE313,MFH_LOW,8560,728498.695830835
SE313,NON_RESIDENTIAL,218633,0.0
SE313,SFH,74291,1856327.9997731852
SE321,MFH_HIGH,57,22042.35422775652
SE321,MFH_LOW,5351,426680.3225264013
SE321,NON_RESIDENTIAL,203089,0.0
SE321,SFH,65995,1608990.9581105218
SE322,MFH_HIGH,22,10571.099280038423
SE322,MFH_LOW,3588,308642.26450720814
SE322,NON_RESIDENTIAL,176776,0.0
SE322,SFH,36883,904864.1532477495
SE331,MFH_HIGH,101,37207.751566110004
SE331,MFH_LOW,9646,768140.6912241274
SE331,NON_RESIDENTIAL,189455,0.0
SE331,SFH,68558,1765765.0004693111
SE332,MFH_HIGH,66,31059.186406098142
SE332,MFH_LOW,9098,625160.6659433184
SE332,NON_RESIDENTIAL,250139,0.0
SE332,SFH,84726,2060639.3558775182
