nuts_id,building_class,n_buildings,heat_demand_MWh
CH011,MFH_HIGH,1069,690019.3607793075
CH011,MFH_LOW,38627,3709795.9273188086
CH011,NON_RESIDENTIAL,116921,0.0
CH011,SFH,105863,2759081.854288219
CH012,MFH_HIGH,253,113494.70701373994
CH012,MFH_LOW,22796,1759247.5657445549
CH012,NON_RESIDENTIAL,70010,0.0
CH012,SFH,127181,2733325.0344268256
CH013,MFH_HIGH,1472,1035401.2537802964
CH013,MFH_LOW,7425,1156074.0476222648
CH013,NON_RESIDENTIAL,43094,0.0
CH013,SFH,33202,736016.8939881137
CH021,MFH_HIGH,505,459827.8002371201
CH021,MFH_LOW,46849,5255161.334520489
CH021,NON_RESIDENTIAL,203711,0.0
CH021,SFH,141849,4385137.794830082
CH022,MFH_HIGH,302,124950.3888587952
CH022,MFH_LOW,19024,1561937.219070596
CH022,NON_RESIDENTIAL,87821,0.0
CH022,SFH,65540,1837243.859176436
CH023,MFH_HIGH,86,46738.69375528187
CH023,MFH_LOW,12477,1278788.2150073617
CH023,NON_RESIDENTIAL,40401,0.0
CH023,SFH,48305,1469820.124189417
CH024,MFH_HIGH,126,42901.70296159392
CH024,MFH_LOW,10087,985470.2033932111
CH024,NON_RESIDENTIAL,22346,0.0
CH024,SFH,19408,515251.4655466481
CH025,MFH_HIGH,10,3945.471099990461
CH025,MFH_LOW,4591,418393.3388666449
CH025,NON_RESIDENTIAL,16834,0.0
CH025,SFH,16812,518177.7121405838
CH031,MFH_HIGH,405,658711.0396120265
CH031,MFH_LOW,3382,1018265.373935637
CH031,NON_RESIDENTIAL,4628,0.0
CH031,SFH,2948,93643.0027179958
CH032,MFH_HIGH,84,61427.99495466135
CH032,MFH_LOW,12147,1449459.1144629891
CH032,NON_RESIDENTIAL,25146,0.0
CH032,SFH,37113,1120377.5344639814
CH033,MFH_HIGH,272,183255.7126905616
CH033,MFH_LOW,35119,3866726.4232881675
CH033,NON_RESIDENTIAL,71967,0.0
CH033,SFH,96624,3162575.1453640587
CH040,MFH_HIGH,1705,1226088.9839696425
CH040,MFH_LOW,71907,8150325.596931034
CH040,NON_RESIDENTIAL,122822,0.0
CH040,SFH,115954,3422393.5841283775
CH051,MFH_HIGH,9,3146.421089412627
CH051,MFH_LOW,3847,215081.5546992163
CH051,NON_RESIDENTIAL,14886,0.0
CH051,SFH,15778,350918.57636831765
CH052,MFH_HIGH,53,32053.46393252051
CH052,MFH_LOW,4309,518787.2665363471
CH052,NON_RESIDENTIAL,8755,0.0
CH052,SFH,10325,311342.34864844085
CH053,MFH_HIGH,12,1849.3486900477064
CH053,MFH_LOW,5310,276337.28532395756
CH053,NON_RESIDENTIAL,12553,0.0
CH053,SFH,17010,427296.1769748913
CH054,MFH_LOW,1389,74577.96903226837
CH054,NON_RESIDENTIAL,7992,0.0
CH054,SFH,8693,208184.38045563028
CH055,MFH_HIGH,227,89207.2422509438
CH055,MFH_LOW,34730,2760758.0263435706
CH055,NON_RESIDENTIAL,101425,0.0
CH055,SFH,111260,2923176.803892852
CH056,MFH_HIGH,215,79226.09671320388
CH056,MFH_LOW,25047,1628357.0953024507
CH056,NON_RESIDENTIAL,56036,0.0
CH056,SFH,88038,1956538.6743884885
CH057,MFH_HIGH,37,18484.040352845164
CH057,MFH_LOW,18052,1710272.276968151
CH057,NON_RESIDENTIAL,36547,0.0
CH057,SFH,45343,1423731.3302392843
CH061,MFH_HIGH,374,269381.99822613096
CH061,MFH_LOW,25628,2664992.7547747367
CH061,NON_RESIDENTIAL,45070,0.0
CH061,SFH,41554,1368837.4408492276
CH062,MFH_HIGH,25,4530.537874152747
CH062,MFH_LOW,2900,185041.24305363753
CH062,NON_RESIDENTIAL,9605,0.0
CH062,SFH,12649,289466.3090215257
CH063,MFH_HIGH,40,15076.666849241748
CH063,MFH_LOW,13032,906121.6901448162
CH063,NON_RESIDENTIAL,31709,0.0
CH063,SFH,32786,832765.1240604596
CH064,MFH_LOW,2647,227430.79595460775
CH064,NON_RESIDENTIAL,6203,0.0
CH064,SFH,8594,255856.94229341482
CH065,MFH_HIGH,8,6493.31509765462
CH065,MFH_LOW,3514,308981.59538806614
CH065,NON_RESIDENTIAL,4014,0.0
CH065,SFH,5305,175289.81525699983
CH066,MFH_HIGH,186,104078.49846417262
CH066,MFH_LOW,8443,758162.3290260329
CH066,NON_RESIDENTIAL,15306,0.0
CH066,SFH,11135,298586.15366173827
CH070,MFH_HIGH,403,178241.6203761712
CH070,MFH_LOW,22170,2384321.2933658236
CH070,NON_RESIDENTIAL,24697,0.0
CH070,SFH,117865,2517391.048462939
