nuts_id,building_class,n_buildings,heat_demand_MWh
UKC11,MFH_HIGH,19,9657.782778693523
UKC11,MFH_LOW,7416,581386.0607357603
UKC11,NON_RESIDENTIAL,17154,0.0
UKC11,SFH,64412,1074460.4368092562
UKC12,MFH_HIGH,22,12912.556222248415
UKC12,MFH_LOW,8161,696732.437034069
UKC12,NON_RESIDENTIAL,14510,0.0
UKC12,SFH,56860,963530.1674789953
UKC13,MFH_HIGH,4,2967.9035543708205
UKC13,MFH_LOW,2717,253522.76220971328
UKC13,NON_RESIDENTIAL,6968,0.0
UKC13,SFH,23268,384416.8525352673
UKC14,MFH_HIGH,11,7432.767650318479
UKC14,MFH_LOW,15530,1003297.6723469065
UKC14,NON_RESIDENTIAL,41724,0.0
UKC14,SFH,158591,2276657.6793696084
UKC21,MFH_LOW,8993,594733.3497540309
UKC21,NON_RESIDENTIAL,37511,0.0
UKC21,SFH,140614,1763494.3367598346
UKC22,MFH_HIGH,127,101040.21722928874
UKC22,MFH_LOW,15195,1918600.7949710225
UKC22,NON_RESIDENTIAL,19834,0.0
UKC22,SFH,183879,2651554.790932752
UKC23,MFH_HIGH,11,6619.526013838317
UKC23,MFH_LOW,5706,666870.6287014732
UKC23,NON_RESIDENTIAL,8316,0.0
UKC23,SFH,53531,850181.4192893647
UKD11,MFH_HIGH,2,1163.568200217139
UKD11,MFH_LOW,6084,533376.6352450715
UKD11,NON_RESIDENTIAL,41166,0.0
UKD11,SFH,58445,983011.761376189
UKD12,MFH_HIGH,3,1604.7716357486504
UKD12,MFH_LOW,8318,593829.5619725264
UKD12,NON_RESIDENTIAL,56561,0.0
UKD12,SFH,84132,1371323.6071748328
UKD33,MFH_HIGH,329,288235.7342418644
UKD33,MFH_LOW,11124,957232.2314150875
UKD33,NON_RESIDENTIAL,11625,0.0
UKD33,SFH,77023,1164761.6541322684
UKD34,MFH_HIGH,147,139131.991825163
UKD34,MFH_LOW,9650,775028.8568121986
UKD34,NON_RESIDENTIAL,20395,0.0
UKD34,SFH,88670,1539879.8635401856
UKD35,MFH_HIGH,42,24492.0748054855
UKD35,MFH_LOW,9545,697057.4514927772
UKD35,NON_RESIDENTIAL,22716,0.0
UKD35,SFH,105355,1798381.670808513
UKD36,MFH_HIGH,25,14490.657230044882
UKD36,MFH_LOW,6788,492316.8814928326
UKD36,NON_RESIDENTIAL,36215,0.0
UKD36,SFH,207055,2537594.955060374
UKD37,MFH_HIGH,16,10756.166198733892
UKD37,MFH_LOW,11803,931092.2008292365
UKD37,NON_RESIDENTIAL,30128,0.0
UKD37,SFH,127878,1987734.1687342473
UKD41,MFH_HIGH,1,548.9899277113553
UKD41,MFH_LOW,3253,300623.7284483542
UKD41,NON_RESIDENTIAL,9390,0.0
UKD41,SFH,27364,414244.9243217995
UKD42,MFH_HIGH,24,9890.520119352062
UKD42,MFH_LOW,3273,371418.13284904143
UKD42,NON_RESIDENTIAL,10152,0.0
UKD42,SFH,22942,446186.52836441726
