country,year,metric,value,unit,source_dataset
AT,2015,price_gas_residential_EUR_per_MWh,72.05,EUR/MWh GCV tax-incl,Eurostat nrg_pc_202 band D2
AT,2016,price_gas_residential_EUR_per_MWh,68.18,EUR/MWh GCV tax-incl,Eurostat nrg_pc_202 band D2
AT,2017,price_gas_residential_EUR_per_MWh,68.6,EUR/MWh GCV tax-incl,Eurostat nrg_pc_202 band D2
AT,2018,price_gas_residential_EUR_per_MWh,68.51,EUR/MWh GCV tax-incl,Eurostat nrg_pc_202 band D2
AT,2019,price_gas_residential_EUR_per_MWh,66.72,EUR/MWh GCV tax-incl,Eurostat nrg_pc_202 band D2
AT,2020,price_gas_residential_EUR_per_MWh,65.19,EUR/MWh GCV tax-incl,Eurostat nrg_pc_202 band D2
AT,2021,price_gas_residential_EUR_per_MWh,66.54,EUR/MWh GCV tax-incl,Eurostat nrg_pc_202 band D2
AT,2022,price_gas_residential_EUR_per_MWh,100.09,EUR/MWh GCV tax-incl,Eurostat nrg_pc_202 band D2
AT,2023,price_gas_residential_EUR_per_MWh,151.85,EUR/MWh GCV tax-incl,Eurostat nrg_pc_202 band D2
AT,2015,price_electricity_residential_EUR_per_MWh,199.6,EUR/MWh tax-incl,Eurostat nrg_pc_204 band DC
AT,2016,price_electricity_residential_EUR_per_MWh,202.2,EUR/MWh tax-incl,Eurostat nrg_pc_204 band DC
AT,2017,price_electricity_residential_EUR_per_MWh,196.4,EUR/MWh tax-incl,Eurostat nrg_pc_204 band DC
AT,2018,price_electricity_residential_EUR_per_MWh,198.9,EUR/MWh tax-incl,Eurostat nrg_pc_204 band DC
AT,2019,price_electricity_residential_EUR_per_MWh,205.4,EUR/MWh tax-incl,Eurostat nrg_pc_204 band DC
AT,2020,price_electricity_residential_EUR_per_MWh,213.9,EUR/MWh tax-incl,Eurostat nrg_pc_204 band DC
AT,2021,price_electricity_residential_EUR_per_MWh,225.05,EUR/MWh tax-incl,Eurostat nrg_pc_204 band DC
AT,2022,price_electricity_residential_EUR_per_MWh,230.95,EUR/MWh tax-incl,Eurostat nrg_pc_204 band DC
AT,2023,price_electricity_residential_EUR_per_MWh,270.05,EUR/MWh tax-incl,Eurostat nrg_pc_204 band DC
AT,2015,price_heating_oil_EUR_per_litre,NA,EUR/L,missing (source: EU Weekly Oil Bulletin per-country weekly PDFs; CH use BFS; UK use DESNZ QEP 4.1.1)
AT,2016,price_heating_oil_EUR_per_litre,NA,EUR/L,missing (source: EU Weekly Oil Bulletin per-country weekly PDFs; CH use BFS; UK use DESNZ QEP 4.1.1)
AT,2017,price_heating_oil_EUR_per_litre,NA,EUR/L,missing (source: EU Weekly Oil Bulletin per-country weekly PDFs; CH use BFS; UK use DESNZ QEP 4.1.1)
