country,year,population,source_dataset
AT,2025,9029008,Eurostat proj_19np EUROPOP2023 baseline
AT,2026,9056032,Eurostat proj_19np EUROPOP2023 baseline
AT,2027,9081582,Eurostat proj_19np EUROPOP2023 baseline
AT,2028,9105605,Eurostat proj_19np EUROPOP2023 baseline
AT,2029,9128085,Eurostat proj_19np EUROPOP2023 baseline
AT,2030,9149001,Eurostat proj_19np EUROPOP2023 baseline
AT,2031,9168378,Eurostat proj_19np EUROPOP2023 baseline
AT,2032,9186322,Eurostat proj_19np EUROPOP2023 baseline
AT,2033,9202944,Eurostat proj_19np EUROPOP2023 baseline
AT,2034,9218358,Eurostat proj_19np EUROPOP2023 baseline
AT,2035,9232708,Eurostat proj_19np EUROPOP2023 baseline
AT,2036,9246132,Eurostat proj_19np EUROPOP2023 baseline
AT,2037,9258758,Eurostat proj_19np EUROPOP2023 baseline
AT,2038,9270663,Eurostat proj_19np EUROPOP2023 baseline
AT,2039,9281870,Eurostat proj_19np EUROPOP2023 baseline
AT,2040,9292363,Eurostat proj_19np EUROPOP2023 baseline
AT,2041,9302159,Eurostat proj_19np EUROPOP2023 baseline
AT,2042,9311198,Eurostat proj_19np EUROPOP2023 baseline
AT,2043,9319386,Eurostat proj_19np EUROPOP2023 baseline
AT,2044,9326645,Eurostat proj_19np EUROPOP2023 baseline
AT,2045,9332840,Eurostat proj_19np EUROPOP2023 baseline
AT,2046,9337916,Eurostat proj_19np EUROPOP2023 baseline
AT,2047,9341787,Eurostat proj_19np EUROPOP2023 baseline
AT,2048,9344407,Eurostat proj_19np EUROPOP2023 baseline
AT,2049,9345755,Eurostat proj_19np EUROPOP2023 baseline
AT,2050,9345829,Eurostat proj_19np EUROPOP2023 baseline
BE,2025,11661206,Eurostat proj_19np EUROPOP2023 baseline
BE,2026,11682113,Eurostat proj_19np EUROPOP2023 baseline
BE,2027,11702256,Eurostat proj_19np EUROPOP2023 baseline
BE,2028,11721611,Eurostat proj_19np EUROPOP2023 baseline
BE,2029,11740202,Eurostat proj_19np EUROPOP2023 baseline
BE,2030,11757990,Eurostat proj_19np EUROPOP2023 baseline
BE,2031,11775036,Eurostat proj_19np EUROPOP2023 baseline
BE,2032,11791308,Eurostat proj_19np EUROPOP2023 baseline
BE,2033,11806853,Eurostat proj_19np EUROPOP2023 baseline
BE,2034,11821687,Eurostat proj_19np EUROPOP2023 baseline
BE,2035,11835820,Eurostat proj_19np EUROPOP2023 baseline
BE,2036,11849251,Eurostat proj_19np EUROPOP2023 baseline
BE,2037,11861941,Eurostat proj_19np EUROPOP2023 baseline
BE,2038,11873817,Eurostat proj_19np EUROPOP2023 baseline
BE,2039,11884834,Eurostat proj_19np EUROPOP2023 baseline
BE,2040,11894881,Eurostat proj_19np EUROPOP2023 baseline
BE,2041,11903861,Eurostat proj_19np EUROPOP2023 baseline
BE,2042,11911676,Eurostat proj_19np EUROPOP2023 baseline
BE,2043,11918209,Eurostat proj_19np EUROPOP2023 baseline
BE,2044,11923438,Eurostat proj_19np EUROPOP2023 baseline
BE,2045,11927324,Eurostat proj_19np EUROPOP2023 baseline
BE,2046,11929877,Eurostat proj_19np EUROPOP2023 baseline
BE,2047,11931069,Eurostat proj_19np EUROPOP2023 baseline
BE,2048,11930955,Eurostat proj_19np EUROPOP2023 baseline
BE,2049,11929576,Eurostat proj_19np EUROPOP2023 baseline
BE,2050,11926987,Eurostat proj_19np EUROPOP2023 baseline
BG,2025,6690388,Eurostat proj_19np EUROPOP2023 baseline
BG,2026,6641602,Eurostat proj_19np EUROPOP2023 baseline
BG,2027,6593155,Eurostat proj_19np EUROPOP2023 baseline
BG,2028,6545093,Eurostat proj_19np EUROPOP2023 baseline
BG,2029,6497456,Eurostat proj_19np EUROPOP2023 baseline
BG,2030,6450296,Eurostat proj_19np EUROPOP2023 baseline
BG,2031,6403703,Eurostat proj_19np EUROPOP2023 baseline
BG,2032,6357737,Eurostat proj_19np EUROPOP2023 baseline
BG,2033,6312459,Eurostat proj_19np EUROPOP2023 baseline
BG,2034,6267883,Eurostat proj_19np EUROPOP2023 baseline
BG,2035,6224049,Eurostat proj_19np EUROPOP2023 baseline
BG,2036,6180973,Eurostat proj_19np EUROPOP2023 baseline
BG,2037,6138706,Eurostat proj_19np EUROPOP2023 baseline
BG,2038,6097255,Eurostat proj_19np EUROPOP2023 baseline
BG,2039,6056608,Eurostat proj_19np EUROPOP2023 baseline
BG,2040,6016719,Eurostat proj_19np EUROPOP2023 baseline
BG,2041,5977614,Eurostat proj_19np EUROPOP2023 baseline
BG,2042,5939263,Eurostat proj_19np EUROPOP2023 baseline
BG,2043,5901635,Eurostat proj_19np EUROPOP2023 baseline
BG,2044,5864708,Eurostat proj_19np EUROPOP2023 baseline
BG,2045,5828425,Eurostat proj_19np EUROPOP2023 baseline
BG,2046,5792745,Eurostat proj_19np EUROPOP2023 baseline
BG,2047,5757604,Eurostat proj_19np EUROPOP2023 baseline
BG,2048,5722976,Eurostat proj_19np EUROPOP2023 baseline
BG,2049,5688799,Eurostat proj_19np EUROPOP2023 baseline
BG,2050,5655026,Eurostat proj_19np EUROPOP2023 baseline
CY,2025,928295,Eurostat proj_19np EUROPOP2023 baseline
CY,2026,935681,Eurostat proj_19np EUROPOP2023 baseline
CY,2027,942853,Eurostat proj_19np EUROPOP2023 baseline
CY,2028,949778,Eurostat proj_19np EUROPOP2023 baseline
CY,2029,956448,Eurostat proj_19np EUROPOP2023 baseline
