building_class,cohort,n_buildings,total_heated_area_m2,mean_intensity_kwh_m2,total_demand_kwh_yr,total_demand_twh_yr
MFH_HIGH,1946-1970,105,215498.52096416338,156.4875,33722824.79937952,0.03372282479937952
MFH_HIGH,1971-1990,24,63276.27262025499,130.7625,8274163.598506093,0.008274163598506093
MFH_HIGH,1991-2010,13,97716.07104590608,87.88750000000002,8588021.194047073,0.008588021194047073
MFH_HIGH,2011-2020,100,305828.0874687035,75.025,22944752.26233948,0.02294475226233948
MFH_HIGH,post-2020,42,248130.14219697248,64.735,16062704.755121013,0.01606270475512101
MFH_HIGH,pre-1945,279,822039.5867255813,152.20000000000002,125114425.09963349,0.1251144250996335
MFH_HIGH,unknown,11703,27861529.003157467,127.66692499999998,3556995733.6314287,3.5569957336314286
MFH_LOW,1946-1970,207,228078.74628840346,156.48750000000004,35691472.80980654,0.03569147280980654
MFH_LOW,1971-1990,57,48827.079806065325,135.05,6594097.127809123,0.006594097127809123
MFH_LOW,1991-2010,60,61404.137042352275,87.8875,5396656.094309735,0.005396656094309735
MFH_LOW,2011-2020,191,162259.2270005452,75.025,12173498.505715903,0.012173498505715903
MFH_LOW,post-2020,411,362237.58628272894,64.735,23449450.148012456,0.023449450148012457
MFH_LOW,pre-1945,1035,1199771.9081164992,199.3625,239189527.03187558,0.23918952703187557
MFH_LOW,unknown,648121,248317941.8494564,137.22805,34076186940.014294,34.076186940014296
NON_RESIDENTIAL,1946-1970,177,0.0,120.0,0.0,0.0
NON_RESIDENTIAL,1971-1990,154,0.0,120.0,0.0,0.0
NON_RESIDENTIAL,1991-2010,194,0.0,120.0,0.0,0.0
NON_RESIDENTIAL,2011-2020,252,0.0,120.0,0.0,0.0
NON_RESIDENTIAL,post-2020,148,0.0,120.0,0.0,0.0
NON_RESIDENTIAL,pre-1945,1349,0.0,120.0,0.0,0.0
NON_RESIDENTIAL,unknown,2419013,0.0,120.0,0.0,0.0
SFH,1946-1970,16,1255.1442184538116,245.8125,308530.13819867757,0.00030853013819867755
SFH,1971-1990,17,1072.6266137772714,155.775,167088.41076115446,0.00016708841076115447
SFH,1991-2010,36,2733.08474160227,100.03750000000001,273410.96483803703,0.000273410964838037
SFH,2011-2020,85,8799.912985540073,82.88750000000002,729402.7875889528,0.0007294027875889528
SFH,post-2020,157,18275.871096400657,70.025,1279767.8735254558,0.0012797678735254558
SFH,pre-1945,209,24584.56900228076,237.2375,5832381.688678583,0.005832381688678583
SFH,unknown,1792158,191658296.02819398,177.21250000000003,33964245784.896328,33.96424578489633
