nuts_id,building_class,n_buildings,heat_demand_MWh
BE100,MFH_HIGH,2242,1006982.9046457092
BE100,MFH_LOW,118240,5018454.65004413
BE100,NON_RESIDENTIAL,66397,0.0
BE100,SFH,69321,1456494.0258709125
BE211,MFH_HIGH,307,168196.0085239581
BE211,MFH_LOW,89357,4846061.835618404
BE211,NON_RESIDENTIAL,251907,0.0
BE211,SFH,221754,5634679.117414701
BE212,MFH_HIGH,18,24733.436240885203
BE212,MFH_LOW,21268,1293505.2069343328
BE212,NON_RESIDENTIAL,140610,0.0
BE212,SFH,114256,2930971.5693428842
BE213,MFH_HIGH,16,5882.756001570413
BE213,MFH_LOW,20517,1486527.3913511639
BE213,NON_RESIDENTIAL,266637,0.0
BE213,SFH,175392,4575117.976298086
BE221,MFH_HIGH,50,17673.326466812585
BE221,MFH_LOW,17160,1156649.1178094628
BE221,NON_RESIDENTIAL,187070,0.0
BE221,SFH,147553,3866743.6763307955
BE222,MFH_HIGH,1,252.52084080028828
BE222,MFH_LOW,9747,686935.7351627912
BE222,NON_RESIDENTIAL,130813,0.0
BE222,SFH,91219,2357973.1502968376
BE223,MFH_HIGH,7,2097.3218652854803
BE223,MFH_LOW,9298,662490.5688093908
BE223,NON_RESIDENTIAL,88638,0.0
BE223,SFH,71880,1948399.7776941645
BE231,MFH_HIGH,1,386.9779261342063
BE231,MFH_LOW,16908,1229290.3999902187
BE231,NON_RESIDENTIAL,115980,0.0
BE231,SFH,105610,2809180.4870786746
BE232,MFH_HIGH,4,1200.2414141949357
BE232,MFH_LOW,9398,766533.20779444
BE232,NON_RESIDENTIAL,89511,0.0
BE232,SFH,79527,1988532.3650816546
BE233,MFH_LOW,3621,293614.46688299964
BE233,NON_RESIDENTIAL,45427,0.0
BE233,SFH,34345,890913.8758176377
BE234,MFH_HIGH,300,150883.70642230439
BE234,MFH_LOW,48641,2632114.3568815007
BE234,NON_RESIDENTIAL,208219,0.0
BE234,SFH,170073,4430796.786454752
BE235,MFH_LOW,7549,512235.6576734161
BE235,NON_RESIDENTIAL,65490,0.0
BE235,SFH,45690,1261615.7573848793
BE236,MFH_HIGH,24,17475.2631030448
BE236,MFH_LOW,11583,947808.9673883172
BE236,NON_RESIDENTIAL,109147,0.0
BE236,SFH,85834,2138458.16869541
BE241,MFH_HIGH,83,33711.41893817305
BE241,MFH_LOW,28854,1775796.9119780182
BE241,NON_RESIDENTIAL,183538,0.0
BE241,SFH,203524,5251022.058200163
BE242,MFH_HIGH,113,58913.22730205887
BE242,MFH_LOW,25893,1493104.0430905102
BE242,NON_RESIDENTIAL,193268,0.0
BE242,SFH,178565,4652817.91719393
BE251,MFH_HIGH,219,70703.97208832683
BE251,MFH_LOW,23814,1537847.781000233
BE251,NON_RESIDENTIAL,112154,0.0
BE251,SFH,96526,2463071.7772188494
BE252,MFH_LOW,2528,183597.49631367257
BE252,NON_RESIDENTIAL,37628,0.0
BE252,SFH,20033,523525.6967843007
BE253,MFH_HIGH,10,2812.430762766794
BE253,MFH_LOW,6669,443000.14024663734
BE253,NON_RESIDENTIAL,59430,0.0
BE253,SFH,42912,1086643.3483233703
BE254,MFH_HIGH,51,22900.917746835352
BE254,MFH_LOW,16310,1138395.1906657934
BE254,NON_RESIDENTIAL,105423,0.0
BE254,SFH,110574,2713551.8395371055
BE255,MFH_HIGH,180,65947.86024631525
BE255,MFH_LOW,14062,849410.9304793244
BE255,NON_RESIDENTIAL,56045,0.0
BE255,SFH,54658,1160271.2060846775
BE256,MFH_HIGH,36,11386.603815845005
BE256,MFH_LOW,8694,609300.0411061167
BE256,NON_RESIDENTIAL,73068,0.0
BE256,SFH,55597,1474104.2992905264
BE257,MFH_HIGH,1,124.43321038512437
BE257,MFH_LOW,4750,368160.04566062416
BE257,NON_RESIDENTIAL,57408,0.0
BE257,SFH,36955,1012327.2536724593
BE258,MFH_HIGH,155,45905.15038985801
BE258,MFH_LOW,5701,463514.3082328256
BE258,NON_RESIDENTIAL,26546,0.0
BE258,SFH,25183,572703.0367856716
BE310,MFH_HIGH,189,34697.40375077927
BE310,MFH_LOW,21637,1049930.5756944579
BE310,NON_RESIDENTIAL,145334,0.0
BE310,SFH,190366,3527171.1065204684
BE321,MFH_LOW,4469,232812.03141122437
BE321,NON_RESIDENTIAL,57044,0.0
BE321,SFH,56162,1033357.9170026812
BE322,MFH_HIGH,31,6495.812231924067
BE322,MFH_LOW,26334,976987.2070689463
BE322,NON_RESIDENTIAL,116197,0.0
BE322,SFH,272074,3628896.510118654
BE323,MFH_HIGH,20,8143.121387352027
BE323,MFH_LOW,11343,568363.8237950548
BE323,NON_RESIDENTIAL,86672,0.0
BE323,SFH,175936,2492496.9633210246
BE324,MFH_HIGH,7,3225.3472419181094
BE324,MFH_LOW,3642,167678.74456792392
BE324,NON_RESIDENTIAL,25606,0.0
BE324,SFH,53427,713659.6741612722
BE325,MFH_HIGH,11,4653.600530967652
BE325,MFH_LOW,11261,453093.77781498875
BE325,NON_RESIDENTIAL,62910,0.0
BE325,SFH,127034,1729313.7192652717
BE326,MFH_HIGH,5,1245.5473394028866
BE326,MFH_LOW,7918,310462.69610382424
BE326,NON_RESIDENTIAL,71949,0.0
BE326,SFH,116790,1636242.0096041022
BE327,MFH_HIGH,20,10001.474574884158
BE327,MFH_LOW,11330,485084.8669795364
BE327,NON_RESIDENTIAL,79361,0.0
BE327,SFH,95840,1514557.103476484
BE331,MFH_HIGH,1,316.1728212764394
BE331,MFH_LOW,6122,233630.7995243097
BE331,NON_RESIDENTIAL,69052,0.0
BE331,SFH,59663,1080363.371750898
BE332,MFH_HIGH,526,159913.07141861613
BE332,MFH_LOW,82087,2374906.7083147317
BE332,NON_RESIDENTIAL,222655,0.0
BE332,SFH,228536,3840587.6310287598
BE334,MFH_HIGH,4,1453.5018662821678
BE334,MFH_LOW,2947,148091.82341609022
BE334,NON_RESIDENTIAL,51315,0.0
BE334,SFH,44927,840790.7192558835
BE335,MFH_HIGH,6,4889.702647780934
BE335,MFH_LOW,31822,1052249.31958686
BE335,NON_RESIDENTIAL,96308,0.0
BE335,SFH,67014,1522519.2839093795
BE336,MFH_HIGH,1,410.4697518856969
BE336,MFH_LOW,8677,398231.6969747221
BE336,NON_RESIDENTIAL,38266,0.0
BE336,SFH,26007,711584.310168662
BE341,MFH_HIGH,24,5345.271352840361
BE341,MFH_LOW,10184,348435.8630253842
BE341,NON_RESIDENTIAL,24971,0.0
BE341,SFH,21027,431837.95010154805
BE342,MFH_LOW,6362,275930.58902645955
BE342,NON_RESIDENTIAL,37284,0.0
BE342,SFH,19989,506437.7125987764
BE343,MFH_HIGH,1,368.51217741832824
BE343,MFH_LOW,7480,290688.1925349242
BE343,NON_RESIDENTIAL,41972,0.0
BE343,SFH,28881,644402.4485644611
BE344,MFH_LOW,8580,388543.7119916584
BE344,NON_RESIDENTIAL,47260,0.0
BE344,SFH,32218,698566.0225136867
BE345,MFH_LOW,8979,360086.4867781813
BE345,NON_RESIDENTIAL,31423,0.0
BE345,SFH,23826,511109.3188463961
BE351,MFH_HIGH,9,1501.5855498147794
BE351,MFH_LOW,11060,440916.1502330519
BE351,NON_RESIDENTIAL,75195,0.0
BE351,SFH,56965,1172013.4990013016
BE352,MFH_HIGH,92,27746.706536186524
BE352,MFH_LOW,21334,839512.0609251821
BE352,NON_RESIDENTIAL,135831,0.0
BE352,SFH,131457,2665697.35442128
BE353,MFH_LOW,3667,161252.53657514683
BE353,NON_RESIDENTIAL,44738,0.0
BE353,SFH,41010,773298.2127264696
