nuts_id,building_class,n_buildings,heat_demand_MWh
DK011,MFH_HIGH,3053,879117.5432589574
DK011,MFH_LOW,23964,2235985.830372478
DK011,NON_RESIDENTIAL,117402,0.0
DK011,SFH,67121,661302.6291409627
DK012,MFH_HIGH,267,149566.76919839074
DK012,MFH_LOW,14699,1595613.8921443247
DK012,NON_RESIDENTIAL,194414,0.0
DK012,SFH,130513,1962745.6151460665
DK013,MFH_HIGH,65,36584.317257223265
DK013,MFH_LOW,18080,1232633.8416886735
DK013,NON_RESIDENTIAL,311493,0.0
DK013,SFH,190766,3195556.570077957
DK014,MFH_LOW,1474,85980.56651282379
DK014,NON_RESIDENTIAL,41438,0.0
DK014,SFH,24821,369021.3933835266
DK021,MFH_HIGH,22,10266.275742924761
DK021,MFH_LOW,9671,635196.145194459
DK021,NON_RESIDENTIAL,143295,0.0
DK021,SFH,93133,1525327.653161476
DK022,MFH_HIGH,29,16424.524992422146
DK022,MFH_LOW,26760,1601268.2993317957
DK022,NON_RESIDENTIAL,592645,0.0
DK022,SFH,310005,4740063.688688756
DK031,MFH_HIGH,73,42879.01353880939
DK031,MFH_LOW,24638,1326193.2618471824
DK031,NON_RESIDENTIAL,386586,0.0
DK031,SFH,212039,3300917.6408952456
DK032,MFH_HIGH,91,46978.71864469018
DK032,MFH_LOW,41362,2114009.731752096
DK032,NON_RESIDENTIAL,583004,0.0
DK032,SFH,307582,5077797.9383461
DK041,MFH_HIGH,23,7832.8663103895615
DK041,MFH_LOW,24247,1277392.0444043982
DK041,NON_RESIDENTIAL,395509,0.0
DK041,SFH,194925,3493342.312217427
DK042,MFH_HIGH,471,167832.502415376
DK042,MFH_LOW,40354,2392213.8840495194
DK042,NON_RESIDENTIAL,555318,0.0
DK042,SFH,286280,5091208.8980381945
DK050,MFH_HIGH,106,53095.75496767305
DK050,MFH_LOW,28734,1733229.022316009
DK050,NON_RESIDENTIAL,492193,0.0
DK050,SFH,263798,4610383.276229782
