nuts_id,building_class,n_buildings,heat_demand_MWh
EL301,MFH_HIGH,349,61837.13776415278
EL301,MFH_LOW,59814,2319518.8602933055
EL301,NON_RESIDENTIAL,17966,0.0
EL301,SFH,27456,418729.77992991434
EL302,MFH_HIGH,32,8886.550872182104
EL302,MFH_LOW,36041,1789051.5298888702
EL302,NON_RESIDENTIAL,12187,0.0
EL302,SFH,8919,119469.84418612579
EL303,MFH_HIGH,789,98900.0508206468
EL303,MFH_LOW,84233,2776420.354659759
EL303,NON_RESIDENTIAL,24491,0.0
EL303,SFH,7167,79909.26331554733
EL304,MFH_HIGH,448,67910.31264092945
EL304,MFH_LOW,47281,1528730.5432833296
EL304,NON_RESIDENTIAL,11352,0.0
EL304,SFH,14708,209739.07316154713
EL305,MFH_HIGH,7,1074.1736081075128
EL305,MFH_LOW,38043,1634016.7476717373
EL305,NON_RESIDENTIAL,114136,0.0
EL305,SFH,160212,2235960.015794216
EL306,MFH_LOW,10243,477456.18813831685
EL306,NON_RESIDENTIAL,34521,0.0
EL306,SFH,50057,598288.9948075385
EL307,MFH_HIGH,1335,134036.3191811518
EL307,MFH_LOW,17549,1133168.7122986454
EL307,NON_RESIDENTIAL,50230,0.0
EL307,SFH,52792,598288.6663547526
EL411,MFH_HIGH,8,1059.4343077366523
EL411,MFH_LOW,3446,123037.1338049968
EL411,NON_RESIDENTIAL,46509,0.0
EL411,SFH,60013,479828.26252338605
EL412,MFH_LOW,2013,76585.29880815031
EL412,NON_RESIDENTIAL,15238,0.0
EL412,SFH,30315,247059.40090989042
EL413,MFH_HIGH,10,1123.1380078805205
EL413,MFH_LOW,2962,122228.65275161539
EL413,NON_RESIDENTIAL,15902,0.0
EL413,SFH,25639,275295.5247149325
EL421,MFH_HIGH,14,2537.512480974443
EL421,MFH_LOW,13931,589045.8137935508
EL421,NON_RESIDENTIAL,51790,0.0
EL421,SFH,75778,755879.0690318935
EL422,MFH_LOW,14335,518978.2067178897
EL422,NON_RESIDENTIAL,91016,0.0
EL422,SFH,79297,865052.4452100232
EL431,MFH_HIGH,51,11462.547599586795
EL431,MFH_LOW,18478,867563.7516274602
EL431,NON_RESIDENTIAL,81791,0.0
EL431,SFH,89216,946536.6002935752
EL432,MFH_HIGH,11,1805.1531530905663
EL432,MFH_LOW,6435,253092.4768320503
EL432,NON_RESIDENTIAL,36322,0.0
EL432,SFH,33341,342023.1934853772
EL433,MFH_HIGH,30,8774.57440336117
EL433,MFH_LOW,4488,185933.86993270618
EL433,NON_RESIDENTIAL,33836,0.0
EL433,SFH,28176,315368.0331039737
EL434,MFH_HIGH,6,764.8340451990624
EL434,MFH_LOW,10974,382500.2309277877
EL434,NON_RESIDENTIAL,64288,0.0
EL434,SFH,48826,632393.495415306
EL511,MFH_HIGH,14,4396.224013093837
EL511,MFH_LOW,8381,415211.94176379795
EL511,NON_RESIDENTIAL,57945,0.0
EL511,SFH,42377,602090.7167299838
EL512,MFH_HIGH,7,2792.3178583999147
EL512,MFH_LOW,4561,239535.57747037886
EL512,NON_RESIDENTIAL,30683,0.0
EL512,SFH,27565,352356.4377713208
EL513,MFH_LOW,5276,237017.54729740781
EL513,NON_RESIDENTIAL,49080,0.0
EL513,SFH,33557,435636.47411816474
EL514,MFH_LOW,5794,247974.18332825624
EL514,NON_RESIDENTIAL,31457,0.0
EL514,SFH,31079,417717.6048899254
EL515,MFH_HIGH,45,8635.623768470492
EL515,MFH_LOW,8370,336758.6653394299
EL515,NON_RESIDENTIAL,43518,0.0
EL515,SFH,45504,569097.2976038572
EL521,MFH_HIGH,10,3395.3096136804807
EL521,MFH_LOW,9023,390945.3298039596
EL521,NON_RESIDENTIAL,29676,0.0
EL521,SFH,40639,494876.49600303377
EL522,MFH_HIGH,1410,159692.82963505952
EL522,MFH_LOW,74956,2590938.2344718827
EL522,NON_RESIDENTIAL,92555,0.0
EL522,SFH,147940,1639245.4685434555
EL523,MFH_LOW,6212,210020.3048031436
EL523,NON_RESIDENTIAL,19914,0.0
EL523,SFH,45014,458556.07170874364
EL524,MFH_HIGH,2,117.22566923543205
EL524,MFH_LOW,11607,470741.05613947083
EL524,NON_RESIDENTIAL,35033,0.0
EL524,SFH,41746,524048.08065468015
EL525,MFH_HIGH,3,542.9531793426305
EL525,MFH_LOW,11624,468230.46861847304
EL525,NON_RESIDENTIAL,27439,0.0
EL525,SFH,43979,513651.1740129522
EL526,MFH_HIGH,46,6763.245322307837
EL526,MFH_LOW,11590,440856.54134128825
EL526,NON_RESIDENTIAL,35760,0.0
EL526,SFH,87472,918926.5315030741
EL527,MFH_HIGH,2,1120.9577327287832
EL527,MFH_LOW,10685,429457.3043488535
EL527,NON_RESIDENTIAL,46623,0.0
EL527,SFH,83970,909307.0626256872
EL531,MFH_HIGH,3,290.0436162280633
EL531,MFH_LOW,11255,483720.44981499144
EL531,NON_RESIDENTIAL,57305,0.0
EL531,SFH,66824,784228.7690366909
EL532,MFH_HIGH,15,2136.327813726157
EL532,MFH_LOW,3685,135907.56759941892
EL532,NON_RESIDENTIAL,17813,0.0
EL532,SFH,13872,192242.63889951323
EL533,MFH_HIGH,2,833.0754859600335
EL533,MFH_LOW,3600,129874.47317029364
EL533,NON_RESIDENTIAL,20175,0.0
EL533,SFH,19724,242906.31083186145
EL541,MFH_LOW,5811,225736.00901919827
EL541,NON_RESIDENTIAL,54892,0.0
EL541,SFH,54711,670521.6278753174
EL542,MFH_HIGH,9,2004.627698882515
EL542,MFH_LOW,2520,93814.74034961729
EL542,NON_RESIDENTIAL,21459,0.0
EL542,SFH,16909,239886.51599639058
EL543,MFH_HIGH,6,1565.39654589242
EL543,MFH_LOW,7532,306818.5337679544
EL543,NON_RESIDENTIAL,57078,0.0
EL543,SFH,57961,692896.3478043212
EL611,MFH_HIGH,131,18535.806791840874
EL611,MFH_LOW,16318,626247.5787014909
EL611,NON_RESIDENTIAL,76104,0.0
EL611,SFH,118826,1427463.8858480449
EL612,MFH_HIGH,23,2392.5611024653012
EL612,MFH_LOW,20071,751943.9996082191
EL612,NON_RESIDENTIAL,59391,0.0
EL612,SFH,98924,1111447.613196873
EL613,MFH_HIGH,8,2194.9788006909266
EL613,MFH_LOW,11420,611784.2045221962
EL613,NON_RESIDENTIAL,52212,0.0
EL613,SFH,51017,652957.4362309445
EL621,MFH_LOW,2777,91416.81535973908
EL621,NON_RESIDENTIAL,18319,0.0
EL621,SFH,23462,299469.8559522437
EL622,MFH_HIGH,6,3071.9567538132774
EL622,MFH_LOW,6011,204993.58795921027
EL622,NON_RESIDENTIAL,48091,0.0
EL622,SFH,38964,544522.5681810332
EL623,MFH_LOW,1714,55998.39826259174
EL623,NON_RESIDENTIAL,22121,0.0
EL623,SFH,23956,284038.26557036326
EL624,MFH_LOW,1599,53433.35803180652
EL624,NON_RESIDENTIAL,7869,0.0
EL624,SFH,13332,156928.94208250334
EL631,MFH_HIGH,2,439.0455266258103
EL631,MFH_LOW,9687,369428.5519110918
EL631,NON_RESIDENTIAL,88825,0.0
EL631,SFH,80820,981180.7401842362
EL632,MFH_HIGH,87,16579.374097839922
EL632,MFH_LOW,23841,747691.2037582416
EL632,NON_RESIDENTIAL,62189,0.0
EL632,SFH,97798,1174748.8937367476
EL633,MFH_HIGH,21,4914.449187029819
EL633,MFH_LOW,6559,242340.8085183939
EL633,NON_RESIDENTIAL,67595,0.0
EL633,SFH,84047,942828.7403440719
EL641,MFH_HIGH,1,179.74110574627858
EL641,MFH_LOW,6672,279289.6993977911
EL641,NON_RESIDENTIAL,41390,0.0
EL641,SFH,45180,553215.4555784881
EL642,MFH_HIGH,109,14504.177436758413
EL642,MFH_LOW,11113,435646.2033357639
EL642,NON_RESIDENTIAL,79612,0.0
EL642,SFH,100771,1177403.0357578679
EL643,MFH_LOW,831,32039.74280514505
EL643,NON_RESIDENTIAL,8184,0.0
EL643,SFH,13312,137341.94322431725
EL644,MFH_HIGH,20,4997.755054630073
EL644,MFH_LOW,9359,357119.2839021245
EL644,NON_RESIDENTIAL,58367,0.0
EL644,SFH,61736,780608.5285393981
EL645,MFH_LOW,2229,78337.94328499242
EL645,NON_RESIDENTIAL,16516,0.0
EL645,SFH,23666,274584.9450721777
EL651,MFH_HIGH,2,418.02883362254556
EL651,MFH_LOW,10090,396232.3224743149
EL651,NON_RESIDENTIAL,67746,0.0
EL651,SFH,100308,1115145.050098877
EL652,MFH_LOW,9643,340533.01901070523
EL652,NON_RESIDENTIAL,37472,0.0
EL652,SFH,81628,947947.241798068
EL653,MFH_HIGH,55,15163.23082559483
