nuts_id,nuts_name,nuts_level,country,dwelling_share_basis,heat_MWh,heat_TWh
AT1,Ostösterreich,1,AT,12367722.0,35429000.0,35.429
AT2,Südösterreich,1,AT,5628999.0,17226000.0,17.226
AT3,Westösterreich,1,AT,9751147.0,29707000.0,29.707
AT11,Burgenland,2,AT,904412.0,2705000.0,2.705
AT12,Niederösterreich,2,AT,5178704.0,15908000.0,15.908
AT13,Wien,2,AT,6284606.0,16816000.0,16.816
AT21,Kärnten,2,AT,1764227.0,5485000.0,5.485
AT22,Steiermark,2,AT,3864772.0,11741000.0,11.741
AT31,Oberösterreich,2,AT,4548959.0,13673000.0,13.673
AT32,Salzburg,2,AT,1693726.0,5381000.0,5.381
AT33,Tirol,2,AT,2301825.0,7129000.0,7.129
AT34,Vorarlberg,2,AT,1206637.0,3524000.0,3.524
AT111,Mittelburgenland,3,AT,112734.0,370000.0,0.37
AT112,Nordburgenland,3,AT,497565.0,1415000.0,1.415
AT113,Südburgenland,3,AT,294113.0,920000.0000000001,0.9200000000000002
AT121,Mostviertel-Eisenwurzen,3,AT,717159.0,2206999.9999999995,2.2069999999999994
AT122,Niederösterreich-Süd,3,AT,812436.0,2572000.0,2.572
AT123,Sankt Pölten,3,AT,481368.0,1486000.0,1.486
AT124,Waldviertel,3,AT,659823.0,2323999.9999999995,2.3239999999999994
AT125,Weinviertel,3,AT,389460.0,1259000.0,1.259
AT126,Wiener Umland/Nordteil,3,AT,1028783.0,2899000.0,2.899
AT127,Wiener Umland/Südteil,3,AT,1089675.0,3161000.0,3.161
AT130,Wien,3,AT,6284606.0,16816000.0,16.816
AT211,Klagenfurt-Villach,3,AT,946077.0,2780000.0,2.78
AT212,Oberkärnten,3,AT,370425.0,1357000.0,1.357
AT213,Unterkärnten,3,AT,447725.0,1348000.0,1.348
AT221,Graz,3,AT,1445597.0,3995000.0,3.995
AT222,Liezen,3,AT,243887.0,860000.0,0.86
AT223,Östliche Obersteiermark,3,AT,512278.0,1768000.0,1.768
AT224,Oststeiermark,3,AT,764556.0,2356000.0,2.356
AT225,West- und Südsteiermark,3,AT,594759.0,1675000.0000000002,1.6750000000000003
AT226,Westliche Obersteiermark,3,AT,303695.0,1087000.0,1.087
AT311,Innviertel,3,AT,858342.0,2654000.0,2.654
AT312,Linz-Wels,3,AT,1882182.0,5414000.000000001,5.414000000000001
AT313,Mühlviertel,3,AT,606694.0,1876000.0000000002,1.8760000000000003
AT314,Steyr-Kirchdorf,3,AT,474022.0,1464000.0,1.464
AT315,Traunviertel,3,AT,727719.0,2265000.0,2.265
AT321,Lungau,3,AT,56897.0,221000.0,0.221
AT322,Pinzgau-Pongau,3,AT,491143.0,1654000.0000000002,1.6540000000000001
AT323,Salzburg und Umgebung,3,AT,1145686.0,3506000.0,3.506
AT331,Außerfern,3,AT,98856.0,330999.99999999994,0.33099999999999996
AT332,Innsbruck,3,AT,977160.0,2965000.0000000005,2.9650000000000003
AT333,Osttirol,3,AT,144624.0,492999.99999999994,0.49299999999999994
AT334,Tiroler Oberland,3,AT,298272.0,1055000.0,1.055
AT335,Tiroler Unterland,3,AT,782913.0,2285000.0,2.285
AT341,Bludenz-Bregenzer Wald,3,AT,273403.0,947000.0000000001,0.9470000000000001
AT342,Rheintal-Bodenseegebiet,3,AT,933234.0,2577000.0,2.577
