nuts_id,nuts_name,nuts_level,country,dwelling_share_basis,heat_MWh,heat_TWh
PL1,PL1,1,PL,0.0,56264000.0,56.264
PL2,Makroregion południowy,1,PL,19799856.0,53278000.0,53.278
PL3,PL3,1,PL,0.0,45744000.0,45.744
PL4,Makroregion północno-zachodni,1,PL,15579717.0,40373000.0,40.373
PL5,Makroregion południowo-zachodni,1,PL,10149367.0,26440000.0,26.44
PL6,Makroregion północny,1,PL,14487551.0,35835000.0,35.835
PL11,PL11,2,PL,0.0,17310000.0,17.31
PL12,PL12,2,PL,0.0,38954000.0,38.954
PL21,Małopolskie,2,PL,8193971.0,22575000.0,22.575
PL22,Śląskie,2,PL,11605885.0,30703000.0,30.703
PL31,PL31,2,PL,0.0,15057000.0,15.057
PL32,PL32,2,PL,0.0,13879000.0,13.879
PL33,PL33,2,PL,0.0,8657000.0,8.657
PL34,PL34,2,PL,0.0,8151000.0,8.151
PL41,Wielkopolskie,2,PL,8685894.0,23162000.0,23.162
PL42,Zachodniopomorskie,2,PL,4335831.0,10747000.0,10.747
PL43,Lubuskie,2,PL,2557992.0,6464000.0,6.464
PL51,Dolnośląskie,2,PL,7765237.0,19311000.0,19.311
PL52,Opolskie,2,PL,2384130.0,7129000.0,7.129
PL61,Kujawsko-pomorskie,2,PL,5084813.0,12875000.0,12.875
PL62,Warmińsko-mazurskie,2,PL,3462090.0,8731000.0,8.731
PL63,Pomorskie,2,PL,5940648.0,14229000.0,14.229
PL113,PL113,3,PL,0.0,4656000.0,4.656
PL114,PL114,3,PL,0.0,2790000.0,2.79
PL115,PL115,3,PL,0.0,4128000.0,4.128
PL116,PL116,3,PL,0.0,3252000.0,3.252
PL117,PL117,3,PL,0.0,2484000.0,2.484
PL127,PL127,3,PL,0.0,13890000.0,13.89
PL128,PL128,3,PL,0.0,4051000.0,4.051
PL129,PL129,3,PL,0.0,5731000.0,5.731
PL12A,PL12A,3,PL,0.0,6139000.0,6.139
PL12B,PL12B,3,PL,0.0,2282000.0,2.282
PL12C,PL12C,3,PL,0.0,2174000.0,2.174
PL12D,PL12D,3,PL,0.0,2582000.0,2.582
PL12E,PL12E,3,PL,0.0,2105000.0,2.105
PL213,Miasto Kraków,3,PL,2316736.0,4695000.0,4.695
PL214,Krakowski,3,PL,1715074.0,5317000.0,5.317
PL217,Tarnowski,3,PL,1021784.0,3027000.0,3.027
PL218,Nowosądecki,3,PL,1136913.0,3570000.0,3.57
PL219,Nowotarski,3,PL,717221.0,2325000.0,2.325
PL21A,Oświęcimski,3,PL,1286243.0,3641000.0000000005,3.6410000000000005
PL224,Częstochowski,3,PL,1278867.0,3726000.0,3.726
PL225,Bielski,3,PL,1572135.0,5412999.999999999,5.412999999999999
PL227,Rybnicki,3,PL,1515364.0,4098999.9999999995,4.098999999999999
PL228,Bytomski,3,PL,1112537.0,2853000.0,2.853
PL229,Gliwicki,3,PL,1228560.0,2903000.0,2.903
PL22A,Katowicki,3,PL,2082102.0,4680000.0,4.68
