nuts_id,nuts_name,nuts_level,country,dwelling_share_basis,heat_MWh,heat_TWh
SE1,Östra Sverige,1,SE,12376877.0,38384000.0,38.384
SE2,Södra Sverige,1,SE,13558675.0,40872000.0,40.872
SE3,Norra Sverige,1,SE,5490098.0,20164000.0,20.164
SEZ,SEZ,1,SE,0.0,11000.0,0.011
SE11,Stockholm,2,SE,7116056.0,22630000.0,22.63
SE12,Östra Mellansverige,2,SE,5260821.0,15754000.0,15.754
SE21,Småland med öarna,2,SE,2631057.0,8439000.0,8.439
SE22,Sydsverige,2,SE,4668786.0,13495000.0,13.495
SE23,Västsverige,2,SE,6258832.0,18938000.0,18.938
SE31,Norra Mellansverige,2,SE,2698479.0,9417000.0,9.417
SE32,Mellersta Norrland,2,SE,1181892.0,4512000.0,4.512
SE33,Övre Norrland,2,SE,1609727.0,6235000.0,6.235
SEZZ,SEZZ,2,SE,0.0,11000.0,0.011
SE110,Stockholms län,3,SE,7116056.0,22630000.0,22.63
SE121,Uppsala län,3,SE,1130419.0,3298000.0,3.298
SE122,Södermanlands län,3,SE,904280.0,2649000.0,2.649
SE123,Östergötlands län,3,SE,1436187.0,4295000.0,4.295
SE124,Örebro län,3,SE,932624.0,2951000.0,2.951
SE125,Västmanlands län,3,SE,857311.0,2561000.0,2.561
SE211,Jönköpings län,3,SE,1086282.0,3476000.0,3.476
SE212,Kronobergs län,3,SE,599144.0,1955000.0000000002,1.9550000000000003
SE213,Kalmar län,3,SE,765852.0,2415000.0,2.415
SE214,Gotlands län,3,SE,179779.0,593000.0,0.593
SE221,Blekinge län,3,SE,493152.0,1556000.0,1.556
SE224,Skåne län,3,SE,4175634.0,11939000.0,11.939
SE231,Hallands län,3,SE,1002232.0,3031000.0000000005,3.0310000000000006
SE232,Västra Götalands län,3,SE,5256600.0,15907000.0,15.907
SE311,Värmlands län,3,SE,893354.0,3040000.0,3.04
SE312,Dalarnas län,3,SE,897233.0,3267000.0,3.267
SE313,Gävleborgs län,3,SE,907892.0,3109999.9999999995,3.1099999999999994
SE321,Västernorrlands län,3,SE,768185.0,2966000.0,2.966
SE322,Jämtlands län,3,SE,413707.0,1546000.0,1.546
SE331,Västerbottens län,3,SE,828887.0,3161000.0,3.161
SE332,Norrbottens län,3,SE,780840.0,3074000.0,3.074
SEZZZ,SEZZZ,3,SE,0.0,11000.0,0.011
