nuts_id,nuts_name,nuts_level,country,dwelling_share_basis,heat_MWh,heat_TWh
SI0,Slovenija,1,SI,5377921.0,13987000.0,13.987
SI03,Vzhodna Slovenija,2,SI,2824256.0,7152000.0,7.152
SI04,Zahodna Slovenija,2,SI,2553665.0,6835000.0,6.835
SI031,Pomurska,3,SI,291081.0,793999.9999999999,0.7939999999999999
SI032,Podravska,3,SI,857345.0,2114000.0,2.114
SI033,Koroška,3,SI,179669.0,483000.0,0.483
SI034,Savinjska,3,SI,658104.0,1650999.9999999998,1.6509999999999998
SI035,Zasavska,3,SI,152411.0,333000.0,0.333
SI036,Posavska,3,SI,192816.0,487000.0,0.487
SI037,Jugovzhodna Slovenija,3,SI,357295.0,913000.0000000001,0.9130000000000001
SI038,Primorsko-notranjska,3,SI,135535.0,377000.0,0.377
SI041,Osrednjeslovenska,3,SI,1407880.0,3783000.0,3.783
SI042,Gorenjska,3,SI,527143.0,1442000.0,1.442
SI043,Goriška,3,SI,305330.0,878000.0,0.878
SI044,Obalno-kraška,3,SI,313312.0,732000.0,0.732
