nuts_id,nuts_name,nuts_level,country,dwelling_share_basis,heat_MWh,heat_TWh
AT1,Ostösterreich,1,AT,12367722.0,35429000.0,35.429
AT2,Südösterreich,1,AT,5628999.0,17226000.0,17.226
AT3,Westösterreich,1,AT,9751147.0,29707000.0,29.707
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1,BE,3751548.0,14194999.999999998,14.194999999999999
BE2,Vlaams Gewest,1,BE,18013988.0,62349000.0,62.349
BE3,Région wallonne,1,BE,7845677.0,35296000.0,35.296
BG3,Северна и Югоизточна България,1,BG,9311237.0,13411000.0,13.411
BG4,Югозападна и Южна централна България,1,BG,9551488.0,13429000.0,13.429
CH0,Schweiz/Suisse/Svizzera,1,CH,26974051.0,77878000.0,77.878
CY0,Κύπρος,1,CY,2613329.0,3147000.0,3.147
CZ0,Česko,1,CZ,31570352.0,84641000.0,84.641
DE1,Baden-Württemberg,1,DE,34832593.0,102042000.0,102.042
DE2,Bayern,1,DE,41609049.0,127411000.0,127.411
DE3,Berlin,1,DE,12743420.0,32727000.0,32.727
DE4,Brandenburg,1,DE,8393031.0,24154000.0,24.154
DE5,Bremen,1,DE,2329166.0,6772000.0,6.772
DE6,Hamburg,1,DE,6307077.0,18874000.0,18.874
DE7,Hessen,1,DE,20024320.0,61835000.0,61.835
DE8,Mecklenburg-Vorpommern,1,DE,5396998.0,15024000.0,15.024
DE9,Niedersachsen,1,DE,24514192.0,77326000.0,77.326
DEA,Nordrhein-Westfalen,1,DE,58443477.0,167022000.0,167.022
DEB,Rheinland-Pfalz,1,DE,12628015.0,39475000.0,39.475
DEC,Saarland,1,DE,3287729.0,10493000.0,10.493
DED,Sachsen,1,DE,13687943.0,39506000.0,39.506
DEE,Sachsen-Anhalt,1,DE,7320071.0,22590000.0,22.59
DEF,Schleswig-Holstein,1,DE,9615248.0,27658000.0,27.658
DEG,Thüringen,1,DE,6949659.0,20793000.0,20.793
DK0,Danmark,1,DK,18281079.0,55898000.0,55.898
EE0,Eesti,1,EE,3186486.0,13270000.0,13.27
ES1,Noroeste,1,ES,12911305.0,14875000.0,14.875
