nuts3,building_class,building_count,total_footprint_m2,total_heated_area_m2,mean_floors,median_height_m,source
HR031,MFH_HIGH,371,155675.97516744628,1212010.41468264,8.700808625336927,17.8,EUBUCCO
HR031,MFH_LOW,10821,3488188.678575102,7042184.665901129,2.272775159412254,8.2,EUBUCCO
HR031,NON_RESIDENTIAL,60624,5682764.118698909,0.0,1.1330347717075746,4.8,EUBUCCO
HR031,SFH,80518,9801006.997723022,12419995.266355218,1.4392160759084927,5.9,EUBUCCO
HR032,MFH_LOW,2177,726022.9771943653,1106316.2924204194,1.7872760679834636,8.8,EUBUCCO
HR032,NON_RESIDENTIAL,33583,2704436.076020464,0.0,1.0860941547806926,5.4,EUBUCCO
HR032,SFH,40807,4344424.042813807,5087656.490383302,1.3315142009949272,6.8,EUBUCCO
HR033,MFH_HIGH,26,28254.71742885309,184879.1452318678,8.911538461538461,21.95,EUBUCCO
HR033,MFH_LOW,6821,2287288.5315909,4030964.7156673158,1.9523383668083858,7.3,EUBUCCO
HR033,NON_RESIDENTIAL,44785,4051919.846854909,0.0,1.0924930222172604,4.3,EUBUCCO
HR033,SFH,95412,10655305.233212648,12685611.9568163,1.3416446568565799,5.6,EUBUCCO
HR034,MFH_HIGH,2,960.7140619653412,12407.130889931585,15.0,34.05,EUBUCCO
HR034,MFH_LOW,3393,1049401.3584113768,1878063.9842151746,2.0522251694665488,7.5,EUBUCCO
HR034,NON_RESIDENTIAL,37092,2759889.4973926162,0.0,1.1068640138035157,4.7,EUBUCCO
HR034,SFH,67528,6757885.717660768,8075431.150683107,1.3432117047743157,5.7,EUBUCCO
HR035,MFH_HIGH,384,390828.2477477699,2606083.3959381776,8.008333333333333,21.1,EUBUCCO
HR035,MFH_LOW,14505,4278337.667666042,9483228.749173122,2.4427507755946225,8.8,EUBUCCO
HR035,NON_RESIDENTIAL,85826,7734380.117980445,0.0,1.183029618064456,5.0,EUBUCCO
HR035,SFH,126603,13124085.766928809,17328388.480963908,1.4669873541701224,6.0,EUBUCCO
