nuts_id,building_class,n_buildings,heat_demand_MWh
HU110,MFH_HIGH,4033,1276430.6537890106
HU110,MFH_LOW,44328,3558785.436775584
HU110,NON_RESIDENTIAL,104873,0.0
HU110,SFH,156015,2897815.475189999
HU120,MFH_HIGH,184,43598.47556020111
HU120,MFH_LOW,50866,2036048.1132008438
HU120,NON_RESIDENTIAL,269290,0.0
HU120,SFH,524510,7927463.221629155
HU211,MFH_HIGH,109,46868.30708404026
HU211,MFH_LOW,13902,647093.4826257185
HU211,NON_RESIDENTIAL,87555,0.0
HU211,SFH,144959,2041156.5837268552
HU212,MFH_HIGH,43,16038.500595043111
HU212,MFH_LOW,8717,428720.9720824356
HU212,NON_RESIDENTIAL,71975,0.0
HU212,SFH,107763,1421861.1371628204
HU213,MFH_HIGH,43,19351.74964124533
HU213,MFH_LOW,16108,702607.2172069902
HU213,NON_RESIDENTIAL,85434,0.0
HU213,SFH,145468,2003806.3899207825
HU221,MFH_HIGH,194,36543.787673629835
HU221,MFH_LOW,18596,830565.9844531283
HU221,NON_RESIDENTIAL,134271,0.0
HU221,SFH,141050,2248578.8780609374
HU222,MFH_HIGH,97,15986.846009278954
HU222,MFH_LOW,15100,612944.6549711175
HU222,NON_RESIDENTIAL,72246,0.0
HU222,SFH,92115,1369812.6112396223
HU223,MFH_HIGH,53,21168.695179625054
HU223,MFH_LOW,15353,661224.0115104836
HU223,NON_RESIDENTIAL,82799,0.0
HU223,SFH,127382,1684736.2679585835
HU231,MFH_HIGH,181,50294.01731529838
HU231,MFH_LOW,15284,756799.453177323
HU231,NON_RESIDENTIAL,110649,0.0
HU231,SFH,100847,1565340.7759671207
HU232,MFH_HIGH,56,14053.035021873946
HU232,MFH_LOW,14851,605952.210899002
HU232,NON_RESIDENTIAL,90664,0.0
HU232,SFH,163313,2145641.646636161
HU233,MFH_HIGH,33,9394.672253166684
HU233,MFH_LOW,11404,496135.26230032276
HU233,NON_RESIDENTIAL,62104,0.0
HU233,SFH,68625,1097049.5459309507
HU311,MFH_HIGH,446,115386.66609014152
HU311,MFH_LOW,23006,1054099.8400884913
HU311,NON_RESIDENTIAL,197725,0.0
HU311,SFH,178989,3308492.307733412
HU312,MFH_HIGH,30,10674.882459434772
HU312,MFH_LOW,10901,470707.79313958145
HU312,NON_RESIDENTIAL,100110,0.0
HU312,SFH,103779,1812079.8396990588
HU313,MFH_HIGH,26,11281.37811647099
HU313,MFH_LOW,4645,194105.99780279546
HU313,NON_RESIDENTIAL,46760,0.0
HU313,SFH,84730,1201490.3964416222
HU321,MFH_HIGH,198,75858.46501200437
HU321,MFH_LOW,9790,500011.0822947972
HU321,NON_RESIDENTIAL,146986,0.0
HU321,SFH,115028,1834106.9189816727
HU322,MFH_HIGH,60,31217.181876920476
HU322,MFH_LOW,14877,638993.538308087
HU322,NON_RESIDENTIAL,137027,0.0
HU322,SFH,172679,2701933.9551403644
HU323,MFH_HIGH,111,32862.14815311732
HU323,MFH_LOW,22130,855963.3300372757
HU323,NON_RESIDENTIAL,208464,0.0
HU323,SFH,159563,2876134.9220877416
HU331,MFH_HIGH,51,17991.055591151562
HU331,MFH_LOW,29028,1342194.7239392716
HU331,NON_RESIDENTIAL,192433,0.0
HU331,SFH,241511,3539317.8827482043
HU332,MFH_HIGH,20,5131.291422984237
HU332,MFH_LOW,23212,1078515.378276492
HU332,NON_RESIDENTIAL,140882,0.0
HU332,SFH,148863,2522169.212278809
HU333,MFH_HIGH,255,61465.08874012996
HU333,MFH_LOW,15897,751645.6492871315
HU333,NON_RESIDENTIAL,116490,0.0
HU333,SFH,113635,1718481.6110577649
