building_class,cohort,n_buildings,total_heated_area_m2,mean_intensity_kwh_m2,total_demand_kwh_yr,total_demand_twh_yr
MFH_HIGH,2011-2020,2,7948.773772461037,71.90987999999999,571595.3681248204,0.0005715953681248204
MFH_HIGH,post-2020,4,21242.44570989356,56.8455,1207537.4476017542,0.0012075374476017541
MFH_HIGH,unknown,498,2607602.553020636,129.90774299999998,338747762.30394864,0.33874776230394865
MFH_LOW,1946-1970,6,3004.4287199987625,190.75109999999998,573098.083211356,0.000573098083211356
MFH_LOW,1971-1990,4,887.6988145675328,153.09015,135897.9446769658,0.0001358979446769658
MFH_LOW,1991-2010,29,6312.702103266237,107.06009999999999,675838.5184458935,0.0006758385184458935
MFH_LOW,2011-2020,10,15784.631498842999,73.5837,1161491.5888214135,0.0011614915888214135
MFH_LOW,post-2020,11,8212.37168451742,56.84550000000001,466836.3745922351,0.0004668363745922351
MFH_LOW,pre-1945,74,26770.008251893647,211.67385,5666510.711210097,0.005666510711210097
MFH_LOW,unknown,173910,52006844.92743311,133.7156835,6954130816.150227,6.954130816150227
NON_RESIDENTIAL,1946-1970,35,0.0,110.0,0.0,0.0
NON_RESIDENTIAL,1971-1990,23,0.0,110.0,0.0,0.0
NON_RESIDENTIAL,1991-2010,54,0.0,110.0,0.0,0.0
NON_RESIDENTIAL,2011-2020,66,0.0,110.0,0.0,0.0
NON_RESIDENTIAL,post-2020,23,0.0,110.0,0.0,0.0
NON_RESIDENTIAL,pre-1945,188,0.0,110.0,0.0,0.0
NON_RESIDENTIAL,unknown,1749169,0.0,110.0,0.0,0.0
SFH,1946-1970,19,2821.2922246371236,228.41205,644417.1406784259,0.0006444171406784259
SFH,1971-1990,43,4489.774385034607,169.82835,762490.9756826919,0.0007624909756826919
SFH,1991-2010,16,1556.041344332672,123.7983,192635.27315809944,0.00019263527315809944
SFH,2011-2020,21,2328.6619432566777,77.76825,181095.96416867108,0.00018109596416867108
SFH,post-2020,34,3311.290212185946,61.030049999999996,202088.20721421888,0.00020208820721421888
SFH,pre-1945,163,13872.063702877243,257.7038999999999,3574884.9172799066,0.0035748849172799065
SFH,unknown,1656573,179816948.19960105,154.30366949999998,27746414945.489857,27.746414945489857
