nuts3,building_class,building_count,total_footprint_m2,total_heated_area_m2,mean_floors,median_height_m,source
ITC11,MFH_HIGH,10126,5050693.77969026,29067041.65325565,6.688514714596089,18.0,EUBUCCO
ITC11,MFH_LOW,104343,30134467.064862307,68260077.784341,2.598982202926885,7.4,EUBUCCO
ITC11,NON_RESIDENTIAL,108983,63192162.50967911,0.0,1.3345319912279896,4.0,EUBUCCO
ITC11,SFH,586101,45145672.62986633,58275334.07403733,1.4292028165793949,4.0,EUBUCCO
ITC12,MFH_HIGH,320,94669.91488478913,545672.7867416656,7.203125,14.4,EUBUCCO
ITC12,MFH_LOW,14285,4121570.145567178,8116074.010032643,2.354749737486874,8.0,EUBUCCO
ITC12,NON_RESIDENTIAL,24622,9809934.772474514,0.0,1.1922711396312242,5.0,EUBUCCO
ITC12,SFH,96406,7394501.366630469,9413835.116929954,1.3974244341638489,5.0,EUBUCCO
ITC13,MFH_HIGH,346,212974.95956078314,1089200.4581002472,6.035838150289018,16.0,EUBUCCO
ITC13,MFH_LOW,13092,3777218.367491128,7595736.596040383,2.289283531927895,7.0,EUBUCCO
ITC13,NON_RESIDENTIAL,14501,8689247.436672885,0.0,1.1734914833459762,4.0,EUBUCCO
ITC13,SFH,112101,7930600.863127076,10218920.220142487,1.4000633357418757,4.2,EUBUCCO
ITC14,MFH_HIGH,85,45742.27735305059,223886.14320036367,5.77764705882353,11.0,EUBUCCO
ITC14,MFH_LOW,11471,3014341.7620659987,6518785.997970491,2.4424810391421845,5.0,EUBUCCO
ITC14,NON_RESIDENTIAL,22036,4697597.607136365,0.0,1.202010346705391,4.8,EUBUCCO
ITC14,SFH,137950,8353846.494347179,11001718.127755985,1.4316730699528815,4.0,EUBUCCO
ITC15,MFH_HIGH,409,285445.69776262797,1440526.4819263313,5.952567237163814,17.0,EUBUCCO
ITC15,MFH_LOW,23576,7317409.148714832,14553942.919615708,2.2921700033932813,7.0,EUBUCCO
ITC15,NON_RESIDENTIAL,28407,15724134.371999918,0.0,1.167198225789418,4.0,EUBUCCO
ITC15,SFH,155394,12442190.852074558,15725543.612740517,1.4026313757287927,4.0,EUBUCCO
ITC16,MFH_HIGH,627,375551.3516912213,1871677.1345919804,5.854066985645933,17.0,EUBUCCO
ITC16,MFH_LOW,54922,17738973.424302313,33040811.134263195,2.1476694220895087,6.0,EUBUCCO
ITC16,NON_RESIDENTIAL,75187,35946771.679686725,0.0,1.1739489539415058,4.0,EUBUCCO
ITC16,SFH,350438,28272294.453117076,35246838.85949661,1.3585647104480678,4.0,EUBUCCO
ITC17,MFH_HIGH,274,130594.34852302163,691772.5396758898,6.187591240875912,19.0,EUBUCCO
ITC17,MFH_LOW,19798,6878920.723653283,11946577.446648082,2.0440145469239317,6.0,EUBUCCO
ITC17,NON_RESIDENTIAL,18782,8443841.857137067,0.0,1.148189756149505,4.0,EUBUCCO
ITC17,SFH,108373,9786242.47764369,11797221.673135519,1.3319175440377216,4.5,EUBUCCO
ITC18,MFH_HIGH,655,367456.867953901,1920450.4585515363,6.131603053435114,19.0,EUBUCCO
ITC18,MFH_LOW,30947,10174226.557453334,19720230.024642773,2.220247519953469,7.0,EUBUCCO
ITC18,NON_RESIDENTIAL,41440,20183925.833982278,0.0,1.169963803088803,4.0,EUBUCCO
ITC18,SFH,214829,17819700.673229188,21750840.793691754,1.3544079244422307,4.0,EUBUCCO
ITC20,MFH_HIGH,89,134335.6254317709,663459.2252896018,5.814606741573034,15.6,EUBUCCO
ITC20,MFH_LOW,10301,4274784.3696513,8724878.984879347,2.205232501698864,7.4,EUBUCCO
ITC20,NON_RESIDENTIAL,16195,4270991.965002502,0.0,1.467613460944736,5.7,EUBUCCO
ITC20,SFH,42555,4431708.424758507,5865854.590697463,1.4256773587122546,5.8,EUBUCCO
ITC31,MFH_HIGH,981,529556.1728376576,2703314.8020429634,5.926503567787971,16.6,EUBUCCO
ITC31,MFH_LOW,21954,4559683.114475899,11651857.598882105,2.8028331966839755,9.8,EUBUCCO
ITC31,NON_RESIDENTIAL,14925,4241919.738820747,0.0,1.2987939698492463,5.0,EUBUCCO
ITC31,SFH,96387,6384822.265618822,8028147.676913957,1.3247543755900693,5.3,EUBUCCO
ITC32,MFH_HIGH,2509,1264445.3544137967,6650554.32267967,6.1557592666400955,17.2,EUBUCCO
ITC32,MFH_LOW,20937,5440953.551678224,13750785.07034227,2.8651764818264316,9.5,EUBUCCO
ITC32,NON_RESIDENTIAL,12362,7107802.523248695,0.0,1.5134525157741465,5.9,EUBUCCO
ITC32,SFH,91103,7360661.751613063,9412410.460833112,1.3650977465067011,5.1,EUBUCCO
ITC33,MFH_HIGH,10239,4268730.046779144,24255321.856191847,6.634173259107335,16.9,EUBUCCO
ITC33,MFH_LOW,37315,8037883.742942017,22603728.66113837,3.138753852338202,10.1,EUBUCCO
ITC33,NON_RESIDENTIAL,19526,7593807.836201206,0.0,1.7638482023968043,6.9,EUBUCCO
ITC33,SFH,147863,10059084.706126094,12914569.591033714,1.3629860073175846,5.0,EUBUCCO
ITC34,MFH_HIGH,1042,522619.9446840292,2858669.433698423,6.300767754318618,17.3,EUBUCCO
ITC34,MFH_LOW,14142,3380082.912668766,8072112.135612005,2.683644463300806,8.6,EUBUCCO
ITC34,NON_RESIDENTIAL,8526,3727392.565766612,0.0,1.4178395496129486,5.6,EUBUCCO
