building_class,cohort,n_buildings,total_heated_area_m2,mean_intensity_kwh_m2,total_demand_kwh_yr,total_demand_twh_yr
MFH_HIGH,1971-1990,2,36743.900217285875,136.455,5013888.904149745,0.005013888904149745
MFH_HIGH,unknown,117,933129.5563765642,150.44118000000006,140381111.5541669,0.1403811115541669
MFH_LOW,1971-1990,1,478.833683069616,145.49,69665.51254979843,6.966551254979843e-05
MFH_LOW,1991-2010,2,8987.784006422075,104.83250000000002,942211.8668532424,0.0009422118668532424
MFH_LOW,2011-2020,6,20283.780468509678,68.69250000000001,1393343.589833101,0.001393343589833101
MFH_LOW,post-2020,1,326.24562828015974,44.298,14452.028841554516,1.4452028841554516e-05
MFH_LOW,pre-1945,2,16407.962037483077,208.73500000000004,3424915.9558940316,0.0034249159558940316
MFH_LOW,unknown,27382,23778221.86168555,158.21128000000007,3761982916.8612556,3.7619829168612555
NON_RESIDENTIAL,1946-1970,2,0.0,140.0,0.0,0.0
NON_RESIDENTIAL,1971-1990,5,0.0,140.0,0.0,0.0
NON_RESIDENTIAL,1991-2010,11,0.0,140.0,0.0,0.0
NON_RESIDENTIAL,2011-2020,14,0.0,140.0,0.0,0.0
NON_RESIDENTIAL,post-2020,11,0.0,140.0,0.0,0.0
NON_RESIDENTIAL,pre-1945,8,0.0,140.0,0.0,0.0
NON_RESIDENTIAL,unknown,87196,0.0,140.0,0.0,0.0
SFH,2011-2020,5,1119.054380487807,80.7275,90338.46250082945,9.033846250082945e-05
SFH,pre-1945,4,643.0961658261613,261.4275,168123.02289151878,0.0001681230228915188
SFH,unknown,71402,13720326.850425303,195.78822500000004,2686278440.464611,2.686278440464611
