nuts3,building_class,building_count,total_footprint_m2,total_heated_area_m2,mean_floors,median_height_m,source
LV003,MFH_HIGH,53,36482.26199222018,258253.82332411033,8.686792452830188,23.9,EUBUCCO
LV003,MFH_LOW,6797,3073333.1059840843,5852496.493660174,2.039017213476534,8.1,EUBUCCO
LV003,NON_RESIDENTIAL,130750,17681606.303942934,0.0,1.1246470363288719,4.7,EUBUCCO
LV003,SFH,57779,6109968.600350479,7249907.57837746,1.3286453555790168,6.3,EUBUCCO
LV005,MFH_HIGH,73,53562.8386605449,355068.25199811487,8.372602739726029,24.2,EUBUCCO
LV005,MFH_LOW,6909,3038569.7632683185,6071830.018010261,2.078231292517007,8.1,EUBUCCO
LV005,NON_RESIDENTIAL,212234,17350610.726637293,0.0,1.0707473826059914,5.3,EUBUCCO
LV005,SFH,101881,9874684.169014331,11399462.89346082,1.2971476526535861,6.6,EUBUCCO
LV006,MFH_HIGH,1620,1151488.4956442164,8292795.375684944,8.447962962962963,19.8,EUBUCCO
LV006,MFH_LOW,10372,4911193.002320852,14921589.667319514,3.204637485537987,10.8,EUBUCCO
LV006,NON_RESIDENTIAL,46644,13534481.97724997,0.0,1.306781150844696,4.2,EUBUCCO
LV006,SFH,28107,2856669.803816307,3587115.6545295333,1.337382146796172,5.3,EUBUCCO
LV007,MFH_HIGH,104,63083.33028490832,451066.54804081266,8.778846153846153,18.3,EUBUCCO
LV007,MFH_LOW,13770,5520685.022062423,8592347.046003198,1.6438562091503268,6.3,EUBUCCO
LV007,NON_RESIDENTIAL,210127,22664923.020785227,0.0,1.0652733822878546,4.1,EUBUCCO
LV007,SFH,117056,13248555.92127953,14865378.48384349,1.271348756150902,5.2,EUBUCCO
LV008,MFH_HIGH,2,707.4803923312489,4118.655432285312,10.0,21.4,EUBUCCO
LV008,MFH_LOW,7193,3234393.812798451,4227005.70007983,1.4937856249131098,8.0,EUBUCCO
LV008,NON_RESIDENTIAL,147032,16774954.546119185,0.0,1.091209396593939,5.0,EUBUCCO
LV008,SFH,57305,6709909.910447313,7566402.927650559,1.2858877933862665,6.9,EUBUCCO
LV009,MFH_HIGH,42,25666.624968593696,183526.12221798848,8.697619047619048,22.15,EUBUCCO
LV009,MFH_LOW,5296,2282949.4441886093,3830022.635367569,1.7837802114803625,7.9,EUBUCCO
LV009,NON_RESIDENTIAL,151772,17989715.064715218,0.0,1.0831161215507472,4.7,EUBUCCO
LV009,SFH,55244,5928973.670812459,6918908.344146681,1.3122655854029397,6.6,EUBUCCO
