building_class,cohort,n_buildings,total_heated_area_m2,mean_intensity_kwh_m2,total_demand_kwh_yr,total_demand_twh_yr
MFH_HIGH,1971-1990,7,30248.213867762297,215.29441320000004,6512271.455007987,0.006512271455007987
MFH_HIGH,1991-2010,1,5725.806596999954,143.7328084,822986.2625420506,0.0008229862625420505
MFH_HIGH,pre-1945,33,131960.01868287913,255.872016,33764876.01178595,0.033764876011785946
MFH_HIGH,unknown,1853,9376894.737550614,208.16809274000005,1951970293.3396547,1.9519702933396548
MFH_LOW,1946-1970,26,41269.646834997395,210.4976128,8687162.139866028,0.008687162139866028
MFH_LOW,1971-1990,21,46900.26194221264,192.10721160000003,9009878.54502807,0.00900987854502807
MFH_LOW,1991-2010,3,8225.06057050842,143.7328084,1182211.0550592816,0.0011822110550592816
MFH_LOW,2011-2020,2,8208.242733384752,132.13920760000002,1084630.6905779196,0.0010846306905779196
MFH_LOW,post-2020,1,536.953066824812,85.7648044,46051.674748210135,4.6051674748210136e-05
MFH_LOW,pre-1945,168,282469.70886862464,265.6688164000001,75043393.22398011,0.07504339322398011
MFH_LOW,unknown,50116,43107681.68642399,199.01572403600005,8579106482.3370905,8.57910648233709
NON_RESIDENTIAL,1946-1970,8,0.0,160.0,0.0,0.0
NON_RESIDENTIAL,1971-1990,10,0.0,160.0,0.0,0.0
NON_RESIDENTIAL,1991-2010,13,0.0,160.0,0.0,0.0
NON_RESIDENTIAL,2011-2020,10,0.0,160.0,0.0,0.0
NON_RESIDENTIAL,post-2020,7,0.0,160.0,0.0,0.0
NON_RESIDENTIAL,pre-1945,161,0.0,160.0,0.0,0.0
NON_RESIDENTIAL,unknown,898350,0.0,160.0,0.0,0.0
SFH,1946-1970,22,4138.908057773406,256.07521560000004,1059871.7732429025,0.0010598717732429024
SFH,1991-2010,2,334.48181911485466,153.5296088,51352.862839416004,5.1352862839416004e-05
SFH,pre-1945,54,12115.955503360454,273.4656168,3313297.244847821,0.003313297244847821
SFH,unknown,417294,51570586.5366283,216.88194900800008,11184729319.549671,11.184729319549671
