building_class,cohort,n_buildings,total_heated_area_m2,mean_intensity_kwh_m2,total_demand_kwh_yr,total_demand_twh_yr
MFH_HIGH,1946-1970,1692,9946212.144862395,137.15048500000003,1364127819.5807679,1.3641278195807678
MFH_HIGH,1971-1990,1216,9345228.300013946,116.47686999999999,1088502941.8210456,1.0885029418210457
MFH_HIGH,1991-2010,1279,10876053.645426953,82.02084500000001,892063110.2632494,0.8920631102632494
MFH_HIGH,2011-2020,534,5474926.525879443,64.7928325,354735997.3411138,0.35473599734111383
MFH_HIGH,post-2020,153,1733860.5409767067,53.07778400000001,92029475.2800848,0.0920294752800848
MFH_HIGH,pre-1945,155,630526.2066692677,144.04169000000002,90822060.39793059,0.09082206039793059
MFH_HIGH,unknown,79,761140.9382464505,113.14152678,86116647.8479651,0.0861166478479651
MFH_LOW,1946-1970,99002,66086096.94623601,144.04169,9519153089.639675,9.519153089639675
MFH_LOW,1971-1990,81967,69390987.3276256,119.92247250000001,8321538769.545032,8.32153876954503
MFH_LOW,1991-2010,111531,77583806.23106498,82.02084500000001,6363489345.388217,6.363489345388217
MFH_LOW,2011-2020,42201,25303371.64320671,64.7928325,1639477120.5635421,1.6394771205635421
MFH_LOW,post-2020,12717,6494397.0088807065,53.077784,344708201.64761627,0.3447082016476163
MFH_LOW,pre-1945,270236,97344633.0714763,164.715305,16034150926.481308,16.034150926481306
MFH_LOW,unknown,3474,3365838.4879013733,119.34361128000002,401691320.1313645,0.40169132013136455
NON_RESIDENTIAL,1946-1970,1027173,0.0,130.0,0.0,0.0
NON_RESIDENTIAL,1971-1990,1173741,0.0,130.0,0.0,0.0
NON_RESIDENTIAL,1991-2010,1002195,0.0,130.0,0.0,0.0
NON_RESIDENTIAL,2011-2020,616453,0.0,130.0,0.0,0.0
NON_RESIDENTIAL,post-2020,324672,0.0,130.0,0.0,0.0
NON_RESIDENTIAL,pre-1945,462759,0.0,130.0,0.0,0.0
NON_RESIDENTIAL,unknown,518128,0.0,130.0,0.0,0.0
SFH,1946-1970,1389737,127490188.20375648,178.9433175,22813517225.879555,22.813517225879554
SFH,1971-1990,1821518,178975949.87969512,134.150485,24009710479.696793,24.009710479696793
SFH,1991-2010,1121094,130092874.13117602,96.24885750000001,12521290504.017,12.521290504017001
SFH,2011-2020,345338,36963302.47828532,72.12964,2666149700.9698286,2.6661497009698287
SFH,post-2020,100047,11235694.20289811,54.901627500000004,616857897.8314216,0.6168578978314216
SFH,pre-1945,932617,106831613.4647861,192.72572749999998,20589200424.9997,20.5892004249997
SFH,unknown,100959,6381156.829416581,139.59453695,890774632.8077378,0.8907746328077378
