nuts3,building_class,building_count,total_footprint_m2,total_heated_area_m2,mean_floors,median_height_m,source
PT111,MFH_HIGH,11,30034.589380634956,133839.8060049087,5.345454545454545,17.4,EUBUCCO
PT111,MFH_LOW,17873,6156512.955717222,11705736.277571788,2.0672914451966653,6.5,EUBUCCO
PT111,NON_RESIDENTIAL,95266,13059576.426574383,0.0,1.231194759935339,5.9,EUBUCCO
PT111,SFH,145793,14673033.97772097,19313830.4532235,1.401356032182615,5.8,EUBUCCO
PT112,MFH_HIGH,664,303762.62178552133,1736040.9755745817,7.4033132530120485,17.0,EUBUCCO
PT112,MFH_LOW,31175,11409309.670577612,22725251.480079778,2.194251804330393,6.6,EUBUCCO
PT112,NON_RESIDENTIAL,79801,17035220.42945591,0.0,1.3086402426034762,5.1,EUBUCCO
PT112,SFH,125375,13822042.11244021,19146919.453192946,1.472573479561316,5.4,EUBUCCO
PT119,MFH_HIGH,158,127656.47282847845,666321.7224021839,7.171518987341772,16.55,EUBUCCO
PT119,MFH_LOW,27850,10287262.841688907,20089492.274890147,2.139174147217235,6.8,EUBUCCO
PT119,NON_RESIDENTIAL,81276,18380320.185869753,0.0,1.293803828928589,4.7,EUBUCCO
PT119,SFH,136129,14950779.226844618,20661443.932240058,1.4721756569136626,5.4,EUBUCCO
PT11A,MFH_HIGH,2255,1412775.8425525248,8317317.943291534,7.0080266075388025,19.1,EUBUCCO
PT11A,MFH_LOW,108675,39574046.3383232,83244582.51198283,2.3578237865194387,7.5,EUBUCCO
PT11A,NON_RESIDENTIAL,154191,51301422.940938264,0.0,1.3992820592641595,4.5,EUBUCCO
PT11A,SFH,285558,31113962.03126341,42561914.00553648,1.487251276448217,5.2,EUBUCCO
PT11B,MFH_HIGH,1,6546.569595153467,28379.37919499028,5.1,16.7,EUBUCCO
PT11B,MFH_LOW,11724,4657667.484793829,7943430.276668145,1.8939013988399862,6.9,EUBUCCO
PT11B,NON_RESIDENTIAL,51596,7170556.923119087,0.0,1.1966974184045276,5.0,EUBUCCO
PT11B,SFH,56223,6556135.939010925,8483490.238258084,1.4204827205947745,5.8,EUBUCCO
PT11C,MFH_HIGH,8,5010.238697065672,26921.784438624647,6.25,16.25,EUBUCCO
PT11C,MFH_LOW,24959,9061542.937221255,16285691.95035999,2.0151808966705396,6.8,EUBUCCO
PT11C,NON_RESIDENTIAL,101487,16271544.042388443,0.0,1.2479903830047199,4.5,EUBUCCO
PT11C,SFH,169921,18099465.851509545,24708787.465858195,1.4571795128324339,5.5,EUBUCCO
PT11D,MFH_HIGH,5,3050.558464287873,19640.77001526015,6.8,18.4,EUBUCCO
PT11D,MFH_LOW,19653,6906468.372360367,12460638.874790506,2.0540579046456013,7.7,EUBUCCO
PT11D,NON_RESIDENTIAL,96265,11034727.552067338,0.0,1.187592582974082,4.9,EUBUCCO
PT11D,SFH,93019,10011378.978257267,13238307.460303187,1.4503875552306518,6.1,EUBUCCO
PT11E,MFH_HIGH,212,78602.50319812442,497787.0477690066,7.377358490566038,18.6,EUBUCCO
PT11E,MFH_LOW,13359,5039528.058274071,8427869.560993392,1.9337150984355116,7.5,EUBUCCO
PT11E,NON_RESIDENTIAL,75676,9053954.680364624,0.0,1.1260756382472645,5.0,EUBUCCO
PT11E,SFH,58264,6520418.718445703,8177460.5304804295,1.407313263764932,6.2,EUBUCCO
PT150,MFH_HIGH,256,289118.24893866654,1604545.4631610815,7.044140625,19.8,EUBUCCO
PT150,MFH_LOW,44325,18031206.687683064,36274304.81016839,2.125989847715736,7.7,EUBUCCO
PT150,NON_RESIDENTIAL,122877,20991376.277588867,0.0,1.158132115855693,4.8,EUBUCCO
PT150,SFH,140859,15848698.065907123,19009911.13276125,1.3415805876798785,5.4,EUBUCCO
PT16B,MFH_HIGH,114,129072.58300833651,620716.6295373263,5.800000000000001,15.9,EUBUCCO
PT16B,MFH_LOW,48515,17402367.373275597,35659617.39832159,2.3185097392559,6.8,EUBUCCO
PT16B,NON_RESIDENTIAL,111677,23246718.849512465,0.0,1.2770830161985012,5.1,EUBUCCO
PT16B,SFH,149908,16984624.31218023,24187517.427805454,1.564971849400966,5.6,EUBUCCO
PT16D,MFH_HIGH,160,147976.5511169779,710784.4883532263,5.7875,15.149999999999999,EUBUCCO
PT16D,MFH_LOW,44836,17263267.872694317,34374671.89184106,2.2141627263805868,6.9,EUBUCCO
PT16D,NON_RESIDENTIAL,101647,23291337.879131824,0.0,1.295644731275886,4.6,EUBUCCO
PT16D,SFH,141884,15210626.034278316,21348499.954562526,1.5010607256632178,5.4,EUBUCCO
PT16E,MFH_HIGH,669,397544.41837804514,2344003.2442008187,7.419730941704036,19.5,EUBUCCO
PT16E,MFH_LOW,48185,17287829.652000416,33414859.476047836,2.2142907543841446,7.1,EUBUCCO
PT16E,NON_RESIDENTIAL,158086,23641135.643875945,0.0,1.2538339890945436,4.6,EUBUCCO
PT16E,SFH,212970,21213984.226899393,28917580.373004574,1.4512227074235808,5.4,EUBUCCO
PT16F,MFH_HIGH,133,66952.7237258542,330641.1484002681,5.8879699248120305,15.9,EUBUCCO
PT16F,MFH_LOW,39225,14253261.81890817,26618958.617787197,2.1120458891013385,6.7,EUBUCCO
PT16F,NON_RESIDENTIAL,104649,19522538.209100887,0.0,1.2860333113551015,4.8,EUBUCCO
PT16F,SFH,153926,17043747.5353859,23715656.425445966,1.4959526006002883,5.4,EUBUCCO
PT16G,MFH_HIGH,52,64107.39224838577,300777.12556647987,5.528846153846154,15.1,EUBUCCO
PT16G,MFH_LOW,28892,9368303.3789679,17810377.44206378,2.170393188425862,7.1,EUBUCCO
PT16G,NON_RESIDENTIAL,124202,17431680.835854802,0.0,1.223242781919776,4.6,EUBUCCO
PT16G,SFH,150558,15674537.207008298,21463599.22021568,1.4618379627784641,5.6,EUBUCCO
PT16H,MFH_HIGH,139,204237.70414557203,958100.031097269,6.076258992805756,17.8,EUBUCCO
PT16H,MFH_LOW,7563,3034784.486886057,6021604.571483574,2.1251619727621316,7.6,EUBUCCO
PT16H,NON_RESIDENTIAL,53985,6289405.18907073,0.0,1.121131795869223,4.5,EUBUCCO
PT16H,SFH,42002,4208333.82341805,5222529.552209531,1.3633184134088852,5.7,EUBUCCO
PT16I,MFH_HIGH,57,67131.08486662574,313074.07785351976,5.531578947368422,17.0,EUBUCCO
PT16I,MFH_LOW,25292,9980163.85132186,19009650.51278549,2.059758026253361,6.9,EUBUCCO
PT16I,NON_RESIDENTIAL,109501,16228401.248503854,0.0,1.2357001305924147,4.7,EUBUCCO
PT16I,SFH,118076,13676021.476498423,18623176.87374124,1.495701920796775,5.6,EUBUCCO
PT16J,MFH_HIGH,105,63166.43937969833,348945.5276338421,6.748571428571429,18.5,EUBUCCO
PT16J,MFH_LOW,23851,8067406.547150556,14621029.833145784,2.061464928095258,7.8,EUBUCCO
PT16J,NON_RESIDENTIAL,125803,14852475.985063624,0.0,1.1590033623999427,4.7,EUBUCCO
PT16J,SFH,119031,12558436.998896759,16334252.79601382,1.4371046198049249,6.1,EUBUCCO
PT170,MFH_HIGH,3365,2212691.790303729,12848201.707113422,7.40517087667162,19.3,EUBUCCO
PT170,MFH_LOW,149743,45089035.33242891,112298457.64275093,2.783583205892763,10.2,EUBUCCO
PT170,NON_RESIDENTIAL,347624,56470632.41470731,0.0,1.3537169470462338,5.9,EUBUCCO
