nuts_id,building_class,n_buildings,heat_demand_MWh
PT111,MFH_HIGH,11,2475.4064271239454
PT111,MFH_LOW,17873,224054.22777521555
PT111,NON_RESIDENTIAL,95266,0.0
PT111,SFH,145793,437395.10698409757
PT112,MFH_HIGH,664,32108.586503257724
PT112,MFH_LOW,31175,434970.783562723
PT112,NON_RESIDENTIAL,79801,0.0
PT112,SFH,125375,433615.1341694823
PT119,MFH_HIGH,158,12317.83456498856
PT119,MFH_LOW,27850,384521.311721906
PT119,NON_RESIDENTIAL,81276,0.0
PT119,SFH,136129,467913.550977837
PT11A,MFH_HIGH,2255,153822.15728792842
PT11A,MFH_LOW,108675,1593380.3216641345
PT11A,NON_RESIDENTIAL,154191,0.0
PT11A,SFH,285558,963895.639531493
PT11B,MFH_HIGH,1,524.8849333694492
PT11B,MFH_LOW,11724,152040.77443504086
PT11B,NON_RESIDENTIAL,51596,0.0
PT11B,SFH,56223,192123.49951883184
PT11C,MFH_HIGH,8,497.92629127520325
PT11C,MFH_LOW,24959,311714.2368406505
PT11C,NON_RESIDENTIAL,101487,0.0
PT11C,SFH,169921,559573.1889490997
PT11D,MFH_HIGH,5,363.26179617785084
PT11D,MFH_LOW,19653,238519.2963308428
PT11D,NON_RESIDENTIAL,96265,0.0
PT11D,SFH,93019,299803.7168461121
PT11E,MFH_HIGH,212,9206.717300092772
PT11E,MFH_LOW,13359,161313.1569436291
PT11E,NON_RESIDENTIAL,75676,0.0
PT11E,SFH,58264,185192.93715780892
PT150,MFH_HIGH,256,29676.538472984903
PT150,MFH_LOW,44325,694312.4150255052
PT150,NON_RESIDENTIAL,122877,0.0
PT150,SFH,140859,430512.3035079804
PT16B,MFH_HIGH,114,11480.335933265302
PT16B,MFH_LOW,48515,682540.891425234
PT16B,NON_RESIDENTIAL,111677,0.0
PT16B,SFH,149908,547767.0605549584
PT16D,MFH_HIGH,160,13146.167371948006
PT16D,MFH_LOW,44836,657945.036850816
PT16D,NON_RESIDENTIAL,101647,0.0
PT16D,SFH,141884,483474.98026236484
PT16E,MFH_HIGH,669,43353.02679444468
PT16E,MFH_LOW,48185,639572.4034123034
PT16E,NON_RESIDENTIAL,158086,0.0
PT16E,SFH,212970,654889.9959708627
PT16F,MFH_HIGH,133,6115.304917519439
PT16F,MFH_LOW,39225,509486.6709848181
PT16F,NON_RESIDENTIAL,104649,0.0
PT16F,SFH,153926,537081.9238544295
PT16G,MFH_HIGH,52,5562.961065049835
PT16G,MFH_LOW,28892,340888.8193939624
PT16G,NON_RESIDENTIAL,124202,0.0
PT16G,SFH,150558,486080.3654164084
PT16H,MFH_HIGH,139,17720.3407984531
PT16H,MFH_LOW,7563,115256.17906902077
PT16H,NON_RESIDENTIAL,53985,0.0
PT16H,SFH,42002,118273.32729252595
PT16I,MFH_HIGH,57,5790.3968006056575
PT16I,MFH_LOW,25292,363859.15834048775
PT16I,NON_RESIDENTIAL,109501,0.0
PT16I,SFH,118076,421754.8901507746
PT16J,MFH_HIGH,105,6453.849774627505
PT16J,MFH_LOW,23851,279851.560251264
PT16J,NON_RESIDENTIAL,125803,0.0
PT16J,SFH,119031,369918.093393656
PT170,MFH_HIGH,3365,237626.41578566557
PT170,MFH_LOW,149743,2149601.0992127466
PT170,NON_RESIDENTIAL,347624,0.0
PT170,SFH,247795,944202.6287285421
PT181,MFH_HIGH,11,2062.8641966211208
PT181,MFH_LOW,7826,95966.58923862645
PT181,NON_RESIDENTIAL,49879,0.0
PT181,SFH,51277,159236.0552180609
PT184,MFH_HIGH,2,355.52197963727
PT184,MFH_LOW,6240,69247.83793495467
PT184,NON_RESIDENTIAL,55523,0.0
PT184,SFH,84415,210004.40378575155
PT185,MFH_HIGH,13,1074.922746588757
PT185,MFH_LOW,24610,381125.5743782854
PT185,NON_RESIDENTIAL,65234,0.0
PT185,SFH,145930,399734.557150321
PT186,MFH_LOW,8162,77283.37522408312
PT186,NON_RESIDENTIAL,50692,0.0
PT186,SFH,70698,175624.19240808772
PT187,MFH_HIGH,1,50.58880344330716
PT187,MFH_LOW,11539,115057.33895668981
PT187,NON_RESIDENTIAL,57508,0.0
PT187,SFH,81133,218883.06963146734
PT200,MFH_HIGH,41,18444.18081300889
PT200,MFH_LOW,7614,89734.37761707857
PT200,NON_RESIDENTIAL,22188,0.0
PT200,SFH,83130,234335.796153105
PT300,MFH_HIGH,243,18405.35371352754
PT300,MFH_LOW,16720,187903.19588077778
PT300,NON_RESIDENTIAL,37976,0.0
PT300,SFH,68355,218242.96498161717
