nuts3,building_class,building_count,total_footprint_m2,total_heated_area_m2,mean_floors,median_height_m,source
RO111,MFH_HIGH,248,150661.98744076438,1026990.381740489,8.203225806451613,19.55,EUBUCCO
RO111,MFH_LOW,25019,10214594.248834768,15591564.883977627,1.7131300211839005,13.0,EUBUCCO
RO111,NON_RESIDENTIAL,187832,19681736.100076277,0.0,1.1253135780910601,5.0,EUBUCCO
RO111,SFH,181986,20510433.984260157,22331116.956743747,1.2388244150648953,7.5,EUBUCCO
RO112,MFH_HIGH,9,11684.361231290548,58723.1423194407,6.355555555555556,20.3,EUBUCCO
RO112,MFH_LOW,11469,4517874.534139156,6658790.976613249,1.6083180748103583,8.6,EUBUCCO
RO112,NON_RESIDENTIAL,74118,7397024.584241635,0.0,1.0918751180549935,4.7,EUBUCCO
RO112,SFH,124043,12524920.29500365,13114404.717567611,1.1759389888990108,6.5,EUBUCCO
RO113,MFH_HIGH,315,272264.32014485373,1987262.3710739783,8.697460317460317,22.0,EUBUCCO
RO113,MFH_LOW,13689,5479296.861291699,11185577.650652887,2.2128278179560232,9.8,EUBUCCO
RO113,NON_RESIDENTIAL,137595,15132489.877894748,0.0,1.1611577455576148,4.2,EUBUCCO
RO113,SFH,212376,20608994.14616304,22385667.441289622,1.2239678683090367,6.3,EUBUCCO
RO114,MFH_HIGH,58,53451.51086311232,291430.2608767387,6.874137931034483,18.65,EUBUCCO
RO114,MFH_LOW,12557,4686746.602919888,7916163.20736078,1.8027952536433862,9.4,EUBUCCO
RO114,NON_RESIDENTIAL,145426,11514399.609658161,0.0,1.1105228776147318,5.0,EUBUCCO
RO114,SFH,182830,19835197.60205332,21511914.811211646,1.2285768199967184,7.3,EUBUCCO
RO115,MFH_HIGH,6,1910.2698167732724,17165.065877713787,11.666666666666666,19.35,EUBUCCO
RO115,MFH_LOW,17913,6802507.770180002,9516487.537751393,1.5431697649751577,10.1,EUBUCCO
RO115,NON_RESIDENTIAL,97816,9976951.372498697,0.0,1.1000030669829068,5.2,EUBUCCO
RO115,SFH,110300,14482607.842445973,15503693.461995956,1.23203445149592,7.3,EUBUCCO
RO116,MFH_HIGH,11,4778.195084358497,39667.352445740114,9.818181818181818,20.7,EUBUCCO
RO116,MFH_LOW,9359,3476067.646449267,4735507.699915729,1.5428357730526765,9.4,EUBUCCO
RO116,NON_RESIDENTIAL,101736,7886409.248581979,0.0,1.1046620665251239,5.0,EUBUCCO
RO116,SFH,82506,10271789.490173569,10927024.936394297,1.2296814777107121,7.4,EUBUCCO
RO121,MFH_HIGH,12,18809.69310491373,114293.56705026006,7.716666666666666,26.7,EUBUCCO
RO121,MFH_LOW,11896,4961049.445589781,7859357.737526311,1.7021015467383995,10.5,EUBUCCO
RO121,NON_RESIDENTIAL,132531,11050355.414128743,0.0,1.0999336004406517,5.4,EUBUCCO
RO121,SFH,126662,13034258.649742033,13653386.277126167,1.1970164690278062,7.7,EUBUCCO
