building_class,cohort,n_buildings,total_heated_area_m2,mean_intensity_kwh_m2,total_demand_kwh_yr,total_demand_twh_yr
MFH_HIGH,1946-1970,106,670797.569861945,129.827,87087636.10246675,0.08708763610246675
MFH_HIGH,1971-1990,25,239879.7252289681,94.22000000000001,22601467.711073376,0.022601467711073377
MFH_HIGH,1991-2010,54,327659.6308248979,89.07200000000002,29185298.636835307,0.02918529863683531
MFH_HIGH,2011-2020,57,477602.2359051132,74.65760000000002,35656636.68730958,0.035656636687309576
MFH_HIGH,post-2020,8,24776.879297014435,63.84680000000001,1581924.4571006214,0.0015819244571006214
MFH_HIGH,pre-1945,33,223852.30450054788,136.262,30502562.715853654,0.030502562715853655
MFH_HIGH,unknown,7170,41780849.24520452,109.766102,4586120959.895743,4.5861209598957435
MFH_LOW,1946-1970,852,1066892.3349471153,129.827,138511431.16917917,0.13851143116917916
MFH_LOW,1971-1990,196,294984.56336473656,94.22000000000001,27793445.56022548,0.02779344556022548
MFH_LOW,1991-2010,110,256497.48465540315,89.072,22846743.95322607,0.02284674395322607
MFH_LOW,2011-2020,91,197847.38140070802,74.65760000000002,14770810.6616615,0.0147708106616615
MFH_LOW,post-2020,22,40132.468010928336,63.84680000000001,2562329.65860014,0.00256232965860014
MFH_LOW,pre-1945,459,710127.6948716361,136.262,96763419.95859888,0.09676341995859888
MFH_LOW,unknown,259094,227775547.7363923,109.766102,25002034005.93871,25.00203400593871
NON_RESIDENTIAL,1946-1970,270,0.0,140.0,0.0,0.0
NON_RESIDENTIAL,1971-1990,180,0.0,140.0,0.0,0.0
NON_RESIDENTIAL,1991-2010,74,0.0,140.0,0.0,0.0
NON_RESIDENTIAL,2011-2020,65,0.0,140.0,0.0,0.0
NON_RESIDENTIAL,post-2020,28,0.0,140.0,0.0,0.0
NON_RESIDENTIAL,pre-1945,913,0.0,140.0,0.0,0.0
NON_RESIDENTIAL,unknown,4594746,0.0,140.0,0.0,0.0
SFH,1946-1970,1936,261887.54937059784,184.8544,48411065.80637225,0.04841106580637225
SFH,1971-1990,975,133509.2587135707,127.96900000000001,17085046.328316934,0.017085046328316936
SFH,1991-2010,489,79107.68494515143,116.64340000000001,9227389.338131277,0.009227389338131277
SFH,2011-2020,163,27322.02100755174,96.4804,2636039.5156169953,0.0026360395156169955
SFH,post-2020,5,600.5793686411077,81.37960000000001,48874.9087882659,4.88749087882659e-05
SFH,pre-1945,668,106855.71240094953,195.32200000000006,20871271.457578264,0.020871271457578264
SFH,unknown,2252965,338960042.7970903,152.34906999999998,51640247287.29691,51.640247287296916
