nuts_id,building_class,n_buildings,heat_demand_MWh
SK010,MFH_HIGH,2771,1401752.0912713744
SK010,MFH_LOW,12196,1045117.2295919067
SK010,NON_RESIDENTIAL,183881,0.0
SK010,SFH,132562,2518674.7306924853
SK021,MFH_HIGH,384,184210.57928649595
SK021,MFH_LOW,12461,790660.8033345122
SK021,NON_RESIDENTIAL,307559,0.0
SK021,SFH,164571,3458391.7648014836
SK022,MFH_HIGH,1015,454910.76476193883
SK022,MFH_LOW,8906,720349.7858686036
SK022,NON_RESIDENTIAL,284429,0.0
SK022,SFH,163007,3151690.751212144
SK023,MFH_HIGH,549,228864.07468048608
SK023,MFH_LOW,15957,1021055.0720908451
SK023,NON_RESIDENTIAL,388158,0.0
SK023,SFH,208421,4406993.89978544
SK031,MFH_HIGH,818,402963.13087475946
SK031,MFH_LOW,8983,697177.9207557477
SK031,NON_RESIDENTIAL,340928,0.0
SK031,SFH,193152,3904005.3659043335
SK032,MFH_HIGH,617,328592.59176381445
SK032,MFH_LOW,12351,954239.7066244755
SK032,NON_RESIDENTIAL,332934,0.0
SK032,SFH,180600,3561882.594228505
SK041,MFH_HIGH,978,414740.6225370874
SK041,MFH_LOW,22684,1323801.8985930053
SK041,NON_RESIDENTIAL,362638,0.0
SK041,SFH,161048,4058780.2306929897
SK042,MFH_HIGH,1290,830866.1454876746
SK042,MFH_LOW,16533,1074546.018262807
SK042,NON_RESIDENTIAL,317075,0.0
SK042,SFH,153609,3751612.103759876
