country|country_code|sector|subsector|btype|bage|topic|feature|type|detail|estimated|value|unit|source
Austria|at|Residential sector|Residential sector|Total||BUILDING|Area|Constructed area [Mm²]||0|347.3519528|Mm²|Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/
Austria|at|Residential sector|Residential sector|Total||BUILDING|Area|Number of dwellings/units [Mil.]||0|5.750000000000001|1e6 dimensionless|Own calculations
Austria|at|Residential sector|Residential sector|Total||BUILDING|Area|Number of buildings [Mil.]||0|3.3739000000000003|1e6 dimensionless|Own calculations
Austria|at|Residential sector|Residential sector|Total||BUILDING|Tenure/ownership status and distribution|Owner occupied -  dwellings/units  [Mil.]||0|3.289|1e6 dimensionless|Own calculations
Austria|at|Residential sector|Residential sector|Total||BUILDING|Tenure/ownership status and distribution|Private rented  -  dwellings/units [Mil.]||0|1.5640000000000003|1e6 dimensionless|Own calculations
Austria|at|Residential sector|Residential sector|Total||BUILDING|Tenure/ownership status and distribution|Social housing  -  dwellings/units [Mil.]||0|0.8970000000000001|1e6 dimensionless|Own calculations
Austria|at|Residential sector|Residential sector|Total||BUILDING|Occupancy|Occupied [Mil.]||0|0.9155186721991702|1e6 dimensionless|Own calculations
Austria|at|Residential sector|Residential sector|Total||BUILDING|Occupancy|Vacant [Mil.]||0|4.83448132780083|1e6 dimensionless|Own calculations
Austria|at|Residential sector|Total|Total|Before 1945|BUILDING|Area|Constructed area [Mm²]||0|121.55649827186306|Mm²|Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/
Austria|at|Residential sector|Total|Total|Before 1945|BUILDING|Area|Heated area [Mm²]||0|112.33865611097347|Mm²|S. Pezzutto. Analysis of the space heating and cooling market in Europe. PhD-Thesis. 2014
Austria|at|Residential sector|Total|Total|Before 1945|BUILDING|Area|Cooled area [Mm²]||0|2.54806981414429|Mm²|
Austria|at|Residential sector|Total|Total|Before 1945|BUILDING|Area|Number of dwellings/units [Mil.]||0|1.4056514968393359|1e6 dimensionless|Own calculations
Austria|at|Residential sector|Total|Total|Before 1945|BUILDING|Area|Number of buildings [Mil.]||0|0.485389114601378|1e6 dimensionless|Own calculations
Austria|at|Residential sector|Total|Total|Before 1945|BUILDING|Tenure/ownership status and distribution|Owner occupied -  dwellings/units  [Mil.]||0|0.8040326561921001|1e6 dimensionless|Own calculations
Austria|at|Residential sector|Total|Total|Before 1945|BUILDING|Tenure/ownership status and distribution|Private rented  -  dwellings/units [Mil.]||0|0.3823372071402994|1e6 dimensionless|Own calculations
Austria|at|Residential sector|Total|Total|Before 1945|BUILDING|Tenure/ownership status and distribution|Social housing  -  dwellings/units [Mil.]||0|0.2192816335069364|1e6 dimensionless|Own calculations
Austria|at|Residential sector|Total|Total|Before 1945|BUILDING|Occupancy|Occupied [Mil.]||0|1.1917777726748766|1e6 dimensionless|Own calculations
Austria|at|Residential sector|Total|Total|Before 1945|BUILDING|Occupancy|Vacant [Mil.]||1|0.16586687662704164|1e6 dimensionless|Own calculations
Austria|at|Residential sector|Total|Total|Before 1945|BUILDING|Occupancy|Secondary dwellings/ units and others [Mil.]||1|0.048006847537417546|1e6 dimensionless|Own calculations
Austria|at|Residential sector|Total|Total|Before 1945|BUILDING|Construction features (U-values)|Walls||0|1.4118107138877374|dimensionless|Source residential part: IEE TABULA Project, TABULA Web Tool, 2017 http://webtool.building-typology.eu/#bm; Source service part: S. Birchall et al., D2.1a Survey on the energy needs and architectural features of the EU building stock, 2014
Austria|at|Residential sector|Total|Total|Before 1945|BUILDING|Construction features (U-values)|Windows ||0|2.0056517069886266|dimensionless|Source residential part: IEE TABULA Project, TABULA Web Tool, 2017 http://webtool.building-typology.eu/#bm; Source service part: S. Birchall et al., D2.1a Survey on the energy needs and architectural features of the EU building stock, 2014
Austria|at|Residential sector|Total|Total|Before 1945|BUILDING|Construction features (U-values)|Roof ||0|1.0177328502066114|dimensionless|Source residential part: IEE TABULA Project, TABULA Web Tool, 2017 http://webtool.building-typology.eu/#bm; Source service part: S. Birchall et al., D2.1a Survey on the energy needs and architectural features of the EU building stock, 2014
Austria|at|Residential sector|Total|Total|Before 1945|BUILDING|Construction features (U-values)|Floor ||0|1.1292799288166386|dimensionless|Source residential part: IEE TABULA Project, TABULA Web Tool, 2017 http://webtool.building-typology.eu/#bm; Source service part: S. Birchall et al., D2.1a Survey on the energy needs and architectural features of the EU building stock, 2014
Austria|at|Residential sector|Total|Total|Before 1945|WALLS|construction material|brick||0|1|dimensionless|Source residential part: Own calculations
Austria|at|Residential sector|Total|Total|Before 1945|WALLS|construction methodology|solid wall||0|1|dimensionless|Source residential part: Own calculations
Austria|at|Residential sector|Total|Total|Before 1945|WINDOWS|construction material|wood||0|0.716823393217505|dimensionless|Source residential part: Own calculations
Austria|at|Residential sector|Total|Total|Before 1945|WINDOWS|construction material|synthetic / pvc||0|0.28317660678249507|dimensionless|Source residential part: Own calculations
Austria|at|Residential sector|Total|Total|Before 1945|WINDOWS|construction methodology|single glazing||0|0.716823393217505|dimensionless|Source residential part: Own calculations
Austria|at|Residential sector|Total|Total|Before 1945|WINDOWS|construction methodology|double glazing||0|0.28317660678249507|dimensionless|Source residential part: Own calculations
Austria|at|Residential sector|Total|Total|Before 1945|ROOF|construction material|wood||0|0.8111778385974324|dimensionless|Source residential part: Own calculations
Austria|at|Residential sector|Total|Total|Before 1945|ROOF|construction material|concrete||0|0.1887655260812112|dimensionless|Source residential part: Own calculations
Austria|at|Residential sector|Total|Total|Before 1945|ROOF|construction material|tilted roof||0|0.8111778385974324|dimensionless|Source residential part: Own calculations
Austria|at|Residential sector|Total|Total|Before 1945|ROOF|construction material|flat roof||0|0.1887655260812112|dimensionless|Source residential part: Own calculations
Austria|at|Residential sector|Total|Total|Before 1945|FLOOR|construction material|concrete||0|1|dimensionless|Source residential part: Own calculations
Austria|at|Residential sector|Total|Total|Before 1945|FLOOR|construction methodology|concrete slab||0|1|dimensionless|Source residential part: Own calculations
Austria|at|Residential sector|Total|Total|Before 1945|ENERGY|Useful energy demand|Space heating [kWh/m² year]||0|144.0392906778036|kWh/m²/year|Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/
Austria|at|Residential sector|Total|Total|Before 1945|ENERGY|Useful energy demand|Space cooling [kWh/m² year]||0|21.928456707881715|kWh/m²/year|Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/
Austria|at|Residential sector|Total|Total|Before 1945|ENERGY|Useful energy demand|Domestic hot water  [kWh/m² year]||0|19.133204608673537|kWh/m²/year|Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/
Austria|at|Residential sector|Total|Total|Before 1945|ENERGY|Final energy consumption|Space heating [kWh/m² year]||0|191.2697740910554|kWh/m²/year|Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/
Austria|at|Residential sector|Total|Total|Before 1945|ENERGY|Final energy consumption|Space cooling [kWh/m² year]||0|3.727837640339892|kWh/m²/year|Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/
Austria|at|Residential sector|Total|Total|Before 1945|ENERGY|Final energy consumption|Domestic hot water [kWh/m² year]||0|28.699806913010306|kWh/m²/year|Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/
Austria|at|Residential sector|Total|Total|Before 1945|ENERGY|Total useful energy demand|Space heating+Domestic hot water [TWh/year]||0|18.506945694871753|TWh/year|Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/ and S. Pezzutto. Analysis of the space heating and cooling market in Europe. PhD-Thesis. 2014
Austria|at|Residential sector|Total|Total|Before 1945|ENERGY|Total useful energy demand|Space cooling [TWh/year]||0|0.055875238608123275|TWh/year|Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/ and S. Pezzutto. Analysis of the space heating and cooling market in Europe. PhD-Thesis. 2014
Austria|at|Residential sector|Total|Total|Before 1945|ENERGY|Total final energy consumption|Space heating+Domestic hot water [TWh/year]||0|24.9756374054628|TWh/year|Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/ and S. Pezzutto. Analysis of the space heating and cooling market in Europe. PhD-Thesis. 2014
Austria|at|Residential sector|Total|Total|Before 1945|ENERGY|Total final energy consumption|Space cooling [TWh/year]||0|0.009498790563380958|TWh/year|Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/ and S. Pezzutto. Analysis of the space heating and cooling market in Europe. PhD-Thesis. 2014
Austria|at|Residential sector|Total|Total|1945 - 1969|BUILDING|Area|Constructed area [Mm²]||0|142.4819292953037|Mm²|Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/
Austria|at|Residential sector|Total|Total|1945 - 1969|BUILDING|Area|Heated area [Mm²]||0|131.6772750506104|Mm²|S. Pezzutto. Analysis of the space heating and cooling market in Europe. PhD-Thesis. 2014
Austria|at|Residential sector|Total|Total|1945 - 1969|BUILDING|Area|Cooled area [Mm²]||0|2.887008150000433|Mm²|
Austria|at|Residential sector|Total|Total|1945 - 1969|BUILDING|Area|Number of dwellings/units [Mil.]||0|1.5616646532695424|1e6 dimensionless|Own calculations
Austria|at|Residential sector|Total|Total|1945 - 1969|BUILDING|Area|Number of buildings [Mil.]||0|0.5601652754994282|1e6 dimensionless|Own calculations
Austria|at|Residential sector|Total|Total|1945 - 1969|BUILDING|Tenure/ownership status and distribution|Owner occupied -  dwellings/units  [Mil.]||0|0.8932721816701781|1e6 dimensionless|Own calculations
Austria|at|Residential sector|Total|Total|1945 - 1969|BUILDING|Tenure/ownership status and distribution|Private rented  -  dwellings/units [Mil.]||0|0.42477278568931554|1e6 dimensionless|Own calculations
Austria|at|Residential sector|Total|Total|1945 - 1969|BUILDING|Tenure/ownership status and distribution|Social housing  -  dwellings/units [Mil.]||0|0.24361968591004862|1e6 dimensionless|Own calculations
Austria|at|Residential sector|Total|Total|1945 - 1969|BUILDING|Occupancy|Occupied [Mil.]||0|1.3323688496627275|1e6 dimensionless|Own calculations
Austria|at|Residential sector|Total|Total|1945 - 1969|BUILDING|Occupancy|Vacant [Mil.]||1|0.18427642908580597|1e6 dimensionless|Own calculations
Austria|at|Residential sector|Total|Total|1945 - 1969|BUILDING|Occupancy|Secondary dwellings/ units and others [Mil.]||1|0.04501937452100888|1e6 dimensionless|Own calculations
Austria|at|Residential sector|Total|Total|1945 - 1969|BUILDING|Construction features (U-values)|Walls||0|1.4000000000000001|dimensionless|Source residential part: IEE TABULA Project, TABULA Web Tool, 2017 http://webtool.building-typology.eu/#bm; Source service part: S. Birchall et al., D2.1a Survey on the energy needs and architectural features of the EU building stock, 2014
Austria|at|Residential sector|Total|Total|1945 - 1969|BUILDING|Construction features (U-values)|Windows ||0|2.638759794684291|dimensionless|Source residential part: IEE TABULA Project, TABULA Web Tool, 2017 http://webtool.building-typology.eu/#bm; Source service part: S. Birchall et al., D2.1a Survey on the energy needs and architectural features of the EU building stock, 2014
Austria|at|Residential sector|Total|Total|1945 - 1969|BUILDING|Construction features (U-values)|Roof ||0|0.792142517211758|dimensionless|Source residential part: IEE TABULA Project, TABULA Web Tool, 2017 http://webtool.building-typology.eu/#bm; Source service part: S. Birchall et al., D2.1a Survey on the energy needs and architectural features of the EU building stock, 2014
Austria|at|Residential sector|Total|Total|1945 - 1969|BUILDING|Construction features (U-values)|Floor ||0|1.3990473850132101|dimensionless|Source residential part: IEE TABULA Project, TABULA Web Tool, 2017 http://webtool.building-typology.eu/#bm; Source service part: S. Birchall et al., D2.1a Survey on the energy needs and architectural features of the EU building stock, 2014
Austria|at|Residential sector|Total|Total|1945 - 1969|WALLS|construction material|brick||0|1|dimensionless|Source residential part: Own calculations
Austria|at|Residential sector|Total|Total|1945 - 1969|WALLS|construction methodology|honeycomb bricks / hollow blocks wall||0|1|dimensionless|Source residential part: Own calculations
Austria|at|Residential sector|Total|Total|1945 - 1969|WINDOWS|construction material|wood||0|1|dimensionless|Source residential part: Own calculations
Austria|at|Residential sector|Total|Total|1945 - 1969|WINDOWS|construction methodology|single glazing||0|1|dimensionless|Source residential part: Own calculations
Austria|at|Residential sector|Total|Total|1945 - 1969|ROOF|construction material|wood||0|0.733996742288577|dimensionless|Source residential part: Own calculations
Austria|at|Residential sector|Total|Total|1945 - 1969|ROOF|construction material|concrete||0|0.2660032577114231|dimensionless|Source residential part: Own calculations
Austria|at|Residential sector|Total|Total|1945 - 1969|ROOF|construction material|tilted roof||0|0.811959537415519|dimensionless|Source residential part: Own calculations
Austria|at|Residential sector|Total|Total|1945 - 1969|ROOF|construction material||insulation|0|0.6560339471616351|dimensionless|Source residential part: Own calculations
Austria|at|Residential sector|Total|Total|1945 - 1969|ROOF|construction material|flat roof||0|0.18804046258448112|dimensionless|Source residential part: Own calculations
Austria|at|Residential sector|Total|Total|1945 - 1969|FLOOR|construction material|concrete||0|1|dimensionless|Source residential part: Own calculations
Austria|at|Residential sector|Total|Total|1945 - 1969|FLOOR|construction methodology|concrete slab||0|1|dimensionless|Source residential part: Own calculations
Austria|at|Residential sector|Total|Total|1945 - 1969|ENERGY|Useful energy demand|Space heating [kWh/m² year]||0|155.20329608370662|kWh/m²/year|Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/
Austria|at|Residential sector|Total|Total|1945 - 1969|ENERGY|Useful energy demand|Space cooling [kWh/m² year]||0|52.11581218645497|kWh/m²/year|Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/
Austria|at|Residential sector|Total|Total|1945 - 1969|ENERGY|Useful energy demand|Domestic hot water  [kWh/m² year]||0|18.699897527490627|kWh/m²/year|Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/
Austria|at|Residential sector|Total|Total|1945 - 1969|ENERGY|Final energy consumption|Space heating [kWh/m² year]||0|206.09445686955402|kWh/m²/year|Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/
Austria|at|Residential sector|Total|Total|1945 - 1969|ENERGY|Final energy consumption|Space cooling [kWh/m² year]||0|8.859688071697345|kWh/m²/year|Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/
Austria|at|Residential sector|Total|Total|1945 - 1969|ENERGY|Final energy consumption|Domestic hot water [kWh/m² year]||0|28.04984629123594|kWh/m²/year|Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/
Austria|at|Residential sector|Total|Total|1945 - 1969|ENERGY|Total useful energy demand|Space heating+Domestic hot water [TWh/year]||0|23.101144584516902|TWh/year|Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/ and S. Pezzutto. Analysis of the space heating and cooling market in Europe. PhD-Thesis. 2014
Austria|at|Residential sector|Total|Total|1945 - 1969|ENERGY|Total useful energy demand|Space cooling [TWh/year]||0|0.1504587745261874|TWh/year|Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/ and S. Pezzutto. Analysis of the space heating and cooling market in Europe. PhD-Thesis. 2014
Austria|at|Residential sector|Total|Total|1945 - 1969|ENERGY|Total final energy consumption|Space heating+Domestic hot water [TWh/year]||0|31.134552699630447|TWh/year|Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/ and S. Pezzutto. Analysis of the space heating and cooling market in Europe. PhD-Thesis. 2014
Austria|at|Residential sector|Total|Total|1945 - 1969|ENERGY|Total final energy consumption|Space cooling [TWh/year]||0|0.02557799166945186|TWh/year|Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/ and S. Pezzutto. Analysis of the space heating and cooling market in Europe. PhD-Thesis. 2014
Austria|at|Residential sector|Total|Total|1970 - 1979|BUILDING|Area|Constructed area [Mm²]||0|82.31653105057568|Mm²|Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/
Austria|at|Residential sector|Total|Total|1970 - 1979|BUILDING|Area|Heated area [Mm²]||0|76.07432432988561|Mm²|S. Pezzutto. Analysis of the space heating and cooling market in Europe. PhD-Thesis. 2014
Austria|at|Residential sector|Total|Total|1970 - 1979|BUILDING|Area|Cooled area [Mm²]||0|1.8408049005276144|Mm²|
Austria|at|Residential sector|Total|Total|1970 - 1979|BUILDING|Area|Number of dwellings/units [Mil.]||0|0.8674501197687615|1e6 dimensionless|Own calculations
