Country group,Year,Technology,Min (€/MWh),Median (€/MWh),Max (€/MWh),Carbon scenario
Nordic,2025,Gas boiler,132.0,186.0,263.0,CENTRAL
Nordic,2025,Heat pump (air-source),112.0,116.0,185.0,CENTRAL
Nordic,2025,Heat pump (ground-source),118.0,120.0,200.0,CENTRAL
Nordic,2025,Hydrogen boiler,245.0,249.0,251.0,CENTRAL
Nordic,2025,District heating,110.0,116.0,165.0,CENTRAL
Nordic,2025,Biomass boiler,106.0,119.0,158.0,CENTRAL
Nordic,2030,Gas boiler,135.0,185.0,253.0,CENTRAL
Nordic,2030,Heat pump (air-source),106.0,110.0,175.0,CENTRAL
Nordic,2030,Heat pump (ground-source),111.0,113.0,188.0,CENTRAL
Nordic,2030,Hydrogen boiler,138.0,143.0,150.0,CENTRAL
Nordic,2030,District heating,106.0,111.0,158.0,CENTRAL
Nordic,2030,Biomass boiler,108.0,122.0,161.0,CENTRAL
Nordic,2050,Gas boiler,114.0,150.0,186.0,CENTRAL
Nordic,2050,Heat pump (air-source),85.0,88.0,141.0,CENTRAL
Nordic,2050,Heat pump (ground-source),87.0,89.0,148.0,CENTRAL
Nordic,2050,Hydrogen boiler,98.0,103.0,111.0,CENTRAL
Nordic,2050,District heating,89.0,93.0,133.0,CENTRAL
Nordic,2050,Biomass boiler,105.0,119.0,156.0,CENTRAL
Western,2025,Gas boiler,156.0,178.0,219.0,CENTRAL
Western,2025,Heat pump (air-source),140.0,163.0,184.0,CENTRAL
Western,2025,Heat pump (ground-source),149.0,182.0,198.0,CENTRAL
Western,2025,Hydrogen boiler,252.0,299.0,321.0,CENTRAL
Western,2025,District heating,113.0,122.0,151.0,CENTRAL
Western,2025,Biomass boiler,130.0,177.0,183.0,CENTRAL
Western,2030,Gas boiler,158.0,178.0,215.0,CENTRAL
Western,2030,Heat pump (air-source),133.0,155.0,175.0,CENTRAL
Western,2030,Heat pump (ground-source),140.0,172.0,188.0,CENTRAL
Western,2030,Hydrogen boiler,153.0,170.0,187.0,CENTRAL
Western,2030,District heating,110.0,119.0,147.0,CENTRAL
Western,2030,Biomass boiler,132.0,180.0,187.0,CENTRAL
Western,2050,Gas boiler,131.0,146.0,168.0,CENTRAL
Western,2050,Heat pump (air-source),107.0,124.0,139.0,CENTRAL
Western,2050,Heat pump (ground-source),110.0,135.0,147.0,CENTRAL
Western,2050,Hydrogen boiler,109.0,124.0,135.0,CENTRAL
Western,2050,District heating,93.0,99.0,122.0,CENTRAL
Western,2050,Biomass boiler,129.0,175.0,182.0,CENTRAL
Southern,2025,Gas boiler,146.0,183.0,201.0,CENTRAL
Southern,2025,Heat pump (air-source),167.0,177.0,262.0,CENTRAL
Southern,2025,Heat pump (ground-source),194.0,206.0,324.0,CENTRAL
Southern,2025,Hydrogen boiler,312.0,353.0,515.0,CENTRAL
Southern,2025,District heating,110.0,136.0,160.0,CENTRAL
Southern,2025,Biomass boiler,186.0,188.0,307.0,CENTRAL
Southern,2030,Gas boiler,151.0,184.0,204.0,CENTRAL
Southern,2030,Heat pump (air-source),159.0,169.0,249.0,CENTRAL
Southern,2030,Heat pump (ground-source),184.0,195.0,308.0,CENTRAL
Southern,2030,Hydrogen boiler,203.0,218.0,351.0,CENTRAL
Southern,2030,District heating,107.0,132.0,155.0,CENTRAL
Southern,2030,Biomass boiler,188.0,190.0,309.0,CENTRAL
Southern,2050,Gas boiler,133.0,153.0,179.0,CENTRAL
Southern,2050,Heat pump (air-source),127.0,134.0,197.0,CENTRAL
Southern,2050,Heat pump (ground-source),145.0,153.0,244.0,CENTRAL
