country,year,biomass_boiler,district_heat,gas_boiler,h2_boiler,hp_air,hp_ground,oil_boiler,resistance_heater
AT,2030,0.217,0.177,0.232,0.003,0.159,0.074,0.107,0.031
AT,2050,0.132,0.157,0.184,0.055,0.227,0.137,0.085,0.017
BE,2030,0.063,0.045,0.555,0.003,0.05,0.022,0.213,0.042
BE,2050,0.093,0.221,0.194,0.055,0.229,0.123,0.074,0.012
CH,2030,0.111,0.059,0.165,0.003,0.172,0.078,0.363,0.051
CH,2050,0.097,0.178,0.084,0.055,0.24,0.142,0.185,0.016
CZ,2030,0.157,0.293,0.337,0.003,0.071,0.038,0.059,0.043
CZ,2050,0.124,0.16,0.229,0.055,0.229,0.148,0.04,0.013
DE,2030,0.096,0.094,0.41,0.003,0.146,0.065,0.17,0.019
DE,2050,0.109,0.196,0.19,0.055,0.231,0.131,0.079,0.011
DK,2030,0.075,0.496,0.119,0.003,0.166,0.077,0.041,0.02
DK,2050,0.112,0.148,0.199,0.055,0.256,0.141,0.069,0.013
ES,2030,0.216,0.038,0.295,0.003,0.101,0.046,0.205,0.096
ES,2050,0.114,0.209,0.159,0.055,0.215,0.116,0.11,0.02
FR,2030,0.16,0.072,0.305,0.003,0.166,0.074,0.105,0.119
FR,2050,0.099,0.202,0.2,0.055,0.234,0.123,0.069,0.018
HU,2030,0.258,0.1,0.526,0.003,0.046,0.023,0.01,0.03
HU,2050,0.11,0.176,0.263,0.049,0.218,0.129,0.005,0.051
IT,2030,0.198,0.048,0.583,0.003,0.068,0.03,0.047,0.022
IT,2050,0.116,0.197,0.249,0.055,0.229,0.122,0.02,0.015
NL,2030,0.047,0.054,0.658,0.003,0.151,0.067,0.004,0.016
NL,2050,0.092,0.15,0.266,0.055,0.265,0.148,0.002,0.018
PL,2030,0.208,0.283,0.154,0.003,0.063,0.032,0.245,0.01
PL,2050,0.121,0.153,0.103,0.055,0.24,0.147,0.165,0.014
RO,2030,0.411,0.137,0.333,0.003,0.049,0.026,0.013,0.025
RO,2050,0.122,0.167,0.258,0.055,0.223,0.134,0.01,0.027
SE,2030,0.122,0.426,0.017,0.003,0.227,0.107,0.023,0.078
SE,2050,0.12,0.148,0.115,0.055,0.236,0.144,0.153,0.025
UK,2030,0.024,0.036,0.629,0.003,0.142,0.063,0.04,0.061
UK,2050,0.091,0.183,0.252,0.055,0.249,0.137,0.016,0.014
